institution;period;EURO;doi;is_hybrid;Publisher;journal_full_title;Agreement 
FWF - Austrian Science Fund;2019;3.321,01 ;10.1126/sciadv.aas9544;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;
FWF - Austrian Science Fund;2019;4.713,39 ;10.1126/sciadv.aau1375;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;
FWF - Austrian Science Fund;2019;3.855,65 ;10.1128/mBio.02624-18;FALSE;AMERICAN SOCIETY FOR MICROBIOLOGY (ASM);mBio;
FWF - Austrian Science Fund;2019;1.263,00 ;10.1186/s13068-019-1370-6;FALSE;AMERICAN UNIVERSITY OF BEIRUT MEDICAL CENTER (AUBMC);Biotechnology for Biofuels;
FWF - Austrian Science Fund;2019;2.670,00 ;10.1186/s12964-019-0364-0;FALSE;BIOMED CENTRAL;Cell Communication and Signaling;
FWF - Austrian Science Fund;2019;1.727,56 ;10.1186/s13071-017-2140-6;FALSE;BIOMED CENTRAL;Parasites and Vectors;
FWF - Austrian Science Fund;2019;1.836,00 ;10.5194/acp-18-16063-2018;FALSE;COPERNICUS PUBLICATIONS;Atmospheric Chemistry and Physics;
FWF - Austrian Science Fund;2019;1.249,50 ;10.5194/amt-11-1333-2018;FALSE;COPERNICUS PUBLICATIONS;Atmospheric Measurement Techniques;
FWF - Austrian Science Fund;2019;1.785,60 ;10.5194/amt-12-5231-2019;FALSE;COPERNICUS PUBLICATIONS;Atmospheric Measurement Techniques;
FWF - Austrian Science Fund;2019;1.440,00 ;10.5194/tc-12-189-2018;FALSE;COPERNICUS PUBLICATIONS;Cryosphere Discussions;
FWF - Austrian Science Fund;2019;1.191,19 ;10.5194/os-15-147-2019;FALSE;COPERNICUS PUBLICATIONS;Ocean Science;
FWF - Austrian Science Fund;2019;1.785,60 ;10.5194/tc-12-3719-2018;FALSE;COPERNICUS PUBLICATIONS;Cryosphere;
FWF - Austrian Science Fund;2019;1.940,40 ;10.5194/tc-13-469-2019;FALSE;COPERNICUS PUBLICATIONS;Cryosphere;
FWF - Austrian Science Fund;2019;1.832,60 ;10.5194/hess-23-2715-2019;FALSE;COPERNICUS PUBLICATIONS;Hydrology and Earth System Sciences;
FWF - Austrian Science Fund;2019;2.534,70 ;10.5194/hess-20-227-2016;FALSE;COPERNICUS PUBLICATIONS;Hydrology and Earth System Sciences;
FWF - Austrian Science Fund;2019;2.282,26 ;10.7554/eLife.46566;FALSE;eLIFE SCIENCES PUBLICATIONS;eLife;
FWF - Austrian Science Fund;2019;4.418,61 ;10.1016/j.celrep.2018.04.055;FALSE;ELSEVIER;Cell Reports;
FWF - Austrian Science Fund;2019;4.418,61 ;10.1016/j.celrep.2018.09.027;FALSE;ELSEVIER;Cell Reports;
