pos;institution_name;journal_title;eissn;doi;url;accepted;par_fee;initial_opt-out
1;Universität Greifswald;CHEMIE INGENIEUR TECHNIK;1522-2640;10.1002/cite.202200062;https://doi.org/10.1002/cite.202200062;09.08.2022;2750;optin
2;Universität Greifswald;JOURNAL OF ADOLESCENCE;1095-9254;10.1002/jad.12047;https://doi.org/10.1002/jad.12047;27.03.2022;2750;optin
3;Universität Greifswald;CHEMIE INGENIEUR TECHNIK;1522-2640;10.1002/cite.202200069;https://doi.org/10.1002/cite.202200069;28.06.2022;2750;optin
4;Universität Greifswald;THE CHEMICAL RECORD;1528-0691;10.1002/tcr.202100322;https://doi.org/10.1002/tcr.202100322;09.02.2022;2750;optin
5;Universität Greifswald;BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY;2044-8279;10.1111/bjep.12514;https://doi.org/10.1111/bjep.12514;26.04.2022;2750;optin
6;Universität Greifswald;CHEMMEDCHEM;1860-7187;10.1002/cmdc.202200262;https://doi.org/10.1002/cmdc.202200262;07.06.2022;2750;optin
7;Universität Greifswald;CHEMISTRY - A EUROPEAN JOURNAL;1521-3765;10.1002/chem.202202888;https://doi.org/10.1002/chem.202202888;20.09.2022;2750;optin
8;Universität Greifswald;CYTOSKELETON;1949-3592;10.1002/cm.21735;https://doi.org/10.1002/cm.21735;26.10.2022;2750;optin
9;Universität Greifswald;CHEMBIOCHEM;1439-7633;10.1002/cbic.202200269;https://doi.org/10.1002/cbic.202200269;12.05.2022;2750;optin
10;Universität Greifswald;CHEMPHYSCHEM;1439-7641;10.1002/cphc.202200364;https://doi.org/10.1002/cphc.202200364;12.09.2022;2750;optin
11;Universität Greifswald;CHEMIE INGENIEUR TECHNIK;1522-2640;10.1002/cite.202200066;https://doi.org/10.1002/cite.202200066;17.08.2022;2750;optin
12;Universität Greifswald;INVERTEBRATE BIOLOGY;1744-7410;10.1111/ivb.12381;https://doi.org/10.1111/ivb.12381;07.07.2022;2750;optin
13;Universität Greifswald;CHEMISTRY - A EUROPEAN JOURNAL;1521-3765;10.1002/chem.202104567;https://doi.org/10.1002/chem.202104567;08.03.2022;2750;optin
14;Universität Greifswald;CHEMBIOCHEM;1439-7633;10.1002/cbic.202200062;https://doi.org/10.1002/cbic.202200062;29.03.2022;2750;optin
