Institution;Period;DOI;journal_full_title;ISSN;Publisher;DOAJ (true/false);Is_hybrid (TRUE/FALSE) PAID;Total Amount (includes VAT and additional fee) (euro);payment description
Veneto Institute of Oncology IOV IRCCS;2023;10.1177/15330338221145248;Technology in Cancer Research & Treatment;1533-0346;Sage;true;False;2.015,04 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fruro.2022.1018970;Frontiers in Urology;2673-9828;Frontiers;true;False;1.913,42 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/medicina59010149;Medicina;1648-9144;MDPI;true;False;1.997,69 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1038/s41416-023-02153-w;British Journal of Cancer;0007-0920;Springer Nature;false;True;4.690,90 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1007/s12672-023-00622-5;Discover Oncology;2730-6011;Springer Nature;true;False;1.457,90 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1186/s12894-022-01160-y;BMC Urology;1471-2490;Springer Nature;true;False;2.738,90 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1089/jwh.2018.6986;Clinical and Experimental Obstetrics & Gynecology;0390-6663;IMR PRESS;true;False;1.766,90 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.ejca.2022.12.025;European Journal of Cancer;0959-8049;Elsevier;false;True;4.062,60 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1038/s41523-023-00509-2;NPJ Breast Cancer;2374-4677;Nature Portfolio;true;False;3.592,90 €;APC+admin fee
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fonc.2023.1070505;Frontiers in Oncology;2234-943X;Frontiers;true;False;3.025,50 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1007/s00432-023-04636-y;Journal of Cancer Research and Clinicl Oncology;0171-5216;Springer Nature;false;True;3.958,90 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fonc.2023.1136300;Frontiers in Oncology;2234-943X;Frontiers;true;False;1.872,33 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1093/oncolo/oyad060;The Oncologist;1549-490X;Oxford University Press;true;False;3.977,20 €;CC BY OA charge
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.clon.2023.01.012;Clinical Oncology;0936-6555;Elsevier;false;True;3.074,40 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/jcm12052057;Journal of Clinical Medicine;2077-0383;MDPI;true;False;2.877,04 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.21873/anticanres.16401;Anticancer Research;0250-7005;Int Inst Anticancer Research;false;True;1.774,26 €;Pages+color pages+APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.ctrv.2023.102544;Cancer Treatment Reviews;0305-7372;Elsevier;false;True;4.819,00 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.phro.2023.100435;Physics and Imaging in Radiation Oncology;2405-6316;Elsevier;true;False;1.306,62 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1186/s40360-023-00663-0;BMC Pharmacology and Toxicology;2050-6511;BMC;true;False;2.494,90 €;APC+Admin fee
Veneto Institute of Oncology IOV IRCCS;2023;10.3892/ol.2023.13887;Oncology Letters;1792-1074;Spandidos Publ LTD;false;True;1.769,00 €;Fixed charge
Veneto Institute of Oncology IOV IRCCS;2023;10.1186/s12902-023-01337-y;BMC Endrocrine Disorders;1472-6823;BMC;true;False;2.494,90 €;APC+Admin fee
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.clgc.2023.04.006;Clinical Genitourinary Cancer;1558-7673;Elsevier;false;True;3.989,40 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fpsyg.2023.1092060;Frontiers in Psychology;1664-1078;Frontiers;true;False;2.976,84 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1038/s41423-023-01024-x;Cellular & Molecular Immunology;1672-7681;"Chinese Society of Immunology; Nature Pub. Group";false;True;4.568,90 €;APC+admin fee
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/pharmaceutics15051429;Pharmaceutics;1999-4923;MDPI;true;False;2.897,87 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/cancers15102783;Cancers;2072-6694;MDPI;true;False;2.908,21 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.esmoop.2023.101570;Esmo Open;2059-7029;Elsevier;true;False;1.464,00 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1007/s11060-023-04356-w;Journal of Neuro-Oncology;0167-594X;Springer;false;True;3.958,00 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.2144/fsoa-2023-0049;Future Science OA;2056-5623;FUTURE SCI LTD;true;False;3.050,00 €;APC+OA accelerated
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/curroncol30060417;Current Oncology;1198-0052;MDPI;true;False;1.028,03 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1038/s41598-022-18085-z;Scientific Reports;2045-2322;Nature publishing group;true;False;2.372,90 €;APC+Admin fee
Veneto Institute of Oncology IOV IRCCS;2023;10.1136/jcp-2023-208856;Journal of clinical pathology;0021-9746;BMJ ;false;True;3.890,28 €;APC+Color figure
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fpubh.2023.1195458;Frontiers in Public Health;2296-2565;Frontiers;true;False;2.938,76 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fonc.2023.1201599;Frontiers in Oncology;2234-943X;Frontiers;true;False;1.842,96 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1200/JCO.23.00790;Journal of clinical oncology;0732-183X;Lippincott Williams & Wilkins;false;True;4.463,96 €;APC 
Veneto Institute of Oncology IOV IRCCS;2023;"10.1158/1078-0432.CCR-23-0480";Clinical Cancer Research;1078-0432;AMER ASSOC CANCER RESEARCH;false;True;7.421,88 €;APC+publication fee+additional services
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.ejca.2023.112959;European Journal of Cancer;0959-8049;Elsevier;false;True;4.233,40 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fmed.2023.1226090;Frontiers in Medicine;2296-858X;Frontiers;true;False;3.073,73 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fimmu.2023.1229540;Frontiers in Immunology;1664-3224;Frontiers;true;False;2.949,19 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/ijms241512285;International Journal of Molecular Sciences;1422-0067;MDPI;true;False;3.003,92 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1093/oncolo/oyad255;The Oncologist;1549-490X;Oxford University Press;true;False;3.925,08 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1097/CCO.0000000000000991;Current opinion in Oncology;1531-703X;Lippincott Williams & Wilkins;false;True;4.169,25 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1089/jwh.2021.0223;Journal of women's health;1540-9996;Mary Ann Liberebert, Inc;false;True;4.168,57 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fpain.2023.1256809;Frontiers in Pain Research-Cancer Pain;2673-561X;Frontiers;true;False;899,32 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.pmedr.2023.102438;Preventive Medicine Reports;2211-3355;Elsevier;true;False;3.025,60 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1007/s11255-023-03766-z;International Urology and Nephrology;0301-1623;Springer;false;True;3.226,90 €;APC+Admin fee
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fimmu.2023.1236824;Frontiers in Immunology;1664-3224;Frontiers;true;False;3.054,32 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/ijms242015325;International Journal of Molecular Sciences;1422-0067;MDPI;true;False;2.617,68 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1186/s13046-023-02841-8;Journal of Experimental & Clinical Cancer Research;1756-9966;BMC;true;False;3.592,90 €;APC+Admin fee
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.ejca.2023.113396;European Journal of Cancer;0959-8049;Elsevier;false;True;4.233,40 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fonc.2023.1301179;Frontiers in Oncology;2234-943X;Frontiers;true;False;2.985,62 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fonc.2023.1234931;Frontiers in Oncology;2234-943X;Frontiers;true;False;2.985,62 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1007/s00330-023-10457-x;European Radiology;0938-7994;Springer;false;True;4.080,90 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/jpm13121653;Journal of Personalized Medicine;2075-4426;MDPI;true;False;1.641,66 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.ejca.2023.113399;European Journal of Cancer;0959-8049;Elsevier;false;True;4.233,40 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/jpm13121657;Journal of Personalized Medicine;2075-4426;MDPI;true;False;1.692,16 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.3389/fpubh.2023.1267534;Frontiers in Public Health;2296-2565;Frontiers;true;False;1.838,28 €;APC
Veneto Institute of Oncology IOV IRCCS;2023;10.1016/j.ejmp.2023.102542;Physica Medica;1120-1797;Elsevier;false;False;2.135,00 €;Publishing Charge
Veneto Institute of Oncology IOV IRCCS;2023;10.3390/diagnostics13193119;Diagnostics;2075-4418;Frontiers;true;False;2.951,46 €;APC
