Institution;Period;Total Amount (includes VAT and additional fee) (€);DOI;Is_hybrid (TRUE/FALSE);Publisher;journal_full_title;ISSN;DOAJ (true/false);Causale;;;;
Veneto Institute of Oncology IOV IRCCS;2020;2.714,50;10.1186/s12951-020-00589-3;FALSE;BMC ;Targeting of immunosuppressive myeloid cells from glioblastoma patients by modulation of size and surface charge of lipid nanocapsules;1477-3155;TRUE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;1.834,00;10.3390/ijms21041547;FALSE;MDPI;Detection of LINE-1 hypomethylation in cfDNA of Esophageal Adenocarcinoma Patients;1422-0067;TRUE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;2.063,25;10.3390/ijms21051601;FALSE;MDPI;Lung Cancer (LC) in HIV Positive Patients: Pathogenic Features and Implications for Treatment;1422-0067;TRUE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;3.753,93;10.1158/1078-0432.CCR-19-2297;TRUE;AMERICAN ASSOCIATION for CANCER RESEARCH;Periostin and Epithelial-Mesenchymal Transition Score as Novel Prognostic Markers for Leiomyosarcoma, Myxofibrosarcoma, and Undifferentiated Pleomorphic Sarcoma;1078-0432;FALSE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;1.282,95;10.3389/fonc.2020.00509;FALSE;Frontiers;Pharmacogenomics Biomarkers of Soft Tissue Sarcoma Therapies;2234-943X;TRUE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;2.293,87;10.1155/2020/1793051;FALSE;HINDAWI LTD;Impact of Age on Short- and Long-Term Outcomes after Pancreatoduodenectomy for Periampullary Neoplasms;1687-6121;TRUE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;2.080,21;10.3390/cancers12040946;FALSE;MDPI;TERT Promoter Mutations Differently Correlate with the Clinical Outcome of MAPK Inhibitor-Treated Melanoma Patients;2072-6694;TRUE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;1.952,00;10.3324/haematol.2019.217687;FALSE;Ferrata Storti Foundation;Dissecting molecular mechanisms of resistance to NOTCH1-targeted therapy in T-cell acute lymphoblastic leukemia xenografts;0390-6078;TRUE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;671,00;10.1002/acm2.12908;FALSE;WILEY;Limiting treatment plan complexity by applying a novel commercial tool;1526-9914;TRUE;APC;;;;
Veneto Institute of Oncology IOV IRCCS;2020;2.793,39;10.3389/fonc.2020.00828;FALSE;Frontiers;Extraskeletal Myxoid Chondrosarcoma: Clinical and Molecular Characteristics and Outcomes of Patients Treated at Two Institutions;2234-943X;TRUE;APC;;;;
