Institution;Period;DOI;journal_full_title;ISSN;Publisher;DOAJ (true/false);Is_hybrid (TRUE/FALSE) PAGATO;Total Amount (includes VAT and additional fee) (euro);payment description
Veneto Institute of Oncology IOV IRCCS;2022;10.2147/PPA.S351771;Patient preference and adherence;1177-889X;DOVE MEDICAL PRESS LTD;true;False;3.142,72;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/molecules27010264;Molecules;1420-3049;MDPI;true;False;1.980,16;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1186/s12876-021-02084-x;BMC Gastroenterology;1471-230X;BMC;true;False;2.348,50;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1089/jwh.2021.0223;Journal's of womenn's health;1540-9996;MaryAnn Liebert inc;false;True;3.412,89;OA
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/curroncol29020049;Current Oncology;1198-0052;MDPI;true;False;1.298,47;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/ijms23031644;INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;1422-0067;MDPI;true;False;1.650,14;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/medicina58030349;Medicina;1648-9144;MDPI;true;False;1.782,15;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3389/fpubh.2022.806934;Frontiers in Public Health;2296-2565;Frontiers;true;False;2.938,22;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1016/j.esmoop.2022.100433;ESMO Open;2059-7029;Elsevier;true;False;1.342,00;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1038/s41416-022-01777-8;British Journal of Cancer;1532-1827;Springer Nature;false;True;4.434,70;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1016/j.ejca.2022.03.005;European Journal of Cancer ;0959-8049;Elsevier;false;True;4.062,60;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/molecules27072156;Molecules;1420-3049;MDPI;true;False;2.277,19;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/cancers14071774;Cancers;2072-6694;MDPI;true;False;2.376,19;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3389/fonc.2022.838114;Frontiers in Oncology;2234-943X;Frontiers;true;False;1.573,64;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1016/j.critrevonc.2021.103561;Critical Reviews in Oncology and Hematology;1040-8428;Elsevier;false;True;3.050,00;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/molecules27092617;Molecules;1420-3049;MDPI;true;False;2.090,17;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3389/fonc.2022.895460;Frontiers in Oncology;2234-943X;Frontiers;true;False;3.034,57;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1007/s13555-022-00715-z;Dermatology and Therapy;2193-8210;Springer ;true;False;5.250,00;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/cancers14092180;Cancers;2072-6694;MDPI;true;False;2.376,19;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/life12050745;Life;2075-1729;MDPI;true;False;1.782,15;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/cancers14102568;Cancers;2072-6694;MDPI;true;False;2.376,19;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.3390/cancers14092293 ;Cancers;2072-6694;MDPI;true;False;1.947,70;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1186/s12885-022-09705-y;BMC Cancer;1471-2407;BMC;true;False;2.982,90;APC
Veneto Institute of Oncology IOV IRCCS;2022;10.1111/1759-7714.14531;Thoracic Cancer;1759-7706;Wiley;true;False;3.050,00;APC
