Institution,Period,Total Amount (includes VAT and additional fee) (euro),DOI,Is_hybrid (TRUE/FALSE),Publisher,journal_full_title,ISSN,DOAJ (true/false),payment description
Veneto Institute of Oncology IOV IRCCS,2021,"1.335,90",10.1038/s41523-021-00223-x,false ,NATURE PUBLISHING GROUP,Immune Microenvironment and intrinsic subtyping in hormone receptor-positive/HER2- negative brest cancer,2374-4677,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.039,00",10.3390/cells10020223,false ,MDPI,Immune infiltrates in breast cancer: recent updates and clinical implications,2073-4409,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.667,46",10.3389/fonc.2021.627527,false ,Frontiers,"Melanoma of unknown primary (MUP): evaluation of the characteristics, treatments strategies, prognostic factors in a monocentric retrospective study",2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"3.867,40",10.1016/j.ctrv.2020.102064,true,Elsevier,Biomarkers for HER2-positive metastatic breast cancer: beyond hormone receptors,0305-7372 ,false,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.033,70",10.3390/cells10020325,false ,MDPI,"GENETIC PERTURBATION OF PYRUVATE DEHYDROGENASE KINASE 1 MODULATES GROWTH, ANGIOGENESIS AND METABOLIC PATHWAYS IN OVARIAN CANCER XENOGRAFTS",2073-4409,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"3.104,90",10.1186/s12967-021-02725-5,false ,BioMed Central,Gender-specific associations between plymorphisms of the circadian gene RORA and cutaneous melanoma susceptibility,1479-5876,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"4.062,60",10.1016/j.ejca.2021.01.021,true,Elsevier,Epidemiology and clinical course of SArs-cov-2 infection in cancer patients in the Veneto Oncology Network: The ROVID study,0959-8049,false,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.668,35",10.3389/fonc.2021.625636,false ,Frontiers,ESR1 gene mutation in hormone receptor positive HER2 negative matastatic breast patients: concordance between tumor tissue and circulating tumor DNA analysis,2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.682,29",10.3389/fonc.2021.617966,false ,Frontiers,"Seizures, edema, thrombosis and hemorrhages: an update review on the medical management of gliomas",2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.718,18",10.3389/fonc.2021.626104,false ,Frontiers,Prognostic stratification of metastatic prostate cancer patients treated with abiraterone and enzalutamide through an integrated analysis of circulating free miRNAs and clinical parameters,2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.061,80",10.1038/s41598-021-86611-6,false ,NATURE PUBLISHING GROUP,The role of the size in thyroid cancer risk stratification,2045-2322,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.763,96",10.3390/v13030486,false ,MDPI,A retrospective cohort study of young women spontaneously choosing to be vaccinated against HPV. Outcomes from their first cervical cancer screening test,1999-4915,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.420,20",10.1136/esmoopen-2017-000255,false ,MDPI,Immune chackpoint blockade in HER2-positive breast cancer: what role in early disease setting?,2072-6694,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.980,16",10.3390/ijms22083826,false ,MDPI,The Molecular landscape of primary acral melanoma: a multicenter study of the Italian Melanoma Intergroup (IMI),1422-0067,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"3.470,90",10.1186/s13046-021-01947-1,false ,BMC,The immune cell landscape of metastatic uveal melanoma correlates with overall survival,1756-9966,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"5.460,37",10.2217/fon-2021-0356,true,Future Medicine,Real-world data on treatment outcomes in EGFR-mutant non-small-cell lung cancer patients receiving osimertinib in second or further lines,1744-8301,false,Open Access charge
Veneto Institute of Oncology IOV IRCCS,2021,"2.238,80",10.3389/fmolb.2021.624873,false ,Frontiers,MLH1 deficiency down regulates TLR4 expression in sporadic colorectal cancer,2296-889X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.589,56",10.3389/fmed.2021.570921,false ,Frontiers,Subacute cutaneous lupus erythematosus-like eruption induced by EGFR-tyrosine kinase inhibitor in EGFR-mutaded non small cell lung cancer: a case report,2296-858X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.660,67",10.3389/fonc.2021.669786,false ,Frontiers,How COVID-19 pandemic impacted on integrated care pathways for lung cancer: the parellel experience of a COVID spared and a COVID dedicated centre,2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.328,64",10.1136/jitc-2021-002475,false ,BMJ Publishing Group Ltd,An innovative therapeutic strategy for B-cell malignancies that combines Obinutuzumab and cytokine induced killer cells,2051-1426,true,Open Access charge
Veneto Institute of Oncology IOV IRCCS,2021,"4.367,60",10.1038/s41423-021-00667-y,true,NATURE PUBLISHING GROUP,Hyaluronan is a natural and effective immunological adjuvant for protein-based vaccines,2042-0226,false,APC
Veneto Institute of Oncology IOV IRCCS,2021,"3.635,60",10.1016/j.cyto.2021.155622,true,Elsevier,Detection of circulating immunosuppressive cytokines in malignant pleural mesothelioma patients for prognostic stratification,1043-4666,false,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.310,19",10.3390/cancers13123006,false ,MDPI,"Serum exosomal microRNA 21, 222 and 124-3p as noninvasive predictive biomarkers in newly diagnosed high-grade gliomas: a prospective study",2072-6694,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.980,16",10.3390/ijms22147244,false ,MDPI,MSI analysis in solid and liquid biopsies of gastroesophageal adenocarcinoma patients: a molecular approach,1422-0067,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"3.281,80",10.1038/s41523-021-00308-7,false ,NATURE PUBLISHING GROUP,Impact of estrogen receptor levels on outcome in non-metastatic triple negative breast cancer patients treated with neoadjuvant/adjuvant chemotherapy,2374-4677,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.502,79",10.3390/jcm10153309,false ,MDPI,Quantitative breast density in contrast enhanced mammography,2077-0383,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.408,11",10.3390/diagnostics11081468,false ,MDPI,Implementation of next generation sequencing based liquid biopsy for clinical molecular diagnostics in non small cell lung cancer (NSCLC) patients,2075-4418,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.761,62",10.3389/fonc.2021.725523,false ,Frontiers,"Melanoma in adolescents and young adults (AYA): evaluation of the characteristics, treatment strategies and prognostic factors in a monocentric retrospective study",2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.761,62",10.3389/fonc.2021.708073,false ,Frontiers,"PSMA Specific CAR Engineered T Cells for Prostate Cancer: CD28 outperforms combined CD28-4-1BB ""Super- stimulation""",2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.388,54",10.1186/s12904-021-00849-5,false ,BMC,Assessment of self-efficacy for caregiving in oncology: Italian validation of the caregiver inventory (CGI-I),1472-684X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.980,16",10.3390/ijms221910562,false ,MDPI,Mechanisms involved in the promoting activity of fibroblast in HTLV-1-mediated lymphomagenisis: insight into the plasticity on lymphomatous cells,1422-0067,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.783,45",10.3389/fonc.2021.728319,false ,Frontiers,RIPK3 and AXL expression study in primary cutaneous melanoma unmasks AXL as predictor of sentinel node metastasis: a pilot study,2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.744,41",10.1136/jitc-2021-002996,false ,BMJ Publishing Group Ltd,Randomised phase 2 trial of avelumab alone or in combination with cetuximab for patients with previously treated locally advanced or metastatic squamous cell anal carcinoma: the CARACAS study,2051-1426,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.783,45",10.3389/fpsyg.2021.703497,false ,Frontiers,Totally implantable venous access devices:a randomized controlled trial on the the effect of psychological on quality of life and body image (BI-PORT),1664-1078,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"3.097,78",10.3389/fonc.2021.737399,false ,Frontiers,Prognosis for cutaneous melanoma by clinical and pathological profile: a population based study,2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.098,00",10.1684/ejd.2021.4149,true,JOHN LIBBEY EUROTEXT LTD,Quality management of cutaneous melanoma: impact on short term outcomes and costs,1167-1122,false,APC 
Veneto Institute of Oncology IOV IRCCS,2021,"2.738,90",10.1186/s13014-021-01952-w,false ,Biomed central ltd,"Analysis of clinical patient specific pre-treatment quality assurance with the new helical tomotherapy platform, following the AAPM TG-218 report",1748-717X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.802,47",10.3389/fonc.2021.787835,false ,Frontiers,Prognostic value of thyroid hormone ratio in patients with advacned metastatic renal cell carcinoma:results from the ThreeFour Study (Meet-URO 14),2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.145,17",10.3390/cancers13235874,false ,MDPI,The mir-200 family of microRNAs: fine tuners of eithelial mesenchymal transition and circulatig cancers biomarkers,2072-6694,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.420,20",10.3390/cancers13235965,false ,MDPI,Novel perspectives in pseudomyxoma peritonei treatment,2072-6694,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.864,18",10.3389/fonc.2021.772144,false ,Frontiers,The role of electrochemotherapy in the cutaneous and subcutaneous metastases from breast cancer: analysis of predictive factors to treatment from an italian cohort of patients,2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.876,14",10.3389/fonc.2021.737842,false ,Frontiers,"Merkel cell carcinoma (MCC): evaluation of the clinico-pathological characteristics, treatment strategies and prognostic factors in a monocentric retrospective series (n=143)",2234-943X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.210,09",10.3390/cancers13205128,false ,MDPI,A real-world application of liquid biopsy in metastatic colorectal cancer: the Poseidon study,2072-6694,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.659,20",10.1093/oncolo/oyab047,true,OUP,Tumor immune infiltrate landscape after chemo-radiotherapy in a case series of NSCLC patients: pre-treatment predictors and correlation with outcome,1549-490X,false,Open Access charge
Veneto Institute of Oncology IOV IRCCS,2021,"2.873,32",10.3389/fimmu.2021.809826,false ,Frontiers,Myeloid diagnostic and prognostic markers of immune suppression in the blood of glioma patients,1664-3224,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"3.740,03",10.1148/radiol.211604,true,RADIOLOGICAL SOC NORTH AMERICA,A novel benchmarking approach to assess the agreement among radiomic tools,0033-8419,false,Open Access Gold
Veneto Institute of Oncology IOV IRCCS,2021,"1.803,23",10.3390/v13020307,false ,MDPI,Leptomeningeal carcinomatosis of a poorly differentiaded cervical carcinoma caused by human papillomavirus type 18,1999-4915,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.104,50",10.1080/2162402X.2021.1907912,false ,Landes Bioscience,CD80 expression is upregulated by TP53 activation in human cancer epithelial cells,2162-402X,true,Open Access charge
Veneto Institute of Oncology IOV IRCCS,2021,"2.244,80",10.1016/j.breast.2021.04.007,false ,Elsevier,"Preoperative non-palpable breast lesion localization, innovative techniques and clinical outcomes in surgical practive: a systematic review and meta-analysis",0960-9776,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.255,18",10.3390/cancers13092189,false ,MDPI,Heterogeneous circulating tumor cells in sarcoma: implication for clinical practice,2072-6694,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.097,88",10.1177/11795549211022261,false ,SAGE Publications,Tumor seeding after a thoracic biopsy for renal cell carcinoma: a case report and a review of the literature,1179-5549,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.584,13",10.3390/diagnostics11061118,false ,MDPI,"Cell-secreted vesicles:novel opportunities in cancer diagnosis, monitoring and treatment",2075-4418,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.760,14",10.3390/genes12071077,false ,MDPI,The interplay between nevi and melanoma predisposition unravels nevi-related and nevi-resistant melanoma,2073-4425,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.650,14",10.3390/medicina57080850,false ,MDPI,A potentially misleading hepatocellular carcinoma,1010-660X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.112,17",10.3390/nu13103525,false ,MDPI,"Lifestyle, WCRF/AICR reccomendations and esophageal adenocarcinoma risk. A systematic review of the literature",2072-6643,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.092,11",10.3389/fsurg.2021.773313,false ,Frontiers,Case Report: Surgical reconstruction of massive thoracic wall defect after resection of an undifferentiated radiation induced sarcoma of the breast,2296-875X,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"2.178,18",10.3390/cancers13246217,false ,MDPI,Methylation markers in cutaneous melanoma: unravelling the potential utility of their tracking by liquid biopsy,2072-6694,true,APC
Veneto Institute of Oncology IOV IRCCS,2021,"1.659,20",10.1093/oncolo/oyab037,true,Wiley,Safety of Covid-19 vaccine in cancer patients in a high volume Comprehensive Cancer Center,1083-7159,false,CC BY OA charge
