pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Ruprecht-Karls-Universität Heidelberg;Berliner Journal für Soziologie;1862-2593;10.1007/s11609-022-00485-7;https://doi.org/10.1007/s11609-022-00485-7;26.10.2022;26.09.2022;2750;originalpaper;Research Article;optin
2;Ruprecht-Karls-Universität Heidelberg;Data Mining and Knowledge Discovery;1573-756X;10.1007/s10618-022-00866-9;https://doi.org/10.1007/s10618-022-00866-9;01.11.2022;09.09.2022;2750;originalpaper;Research Article;optin
3;Ruprecht-Karls-Universität Heidelberg;Computational Economics;1572-9974;10.1007/s10614-022-10348-1;https://doi.org/10.1007/s10614-022-10348-1;14.12.2022;17.11.2022;2750;originalpaper;Research Article;optin
4;Ruprecht-Karls-Universität Heidelberg;British Journal of Cancer;1532-1827;10.1038/s41416-022-01925-0;https://doi.org/10.1038/s41416-022-01925-0;05.08.2022;14.07.2022;2750;originalpaper;Research Article;optin
5;Ruprecht-Karls-Universität Heidelberg;Letters in Mathematical Physics;1573-0530;10.1007/s11005-022-01546-x;https://doi.org/10.1007/s11005-022-01546-x;11.06.2022;07.05.2022;2750;originalpaper;Research Article;optin
6;Ruprecht-Karls-Universität Heidelberg;Zeitschrift für Gerontologie und Geriatrie;1435-1269;10.1007/s00391-022-02035-5;https://doi.org/10.1007/s00391-022-02035-5;04.03.2022;27.01.2022;2750;reviewpaper;Research Article;optin
7;Ruprecht-Karls-Universität Heidelberg;Current Psychology;1936-4733;10.1007/s12144-022-03317-2;https://doi.org/10.1007/s12144-022-03317-2;20.08.2022;05.06.2022;2750;originalpaper;Research Article;optin
8;Ruprecht-Karls-Universität Heidelberg;Bone Marrow Transplantation;1476-5365;10.1038/s41409-022-01592-y;https://doi.org/10.1038/s41409-022-01592-y;15.02.2022;19.01.2022;2750;originalpaper;Research Article;optin
9;Ruprecht-Karls-Universität Heidelberg;Clinical Research in Cardiology;1861-0692;10.1007/s00392-022-02129-5;https://doi.org/10.1007/s00392-022-02129-5;27.11.2022;17.11.2022;2750;originalpaper;Research Article;optin
10;Ruprecht-Karls-Universität Heidelberg;Crime, Law and Social Change;1573-0751;10.1007/s10611-022-10038-x;https://doi.org/10.1007/s10611-022-10038-x;15.06.2022;01.06.2022;2750;originalpaper;Research Article;optin
11;Ruprecht-Karls-Universität Heidelberg;Geometriae Dedicata;1572-9168;10.1007/s10711-022-00721-7;https://doi.org/10.1007/s10711-022-00721-7;17.08.2022;25.07.2022;2750;originalpaper;Research Article;optin
12;Ruprecht-Karls-Universität Heidelberg;Archives of Gynecology and Obstetrics;1432-0711;10.1007/s00404-022-06442-2;https://doi.org/10.1007/s00404-022-06442-2;02.03.2022;10.02.2022;2750;originalpaper;Research Article;optin
13;Ruprecht-Karls-Universität Heidelberg;Journal of Cancer Research and Clinical Oncology;1432-1335;10.1007/s00432-021-03900-3;https://doi.org/10.1007/s00432-021-03900-3;25.01.2022;24.12.2021;2750;originalpaper;Research Article;optin
14;Ruprecht-Karls-Universität Heidelberg;Journal of Public Health;1613-2238;10.1007/s10389-022-01744-w;https://doi.org/10.1007/s10389-022-01744-w;12.08.2022;20.07.2022;2750;originalpaper;Research Article;optin
