id;Institution;Period;Publisher;Journal;DOI;is_hybrid;Country;EURO;URL
;Heidelberg U;2019;Wiley;Plant Direct;10.1002/pld3.116;FALSE;DEU;1770,72;NA
;Heidelberg U;2019;Klinik f. Allg. Psychiatrie;Schizophrenia Research: Cognition;10.1016/j.scog.2018.12.002;FALSE;DEU;860;NA
;Heidelberg U;2019;Springer Nature;Blood Cancer Journal;10.1038/s41408-019-0172-1;FALSE;DEU;1225,7;NA
;Heidelberg U;2019;Springer Nature;Scientific Reports;10.1038/s41598-018-37092-7;FALSE;DEU;1630,3;NA
;Heidelberg U;2019;Hindawi;Canadian Journal of Infectious Diseases and Medical Microbiology;10.1155/2019/1506583;FALSE;DEU;1620,26;NA
;Heidelberg U;2019;Copyright Clearance Center;American Journal of Men's Health;10.1177/1557988319825921;FALSE;DEU;934,34;NA
;Heidelberg U;2019;Sigl;JRSM Cardiovascular Disease;10.1177/2048004018822618;FALSE;DEU;571;NA
;Heidelberg U;2019;BMC;BMC Immunology;10.1186/s12865-019-0290-3;FALSE;DEU;1661,24;NA
;Heidelberg U;2019;BMC;BMC Microbiology;10.1186/s12866-019-1399-5;FALSE;DEU;1661,24;NA
;Heidelberg U;2019;BMC;BMC Pregnancy and Childbirth;10.1186/s12884-018-2166-6;FALSE;DEU;1661,24;NA
;Heidelberg U;2019;BMC;BMC Surgery;10.1186/s12893-019-0471-2;FALSE;DEU;1661,24;NA
;Heidelberg U;2019;BMC;Radiation Oncology;10.1186/s13014-019-1212-5;FALSE;DEU;1661,24;NA
;Heidelberg U;2019;BMC;Annals of Intensive Care;10.1186/s13613-019-0499-6;FALSE;DEU;1666;NA
;Heidelberg U;2019;BMC;BMC Pharmacology and Toxicology;10.1186/s40360-018-0284-4;FALSE;DEU;1661,24;NA
;Heidelberg U;2019;BMC;Acta Neuropathologica Communications;10.1186/s40478-019-0669-7;FALSE;DEU;1151,92;NA
;Heidelberg U;2019;PLOS;PLOS ONE;10.1371/journal.pone.0205509;FALSE;DEU;1669,78;NA
;Heidelberg U;2019;PLOS;Plos One;10.1371/journal.pone.0211186;FALSE;DEU;1667,3;NA
;Heidelberg U;2019;Frontiers;Frontiers in Cellular Neurosciene;10.3389/fncel.2019.00104;FALSE;DEU;1986,5;NA
;Heidelberg U;2019;MDPI;Cancers;10.3390/cancers11010122;FALSE;DEU;790,35;NA
;Heidelberg U;2019;MDPI;Cancers;10.3390/cancers11010124;FALSE;DEU;790,35;NA
;Heidelberg U;2019;MDPI;Geosciences;10.3390/geosciences9010053;FALSE;DEU;434,7;NA
;Heidelberg U;2019;MDPI;International Journal of Molecular Sciences;10.3390/ijms20020295;FALSE;DEU;1422,7;NA
;Heidelberg U;2019;MDPI;International Journal of Molecular Sciences;10.3390/ijms20020305;FALSE;DEU;1427,7;NA
;Heidelberg U;2019;MDPI;International journal of Molecular Sciences;10.3390/ijms20030588;FALSE;DEU;1417,64;NA
;Heidelberg U;2019;MDPI;International Journal of Molecular Sciences;10.3390/ijms20030704;FALSE;DEU;1416,99;NA
;Heidelberg U;2019;MDPI;Molecules;10.3390/molecules24010138;FALSE;DEU;1156,23;NA
;Heidelberg U;2019;MDPI;Sensors;10.3390/s19030622;FALSE;DEU;1416,99;NA
;Heidelberg U;2019;MDPI;Sustainability;10.3390/su11020440;FALSE;DEU;1106,5;NA
;Heidelberg U;2019;Copernicus;Ocean Science;10.5194/os-15-235-2019;FALSE;DEU;1191,19;NA
;Heidelberg U;2018;BMC;BMC Ophthalmology;10.1186/s12886-018-0978-9;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;Journal of Orthopaedic Surgery and Research;10.1186/s13018-018-0915-x;FALSE;DEU;1988,24;NA
;Heidelberg U;2018;Wiley;Brain and Behavior;10.1002/brb3.12;FALSE;DEU;1953,98;NA
;Heidelberg U;2018;Wiley;ESC Heart Failure;10.1002/ehf2.12357;FALSE;DEU;1487,5;NA
;Heidelberg U;2018;Wiley;ESC Heart Failure;10.1002/ehf2.12384;FALSE;DEU;1487,5;NA
;Heidelberg U;2018;Elsevier;Clinical and translational radiation oncology;10.1016/j.ctro.2018.09.005;FALSE;DEU;1309;NA
;Heidelberg U;2018;Springer Nature;Scientific Reports;10.1038/s41598-018-31384-8;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Springer Nature;Scientific Reports;10.1038/s41598-018-32569-x;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Springer Nature;Scientific Reports;10.1038/s41598-018-34777-x;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Taylor & Francis;European Journal of Psychotraumatology;10.1080/20008198.2018.1486124;FALSE;DEU;1798,09;NA
;Heidelberg U;2018;Oxford UP;Current Developments in Nutrition;10.1093/cdn/nzy091;FALSE;DEU;1695,75;NA
;Heidelberg U;2018;Wolters Kluwer;Pain Reports ;10.1097/PR9.0000000000000694;FALSE;DEU;2020,63;NA
;Heidelberg U;2018;Copyright Clearance Center;BMJ Global Health;10.1136/bmjgh-2018-000837;FALSE;DEU;1963,5;NA
;Heidelberg U;2018;Copyright Clearance Center;BMJ OPEN;10.1136/bmjopen-2017-019453;FALSE;DEU;1808,8;NA
;Heidelberg U;2018;Copyright Clearance Center;BMJ Open;10.1136/bmjopen-2017-020448;FALSE;DEU;1808,8;NA
;Heidelberg U;2018;Copyright Clearance Center;BMJ Open;10.1136/bmjopen-2018-023524;FALSE;DEU;1808,8;NA
;Heidelberg U;2018;Copyright Clearance Center;BMJ open;10.1136/bmjopen-2018-025269;FALSE;DEU;1823,13;NA
;Heidelberg U;2018;Hindawi;BioMed Research International;10.1155/2018/3891870;FALSE;DEU;1990,31;NA
;Heidelberg U;2018;Karger;Obesity Facts;10.1159/000493372;FALSE;DEU;1210;NA
;Heidelberg U;2018;Springer Open;Journal of Ophthalmic Inflammation and Infection;10.1186/s12348-019-0168-9;FALSE;DEU;1380,4;NA
;Heidelberg U;2018;BMC;BMC Geriatrics;10.1186/s12877-018-0953-6;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Pregnancy and Childbirth;10.1186/s12884-018-2038-0;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Pregnancy and Childbirth;10.1186/s12884-018-2053-1;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Cancer;10.1186/s12885-018-4760-4;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Cancer;10.1186/s12885-018-4777-8;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Ophthalmology;10.1186/s12886-018-0989-6;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Public Health;10.1186/s12889-019-6425-x;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Medical Education;10.1186/s12909-018-1370-4;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Medical Education;10.1186/s12909-018-1430-9;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Medical Education;10.1186/s12909-018-1442-5;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Medical Education;10.1186/s12909-019-1457-6;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Health Services Research;10.1186/s12913-018-3589-5;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;Cardiovascular Diabetology;10.1186/s12933-018-0768-y;FALSE;DEU;1870,68;NA
;Heidelberg U;2018;BMC;Malaria Journal;10.1186/s12936-018-2469-0;FALSE;DEU;1732,64;NA
;Heidelberg U;2018;BMC;Health and Quality of Life Outcomes;10.1186/s12955-018-1058-9;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;World Journal of Surgical Oncology;10.1186/s12957-018-1437-z;FALSE;DEU;2003,96;NA
;Heidelberg U;2018;BMC;Reproductive Biology and Endocrinology;10.1186/s12958-018-0411-5;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;Health Research Policy and Systems;10.1186/s12961-019-0416-3;FALSE;DEU;1899,24;NA
;Heidelberg U;2018;BMC;Journal of Translational Medicine;10.1186/s12967-019-1767-9;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;Journal of Neuroinflammation;10.1186/s12974-019-1425-4;FALSE;DEU;1899,24;NA
;Heidelberg U;2018;BMC;Diagnostic Pathology;10.1186/s13000-018-0751-7;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;Radiation Oncology;10.1186/s13014-018-1161-4;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;Radiation Oncology;10.1186/s13014-019-1238-8;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;Journal of Orthopaedic Surgery and Research;10.1186/s13018-018-0961-4;FALSE;DEU;1899,24;NA
;Heidelberg U;2018;BMC;Journal of Experimental &  Clinical Cancer Research;10.1186/s13046-018-0872-6;FALSE;DEU;1785;NA
;Heidelberg U;2018;BMC;Trials;10.1186/s13063-018-3112-7;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;BMC Research Notes;10.1186/s13104-019-4051-4;FALSE;DEU;999,6;NA
;Heidelberg U;2018;Springer Open;Health economics review;10.1186/s13561-018-0205-7;FALSE;DEU;1237,6;NA
;Heidelberg U;2018;BMC;Clinical sarcoma research;10.1186/s13569-019-0113-6;FALSE;DEU;1661,24;NA
;Heidelberg U;2018;BMC;Cancer & Metabolism;10.1186/s40170-018-0183-6;FALSE;DEU;1899,24;NA
;Heidelberg U;2018;PLOS;PLOS one;10.1371/journal.pone.0202728;FALSE;DEU;1522,38;NA
;Heidelberg U;2018;PLOS;PLOS one;10.1371/journal.pone.0203707;FALSE;DEU;1549,15;NA
;Heidelberg U;2018;PLOS;Plos One;10.1371/journal.pone.0204168;FALSE;DEU;1540,43;NA
;Heidelberg U;2018;PLoS;Plos One;10.1371/journal.pone.0205442;FALSE;DEU;1643,47;NA
;Heidelberg U;2018;PLOS;PLOS one;10.1371/journal.pone.0208587;FALSE;DEU;1549,15;NA
;Heidelberg U;2018;PLOS;Plos One;10.1371/journal.pone.0209507;FALSE;DEU;1624,74;NA
