id;Institution;Period;Publisher;Journal;DOI;is_hybrid;Country;EURO
;Heidelberg U;2019;Termedia;Journal of Contemporary Brachytherapy;10.5114/jcb.2019.87001;FALSE;DEU;238
;Heidelberg U;2019;Akad. f. Raumforschung u. Landesplanung;Raumforschung und Raumordnung;10.2478/rara-2019-0035;FALSE;DEU;250
;Heidelberg U;2019;MDPI;Medicines;10.3390/medicines6020055;FALSE;DEU;274,25
;Heidelberg U;2019;MDPI;Medicines;10.3390/medicines6020043;FALSE;DEU;275,13
;Heidelberg U;2019;MDPI;Universe;10.3390/universe5030081;FALSE;DEU;275,35
;Heidelberg U;2019;Page Press;Orthopedic Reviews;10.4081/or.2019.8204;FALSE;DEU;327
;Heidelberg U;2019;Elsevier;Annals of Medicine and Surgery;10.1016/j.amsu.2019.04.002;FALSE;DEU;430
;Heidelberg U;2019;MDPI;Children;10.3390/children6060077;FALSE;DEU;437,02
;Heidelberg U;2019;Elsevier;Stem Cell Research;10.1016/j.scr.2019.101398;FALSE;DEU;511,7
;Heidelberg U;2019;Elsevier;Stem Cell Research;10.1016/j.scr.2019.101428;FALSE;DEU;511,7
;Heidelberg U;2019;Elsevier;Stem Cell Research;10.1016/j.scr.2019.101402;FALSE;DEU;513,15
;Heidelberg U;2019;MDPI;Molecules;10.3390/molecules24010137;FALSE;DEU;630,67
;Heidelberg U;2019;Elsevier;Clinical and Translational Radiation Oncology;10.1016/j.ctro.2019.06.002;FALSE;DEU;642,6
;Heidelberg U;2019;Elsevier;Clinical and Translational Radiation Oncology;10.1016/j.ctro.2019.08.003;FALSE;DEU;642,6
;Heidelberg U;2019;Springer Nature;Scientific Reports;10.1038/s41598-019-46653-3;FALSE;DEU;745
;Heidelberg U;2019;MDPI;Cancers;10.3390/cancers11030301;FALSE;DEU;784,84
;Heidelberg U;2019;MDPI;ISPRS international Journal of Geo-Information;10.3390/ijgi8050242;FALSE;DEU;789
;Heidelberg U;2019;MDPI;Animals;10.3390/ani9050267;FALSE;DEU;789
;Heidelberg U;2019;MDPI;Social Sciences;10.3390/socsci8120318;FALSE;DEU;811,6
;Heidelberg U;2019;MDPI;Antioxidants;10.3390/antiox8090412;FALSE;DEU;883,03
;Heidelberg U;2019;Univ. Bern, Centre for Development and Environment;Mountain Research and Development;10.1659/MRD-JOURNAL-D-18-00059.1;FALSE;DEU;887,74
;Heidelberg U;2019;Frontiers;Frontiers in Behavioral Neuroscience;10.3389/fnbeh.2019.00129;FALSE;DEU;941,58
;Heidelberg U;2019;Univ. Bern, Centre for Development and Environment;Mountain Research and Development;10.1659/MRD-JOURNAL-D-18-00072.1;FALSE;DEU;951,92
;Heidelberg U;2019;MDPI;International Journal of Environmental Research and Public Health ;10.3390/ijerph16245062;FALSE;DEU;975,59
;Heidelberg U;2019;MDPI;Antioxidants;10.3390/antiox8100482;FALSE;DEU;979,49
