Institution;Period;EURO;DOI;is_hybrid;Publisher;Journal;ISSN;URL
Heidelberg University;2017;1661,24;10.1186/s12894-017-0198-2;FALSE;BMC;BMC Urology;1471-2490;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0169136;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0168721;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0170356;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;1791,35;10.3389/fnsyn.2017.00003;FALSE;Frontiers Media SA;Frontiers in Synaptic Neuroscience;1662-453X;NA
Heidelberg University;2017;1544,26;10.3390/nu9010087;FALSE;MDPI AG;Nutrients;2072-6643;NA
Heidelberg University;2017;1386,35;10.1038/srep41271;FALSE;Macmillan Publ. Ltd;Scientific Reports;2045-2322;NA
Heidelberg University;2017;1386,35;10.1038/srep41107;FALSE;Macmillan Publ. Ltd;Scientific Reports;2045-2322;NA
Heidelberg University;2017;697,94;10.15698/mic2017.02.557;FALSE;Shared Science Publishers;Microbial Cell;2311-2638;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0170324;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;1661,24;10.1186/s12886-017-0407-5;FALSE;BMC;BMC Ophthalmology;1471-2415;NA
Heidelberg University;2017;1604,69;10.3390/ijms18020362;FALSE;MDPI AG;International Journal of Molecular Sciences;1422-0067;NA
Heidelberg University;2017;1249,5;10.5194/tc-11-469-2017;FALSE;Copernicus GmbH;The Cryosphere;1994-0424;NA
Heidelberg University;2017;1661,24;10.1186/s12910-016-0166-5;FALSE;BMC;BMC Medical Ethics;1472-6939;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0171548;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;1661,24;10.1186/s12885-017-3111-1;FALSE;BMC;BMC Cancer;1471-2407;NA
Heidelberg University;2017;1791,35;10.3389/fneur.2017.00060;FALSE;Frontiers Media SA;Frontiers in neurology;1664-2295;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0172479;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;1974,38;10.3389/fimmu.2017.00185;FALSE;Frontiers Media SA;Frontiers in Immunology;1664-3224;NA
Heidelberg University;2017;1885,64;10.1371/journal.pbio.2000245;FALSE;PLoS;Plos Biology;1545-7885;NA
Heidelberg University;2017;1661,24;10.1186/s13063-017-1847-1;FALSE;BMC;Trials;1745-6215;NA
Heidelberg University;2017;533,75;10.1016/j.scr.2017.02.010;FALSE;Elsevier;Stem Cell Research;1876-7753;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0172907;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0172070;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;345,1;10.5194/acp-17-2103-2017;FALSE;Copernicus GmbH;Atmospheric chemistry and physics;1680-7316;NA
Heidelberg University;2017;1658,25;10.1371/journal.pone.0173773;FALSE;PLoS;Plos one;1932-6203;NA
Heidelberg University;2017;803,25;10.5194/amt-10-979-2017;FALSE;Copernicus GmbH;Atmospheric Measurement Techniques;1867-1381;NA
Heidelberg University;2017;761,4;10.3390/molecules22030382;FALSE;Medizin. Klinik, Abt. Klin. Pharmakologie u. Pharmakoepidemiologie;Molecules;1420-3049;NA
Heidelberg University;2016;1746,9;10.1186/s40364-016-0059-2;FALSE;BMC;Biomarker Research;2050-7771;NA
Heidelberg University;2016;1386,4;10.1038/srep19867;FALSE;Nature Publ. Group;Scientific reports;2045-2322;NA
Heidelberg University;2016;1580,6;10.3389/fimmu.2016.00063;FALSE;Frontiers Media SA;Frontiers in immunology;1664-3224;NA
Heidelberg University;2016;800,4;10.1186/s13561-016-0100-z;FALSE;BMC/Springer Open;Health Economics Review;2191-1991;NA
Heidelberg University;2016;1661,2;10.1186/s13063-016-1306-4;FALSE;BMC;Trials;1745-6215;NA
Heidelberg University;2016;1356,6;10.1186/s13550-016-0185-8;FALSE;BMC/Springer Open;EJNMMI Research;2191-219X;NA
Heidelberg University;2016;1661,2;10.1186/s13063-016-1252-1;FALSE;BMC;Trials;1745-6215;NA
Heidelberg University;2016;547,4;10.1186/s40249-016-0188-8;FALSE;BMC;Infectious Diseases of Poverty;2049-9957;NA
Heidelberg University;2016;1661,2;10.1186/s13014-016-0657-z;FALSE;BMC; Radiation Oncology;1748-717X;NA
Heidelberg University;2016;1580,6;10.3389/fnsyn.2016.00005;FALSE;Frontiers Media SA;Frontiers in synaptic neuroscience;1663-3563;NA
Heidelberg University;2016;1661,2;10.1186/s12879-016-1909-0;FALSE;BMC;BMC Infectious Diseases;1471-2334;NA
Heidelberg University;2016;1316,5;10.7150/jca.14169;FALSE;Ivyspring International Publisher;Journal of Cancer;1837-9664;NA
Heidelberg University;2016;1658,3;10.1371/journal.pone.0150326;FALSE;PLOS;PLoS one;1932-6203;NA
Heidelberg University;2016;1441,3;10.3390/rs8030205;FALSE;MDPI;Remote Sensing;2072-4292;NA
Heidelberg University;2016;1941,1;10.1371/journal.pntd.0004284;FALSE;PLOS;PLoS NTD;1935-2735;NA
Heidelberg University;2016;884,2;10.1371/journal.pone.0145572;FALSE;PLOS;PLoS one;1932-6203;NA
Heidelberg University;2016;1661,2;10.1186/s13014-016-0654-2;FALSE;BMC;Radiation Oncology;1748-717X;NA
Heidelberg University;2016;926,6;10.3390/ijgi5040043;FALSE;MDPI;ISPRS International Journal of Geo-Information;2220-9964;NA
Heidelberg University;2016;1661,2;10.1186/s12880-016-0127-y;FALSE;BMC;BMC Medical Imaging;1471-2342;NA
Heidelberg University;2016;1661,2;10.1186/s12872-016-0200-z;FALSE;BMC;BMC Cardiovascular Disorders;1471-2261;NA
Heidelberg University;2016;1661,2;10.1186/s13014-015-0538-x;FALSE;BMC;Radiation Oncology;1748-717X;NA
Heidelberg University;2016;1497,4;10.1371/journal.pone.0151498;FALSE;PLOS;Plos one;1932-6203;NA
Heidelberg University;2016;1822,1;10.1103/PhysRevX.6.021023;FALSE;APS;Physical review X;2160-3308;NA
Heidelberg University;2016;1658,3;10.1371/journal.pone.0151425;FALSE;PLOS;PLoS one;1932-6203;NA
Heidelberg University;2016;1594,6;10.1186/s12885-016-2278-1;FALSE;BMC;BMC Cancer;1471-2407;NA
Heidelberg University;2016;531,1;10.1016/j.ijscr.2016.03.003;FALSE;Elsevier;International Journal of Surgery Case Reports;2210-2612;NA
Heidelberg University;2016;1105,5;10.1098/rsob.160034;FALSE;NA;Open Biology;2046-2441;NA
Heidelberg University;2016;926,6;10.3390/ijgi5040047;FALSE;MDPI;ISPRS International Journal of Geo-Information;2220-9964;NA
Heidelberg University;2016;1661,2;10.1186/s12891-016-1171-z;FALSE;BMC;BMC Musculoskeletal Disorders;1471-2474;NA
Heidelberg University;2016;1658,3;10.1371/journal.pone.0152839;FALSE;PLOS;PLoS one;1932-6203;NA
Heidelberg University;2016;571,2;10.1002/ccr3.567;FALSE;Wiley;Clinical Case Reports;2050-0904;NA
Heidelberg University;2016;1843,3;10.4137/CMC.S38151;FALSE;Libertas Academica;Clinical Medicine Insights: Cardiology;1179-5468;NA
Heidelberg University;2016;1995,1;10.1155/2016/8562805;FALSE;Hindawi;Mediators of Inflammation;1466-1861;NA
