id;Institution;Period;Publisher;Journal;DOI;is_hybrid;Country;EURO;URL;Kommentare: Bitte prüfen
;;2019;PeerJ Inc;PeerJ;10.7717/peerj.8295;;;748,39;;
;;2019;MDPI;Cancers;10.3390/cancers12010043;;;1467,15;;
;;2019;BMC;BMC Plant Biology;10.1186/s12870-020-2326-5;;;1661,24;;
;;2019;BMC;BMC Family Practice;10.1186/s12875-020-01119-8;;;1661,24;;
;;2019;PLOS;PLOS ONE;10.1371/journal.pone.0226911;;;1717,54;;
;;2019;BMC;BMC Geriatrics;10.1186/s12877-020-01513-y;;;1894,48;;
;;2019;BMC;BMC Public Health;10.1186/s12889-020-08534-7;;;1894,48;;
;;2019;Hindawi;Mediators of Inflammation;10.1155/2020/3470163;;;2045,97;;
;;2019;BMC;BMC Health Services Research;10.1186/s12913-020-5045-6;;;1894,48;;
;;2019;BMC;BMC Palliative Care ;10.1186/s12904-020-00540-1;;;1780,24;;
;;2019;BMC;BMC Palliative Care ;10.1186/s12904-020-0527-1;;;1780,24;;
;;2019;BMC;Globalization and Health;10.1186/s12992-020-00552-9;;;1894,48;;
;;2019;BMC;Trials;10.1186/s13063-020-04280-8;;;1704,08;;
;;2019;BMC;Trials;10.1186/s13063-020-4220-8;;;1704,08;;
;;2019;Frontiers;Frontiers in Endocrinology;10.3389/fendo.2020.00246;;;1986,54;;
;;2019;Frontiers;Frontiers in Neurology ;10.3389/fneur.2020.00161;;;2010,17;;
;;2019;Frontiers;Frontiers in Neurology;10.3389/fneur.2020.00345;;;1986,54;;
;;2019;Frontiers;Frontiers in Pharmacology;10.3389/fphar.2020.00681;;;1986,54;;
;;2019;Frontiers;Frontiers in Psychology;10.3389/fpsyg.2020.00413;;;2044,42;;
;;2019;Frontiers;Frontiers in Psychology;10.3389/fpsyg.2020.00470;;;2044,42;;
;;2019;Frontiers;Frontiers in Psychology ;10.3389/fpsyg.2020.00855;;;1968,54;;
;;2019;Frontiers;Frontiers in Psychology;10.3389/fpsyg.2020.00900;;;1986,54;;
