"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"University of Regensburg","2011","1088","10.1186/1471-2164-11-617",FALSE,"BioMed Central","BMC genomics","1471-2164","cc_by","21050470","oai:epub.uni-regensburg.de:17985","17985"
"University of Regensburg","2012","237.64","10.5539/jms.v3n2p68",FALSE,"Canadian Center of Science and Education","Journal of Management and Sustainability","1925-4725, 1925-4733","cc_by",NA,"oai:epub.uni-regensburg.de:19650","19650"
"University of Regensburg","2013","152.32","10.1107/s1600536812043863",FALSE,"International Union of Crystallography","Acta Crystallographica Section E","1600-5368","cc_by",NA,"oai:epub.uni-regensburg.de:20012","20012"
"University of Regensburg","2011","1559.14","10.1371/journal.ppat.1002016",FALSE,"Public Library of Science","PLoS Pathogens",NA,"cc_by",NA,"oai:epub.uni-regensburg.de:20581","20581"
"University of Regensburg","2011","374.77","10.1088/1367-2630/13/6/063020",FALSE,"Institute of Physics","New Journal of Physics",NA,"cc_by",NA,"oai:epub.uni-regensburg.de:20942","20942"
"University of Regensburg","2011","120.63","10.1107/s1600536811013997",FALSE,"International Union of Crystallography","Acta Crystallographica Section E",NA,"cc_by",NA,"oai:epub.uni-regensburg.de:20975","20975"
"University of Regensburg","2011","1542","10.1186/1471-2407-11-120",FALSE,"BioMed Central","BMC Cancer",NA,"cc_by","21457573","oai:epub.uni-regensburg.de:20976","20976"
"University of Regensburg","2011","1632","10.1186/1471-2148-11-55",FALSE,"BioMed Central","BMC evolutionary biology","1471-2148","cc_by","21356125","oai:epub.uni-regensburg.de:20979","20979"
"University of Regensburg","2011","949.77","10.1371/journal.pone.0018582",FALSE,NA,"PloS one","1932-6203","cc_by","21541313","oai:epub.uni-regensburg.de:20982","20982"
"University of Regensburg","2011","1270","10.1186/1748-717x-5-110",FALSE,"BioMed Central","Radiation oncology","1748-717X","cc_by","21092163","oai:epub.uni-regensburg.de:20984","20984"
"University of Regensburg","2011","1468.75","10.1186/1748-717x-5-95",FALSE,"BioMed Central","Radiation oncology","1748-717X","cc_by","20973977","oai:epub.uni-regensburg.de:20985","20985"
"University of Regensburg","2012","1382.95",NA,FALSE,"e-Century Publishing Corporation","International journal of physiology, pathophysiology and pharmacology","1944-8171","cc_by_nc","21760966","oai:epub.uni-regensburg.de:21544","21544"
"University of Regensburg","2011","687.17","10.3390/ma4071238",FALSE,"MDPI","Materials","1996-1944","cc_by",NA,"oai:epub.uni-regensburg.de:21554","21554"
"University of Regensburg","2011","743.07","10.1088/1367-2630/13/6/063033",FALSE,"Institute of Physics","New Journal of Physics",NA,"cc_by",NA,"oai:epub.uni-regensburg.de:21616","21616"
"University of Regensburg","2011","1267.35","10.1093/nar/gkr263",FALSE,"Oxford University Press","Nucleic Acids Research",NA,"cc_by_nc",NA,"oai:epub.uni-regensburg.de:21623","21623"
"University of Regensburg","2011","1096","10.1186/1479-5876-9-124",FALSE,"BioMed Central","Journal of translational medicine","1479-5876","cc_by","21798013","oai:epub.uni-regensburg.de:21897","21897"
"University of Regensburg","2011","2159.85","10.1093/nar/gkr528",FALSE,"Oxford University Press","Nucleic Acids Research",NA,"cc_by_nc",NA,"oai:epub.uni-regensburg.de:21967","21967"
"University of Regensburg","2011","948.1","10.1371/journal.pone.0023599",FALSE,"Public Library of Science","PLoS ONE",NA,"cc_by",NA,"oai:epub.uni-regensburg.de:21968","21968"
"University of Regensburg","2011","994.77","10.1371/journal.pone.0024450",FALSE,"Public Library of Science","PLoS ONE",NA,"cc_by",NA,"oai:epub.uni-regensburg.de:22005","22005"
"University of Regensburg","2011","944","10.1186/1748-717x-6-89",FALSE,"BioMed Central","Radiation Oncology","1748-717X","cc_by","19770290","oai:epub.uni-regensburg.de:22089","22089"
"University of Regensburg","2011","1072","10.1186/1471-2261-11-52",FALSE,"BioMed Central","BMC Cardiovascular Disorders",NA,"cc_by","21835003","oai:epub.uni-regensburg.de:22090","22090"
"University of Regensburg","2011","1056","10.1186/1471-2474-12-192",FALSE,"BioMed Central","BMC musculoskeletal disorders","1471-2474","cc_by","21854588","oai:epub.uni-regensburg.de:22091","22091"
