"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"University of Regensburg","2020","1392.56","10.1002/open.201900011",TRUE,"WILEY-V C H VERLAG GMBH","ChemistryOpen","2191-1363","cc_by_nc_nd",NA,"oai:epub.uni-regensburg.de:41284","41284"
"University of Regensburg","2020","1479.88","10.1002/ece3.5455",TRUE,"WILEY","Ecology and Evolution","2045-7758","cc_by_4",NA,"oai:epub.uni-regensburg.de:41286","41286"
"University of Regensburg","2020","1581.51","10.1002/cam4.2767",TRUE,"WILEY","Cancer Medicine","2045-7634","cc_by_4",NA,"oai:epub.uni-regensburg.de:43057","43057"
"University of Regensburg","2020","1581.51","10.1002/cam4.2573",TRUE,"WILEY","Cancer Medicine","2045-7634","cc_by_4",NA,"oai:epub.uni-regensburg.de:43058","43058"
"University of Regensburg","2020","2215.78","10.1111/acel.13091",TRUE,"WILEY","Aging Cell","1474-9718,  1474-9726","cc_by_4","32083813","oai:epub.uni-regensburg.de:43124","43124"
"University of Regensburg","2020","1370.88","10.1002/ece3.6187",TRUE,"WILEY","Ecology and Evolution","2045-7758","cc_by_4",NA,"oai:epub.uni-regensburg.de:43365","43365"
"University of Regensburg","2020","3962.7","10.1002/advs.201903204",TRUE,"WILEY","Advanced Science","2198-3844","cc_by_4",NA,"oai:epub.uni-regensburg.de:43366","43366"
"University of Regensburg","2020","1808.8","10.1002/clc.23346",TRUE,"WILEY","Clinical Cardiology","0160-9289,  1932-8737","cc_by_4",NA,"oai:epub.uni-regensburg.de:43367","43367"
"University of Regensburg","2021","510.4","10.1002/acm2.13088",TRUE,"WILEY","Journal of Applied Clinical Medical Physics","1526-9914","cc_by_4",NA,"oai:epub.uni-regensburg.de:43940","43940"
"University of Regensburg","2020","1223.32","10.1002/aps3.11351",TRUE,"Wiley","Applications in Plant Sciences","2168-0450","cc_by_4",NA,"oai:epub.uni-regensburg.de:44067","44067"
"University of Regensburg","2020","1713.6","10.1002/open.202000092",TRUE,"WILEY-V C H VERLAG GMBH","ChemistryOpen","2191-1363, 2191-1363","cc_by_nc_nd_4",NA,"oai:epub.uni-regensburg.de:44068","44068"
"University of Regensburg","2020","2170.56","10.1002/ehf2.12895",TRUE,"WILEY PERIODICALS, INC","ESC Heart Failure","2055-5822","cc_by_nc_nd_4",NA,"oai:epub.uni-regensburg.de:44069","44069"
"University of Regensburg","2020","1523.2","10.1002/jha2.44",TRUE,"Wiley","eJHaem","2688-6146, 2688-6146","cc_by_4",NA,"oai:epub.uni-regensburg.de:44072","44072"
"University of Regensburg","2020","1336.32","10.1002/ece3.6689",TRUE,"WILEY","Ecology and Evolution","2045-7758","cc_by_4",NA,"oai:epub.uni-regensburg.de:44273","44273"
"University of Regensburg","2020","2644.8","10.1002/ehf2.13024",TRUE,"WILEY PERIODICALS, INC","ESC Heart Failure","2055-5822","cc_by_nc_4",NA,"oai:epub.uni-regensburg.de:44274","44274"
"University of Regensburg","2020","2115.84","10.1002/ehf2.13063",TRUE,"Wiley","ESC Heart Failure","2055-5822","cc_by_nc_4",NA,"oai:epub.uni-regensburg.de:44275","44275"
"University of Regensburg","2021","3451","10.1038/s41467-020-20148-6",TRUE,"Nature Research","Nature Communications","2041-1723","cc_by_4",NA,"oai:epub.uni-regensburg.de:44462","44462"
"University of Regensburg","2021","1458.27","10.1186/s12873-021-00462-y",TRUE,"Springer Nature","BMC Emergency Medicine",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:44781","44781"
"University of Regensburg","2021","1599.36","10.1002/cnr2.1350",TRUE,"Wiley","Cancer Reports","2573-8348","cc_by_4","33624444","oai:epub.uni-regensburg.de:44783","44783"
"University of Regensburg","2021","2310.72","10.1186/s12967-020-02484-9",TRUE,"BMC","Journal of Translational Medicine","1479-5876","cc_by_4",NA,"oai:epub.uni-regensburg.de:44922","44922"
"University of Regensburg","2021","2487.04","10.1186/s13054-020-03246-1",TRUE,"BMC","Critical Care","1364-8535","cc_by",NA,"oai:epub.uni-regensburg.de:44923","44923"
"University of Regensburg","2021","1893.12","10.1186/s12891-020-03776-3",TRUE,"BMC","BMC Musculoskeletal Disorders","1471-2474","cc_by_4",NA,"oai:epub.uni-regensburg.de:44924","44924"
"University of Regensburg","2021","1730.14","10.1038/s41598-020-75925-6",TRUE,"NATURE RESEARCH","Scientific Reports","2045-2322","cc_by_4",NA,"oai:epub.uni-regensburg.de:44926","44926"
"University of Regensburg","2021","1730.14","10.1038/s41598-020-71077-9",TRUE,"NATURE PUBLISHING GROUP","Scientific Reports","2045-2322","cc_by_4",NA,"oai:epub.uni-regensburg.de:44928","44928"
"University of Regensburg","2021","1846.72","10.1186/s12920-020-00760-7",TRUE,"BMC","BMC Medical Genomics","1755-8794","cc_by_4",NA,"oai:epub.uni-regensburg.de:44929","44929"
"University of Regensburg","2021","1893.12","10.1186/s12913-020-05806-1",TRUE,"BMC","BMC Health Services Research","1472-6963","cc_by",NA,"oai:epub.uni-regensburg.de:44974","44974"
"University of Regensburg","2021","3346","10.1038/s41467-020-18104-5",TRUE,"NATURE RESEARCH","Nature Communications","2041-1723","cc_by_4",NA,"oai:epub.uni-regensburg.de:44976","44976"
"University of Regensburg","2021","1893.12","10.1186/s12913-020-05927-7",TRUE,"BMC","BMC Health Services Research","1472-6963","cc_by",NA,"oai:epub.uni-regensburg.de:44981","44981"
"University of Regensburg","2021","1735.36","10.1186/s12879-020-05386-9",TRUE,"BMC","BMC Infectious Diseases","1471-2334","cc_by_4",NA,"oai:epub.uni-regensburg.de:44982","44982"
"University of Regensburg","2021","1730.14","10.1038/s41598-020-71441-9",TRUE,"NATURE PUBLISHING GROUP","Scientific Reports","2045-2322","cc_by_4",NA,"oai:epub.uni-regensburg.de:44983","44983"
"University of Regensburg","2021","1730.14","10.1038/s41598-020-78096-6",TRUE,"NATURE RESEARCH","Scientific Reports","2045-2322","cc_by_4",NA,"oai:epub.uni-regensburg.de:44984","44984"
"University of Regensburg","2021","2310.72","10.1186/s40478-020-01000-w",TRUE,"BMC","Acta Neuropathologica Communications","2051-5960","cc_by_4",NA,"oai:epub.uni-regensburg.de:44985","44985"
"University of Regensburg","2021","1016.16","10.1186/s13256-020-02474-x",TRUE,"BMC","Journal of Medical Case Reports","1752-1947","cc_by_4",NA,"oai:epub.uni-regensburg.de:44988","44988"
"University of Regensburg","2021","1661.12","10.1186/s12944-020-01425-1",TRUE,"BMC","Lipids in Health and Disease","1476-511X","cc_by_4",NA,"oai:epub.uni-regensburg.de:44989","44989"
"University of Regensburg","2021","1376.46","10.1186/s41747-020-00193-y",TRUE,"Springer Nature","European Radiology Experimental","2509-9280","cc_by_4",NA,"oai:epub.uni-regensburg.de:44990","44990"
"University of Regensburg","2021","1730.14","10.1038/s41598-020-70332-3",TRUE,"NATURE RESEARCH","Scientific Reports","2045-2322","cc_by_4",NA,"oai:epub.uni-regensburg.de:44991","44991"
