"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"University of Regensburg","2021","2084.88","10.1016/j.jlr.2021.100050",FALSE,"Elsevier","Journal of Lipid Research",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:44921","44921"
"University of Regensburg","2021","1906.38","10.3324/haematol.2019.229252",FALSE,"Ferrata Storti Foundation","Haematologica","1592-8721, 0390-6078","cc_by_nc_4",NA,"oai:epub.uni-regensburg.de:45155","45155"
"University of Regensburg","2021","1931.47","10.3390/ijms22147660",FALSE,"MDPI","International Journal of Molecular Sciences",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:45923","45923"
"University of Regensburg","2021","1931.47","10.3390/ijms22157886",FALSE,"MDPI","International Journal of Molecular Sciences",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:46054","46054"
"University of Regensburg","2021","1931.47","10.3390/ijms22157852",FALSE,"MDPI","International Journal of Molecular Sciences",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:46060","46060"
"University of Regensburg","2021","1448.6","10.3390/medicina57090982",FALSE,"MDPI","Journal of Clinical Medicine",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:46077","46077"
"University of Regensburg","2021","1803.33","10.1371/journal.pone.0256912",FALSE,"Public Library of Science","PLOS ONE",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:47899","47899"
"University of Regensburg","2021","2125.3","10.3389/fimmu.2021.767175",FALSE,"Frontiers Media SA","Frontiers in immunology",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:49249","49249"
"University of Regensburg","2021","1963.5","10.1080/17453674.2021.1980676",FALSE,"Taylor and Francis Group","Acta Orthopaedica","1745-3682","cc_by_4",NA,"oai:epub.uni-regensburg.de:49292","49292"
"University of Regensburg","2021","1931.47","10.3390/app11198873",FALSE,"MDPI","Applied Sciences",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:49322","49322"
"University of Regensburg","2021","1842.76","10.1371/journal.pone.0258018",FALSE,"Public Library of Science","PLOS ONE","1932-6203","cc_by","34587211","oai:epub.uni-regensburg.de:49380","49380"
"University of Regensburg","2022","715.53","10.22203/ecm.v042a27",FALSE,"AO Research Institute Davos","European Cells and Materials","1473-2262","cc_by_4",NA,"oai:epub.uni-regensburg.de:50984","50984"
"University of Regensburg","2021","2431.25","10.1155/2021/9920189",FALSE,"Hindawi","BioMed Research International","2314-6141, 2314-6133","cc_by_4",NA,"oai:epub.uni-regensburg.de:51366","51366"
"University of Regensburg","2021","1962.37","10.1097/md.0000000000027060",FALSE,"Wolter Kluwer","Medicine","1536-5964, 0025-7974","cc_by_4",NA,"oai:epub.uni-regensburg.de:51372","51372"
"University of Regensburg","2022","2150","10.1371/journal.pone.0256560",FALSE,"Public Library of Science","PLOS ONE","1932-6203","cc_by_4",NA,"oai:epub.uni-regensburg.de:51409","51409"
"University of Regensburg","2022","1609.56","10.3390/vaccines10020311",FALSE,"MDPI","Vaccines",NA,"cc_by_4",NA,"oai:epub.uni-regensburg.de:51435","51435"
"University of Regensburg","2021","2124.61","10.3390/jcm10204720",FALSE,"MDPI","Journal of Clinical Medicine","2077-0383","cc_by_4",NA,"oai:epub.uni-regensburg.de:51462","51462"
"University of Regensburg","2021","2124.61","10.3390/cancers13205113",FALSE,"MDPI","Cancers","2072-6694","cc_by_4",NA,"oai:epub.uni-regensburg.de:51463","51463"
"University of Regensburg","2021","1931.47","10.3390/biomedicines9111545",FALSE,"MDPI","Biomedicines","2227-9059","cc_by_4",NA,"oai:epub.uni-regensburg.de:51464","51464"
"University of Regensburg","2021","2124.61","10.3390/jcm10215122",FALSE,"MDPI","Journal of Clinical Medicine","2077-0383","cc_by_4",NA,"oai:epub.uni-regensburg.de:51465","51465"
"University of Regensburg","2021","2124.61","10.3390/jcm10214980",FALSE,"MDPI","Journal of Clinical Medicine","2077-0383","cc_by_4",NA,"oai:epub.uni-regensburg.de:51466","51466"
"University of Regensburg","2021","1931.47","10.3390/molecules26216632",FALSE,"MDPI","Molecules","1420-3049","cc_by_4",NA,"oai:epub.uni-regensburg.de:51467","51467"
