pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Universität Regensburg;Annales Henri Poincaré;1424-0661;10.1007/s00023-022-01236-3;https://doi.org/10.1007/s00023-022-01236-3;30.09.2022;07.09.2022;2750;originalpaper;Research Article;optin
2;Universität Regensburg;The Journal of Real Estate Finance and Economics;1573-045X;10.1007/s11146-022-09915-y;https://doi.org/10.1007/s11146-022-09915-y;13.07.2022;17.06.2022;2750;originalpaper;Research Article;optin
3;Universität Regensburg;Plant Systematics and Evolution;1615-6110;10.1007/s00606-022-01823-1;https://doi.org/10.1007/s00606-022-01823-1;20.07.2022;16.06.2022;2750;briefcommunication;Research Article;optin
4;Universität Regensburg;Alpine Botany;1664-221X;10.1007/s00035-022-00286-x;https://doi.org/10.1007/s00035-022-00286-x;28.06.2022;01.06.2022;2750;originalpaper;Research Article;optin
5;Universität Regensburg;Communications in Mathematical Physics;1432-0916;10.1007/s00220-022-04336-7;https://doi.org/10.1007/s00220-022-04336-7;21.02.2022;24.01.2022;2750;originalpaper;Research Article;optin
6;Universität Regensburg;Electronic Markets;1422-8890;10.1007/s12525-022-00568-6;https://doi.org/10.1007/s12525-022-00568-6;27.07.2022;18.05.2022;2750;originalpaper;Research Article;optin
7;Universität Regensburg;Zeitschrift für Außen- und Sicherheitspolitik;1866-2196;10.1007/s12399-022-00914-8;https://doi.org/10.1007/s12399-022-00914-8;12.09.2022;21.07.2022;917;bookreview;Non Research Article;optin
8;Universität Regensburg;Inventiones Mathematicae;1432-1297;10.1007/s00222-022-01131-y;https://doi.org/10.1007/s00222-022-01131-y;19.07.2022;07.06.2022;2750;originalpaper;Research Article;optin
9;Universität Regensburg;Zeitschrift für Angewandte Mathematik und Physik;1420-9039;10.1007/s00033-022-01803-y;https://doi.org/10.1007/s00033-022-01803-y;14.07.2022;15.06.2022;2750;originalpaper;Research Article;optin
10;Universität Regensburg;British Journal of Cancer;1532-1827;10.1038/s41416-022-02120-x;https://doi.org/10.1038/s41416-022-02120-x;26.12.2022;12.12.2022;2750;originalpaper;Research Article;optin
11;Universität Regensburg;Analytical and Bioanalytical Chemistry;1618-2650;10.1007/s00216-022-04363-2;https://doi.org/10.1007/s00216-022-04363-2;24.10.2022;27.09.2022;2750;reviewpaper;Research Article;optin
12;Universität Regensburg;Politische Vierteljahresschrift;1862-2860;10.1007/s11615-022-00420-8;https://doi.org/10.1007/s11615-022-00420-8;18.08.2022;19.07.2022;917;bookreview;Non Research Article;optin
13;Universität Regensburg;Zeitschrift für Religion, Gesellschaft und Politik;2510-1226;10.1007/s41682-022-00117-0;https://doi.org/10.1007/s41682-022-00117-0;24.05.2022;12.04.2022;2750;originalpaper;Research Article;optin
14;Universität Regensburg;Psychopharmacology;1432-2072;10.1007/s00213-022-06111-x;https://doi.org/10.1007/s00213-022-06111-x;12.03.2022;28.02.2022;2750;originalpaper;Research Article;optin
15;Universität Regensburg;Cognitive, Affective, & Behavioral Neuroscience;1531-135X;10.3758/s13415-021-00981-y;https://doi.org/10.3758/s13415-021-00981-y;28.01.2022;16.12.2021;2750;originalpaper;Research Article;optin
16;Universität Regensburg;Zeitschrift für Religion, Gesellschaft und Politik;2510-1226;10.1007/s41682-022-00114-3;https://doi.org/10.1007/s41682-022-00114-3;09.05.2022;20.04.2022;917;editorialnotes;Non Research Article;optin
17;Universität Regensburg;Calculus of Variations and Partial Differential Equations;1432-0835;10.1007/s00526-022-02237-0;https://doi.org/10.1007/s00526-022-02237-0;13.05.2022;05.04.2022;2750;originalpaper;Research Article;optin
18;Universität Regensburg;Erkenntnis;1572-8420;10.1007/s10670-022-00628-5;https://doi.org/10.1007/s10670-022-00628-5;10.11.2022;21.10.2022;2750;originalpaper;Research Article;optin
19;Universität Regensburg;Calculus of Variations and Partial Differential Equations;1432-0835;10.1007/s00526-022-02233-4;https://doi.org/10.1007/s00526-022-02233-4;05.05.2022;05.04.2022;2750;originalpaper;Research Article;optin
20;Universität Regensburg;Pflügers Archiv - European Journal of Physiology;1432-2013;10.1007/s00424-022-02694-8;https://doi.org/10.1007/s00424-022-02694-8;05.05.2022;22.04.2022;2750;reviewpaper;Research Article;optin
21;Universität Regensburg;SN Computer Science;2661-8907;10.1007/s42979-022-01209-7;https://doi.org/10.1007/s42979-022-01209-7;24.06.2022;15.05.2022;2750;originalpaper;Research Article;optin
22;Universität Regensburg;Microchimica Acta;1436-5073;10.1007/s00604-022-05492-2;https://doi.org/10.1007/s00604-022-05492-2;18.10.2022;11.09.2022;2750;originalpaper;Research Article;optin
23;Universität Regensburg;OR Spectrum;1436-6304;10.1007/s00291-022-00675-y;https://doi.org/10.1007/s00291-022-00675-y;30.03.2022;03.03.2022;2750;originalpaper;Research Article;optin
24;Universität Regensburg;Electronic Markets;1422-8890;10.1007/s12525-022-00612-5;https://doi.org/10.1007/s12525-022-00612-5;13.12.2022;27.10.2022;2750;originalpaper;Research Article;optin
25;Universität Regensburg;Review of Managerial Science;1863-6691;10.1007/s11846-022-00581-1;https://doi.org/10.1007/s11846-022-00581-1;29.08.2022;08.08.2022;2750;originalpaper;Research Article;optin
26;Universität Regensburg;Politische Vierteljahresschrift;1862-2860;10.1007/s11615-021-00365-4;https://doi.org/10.1007/s11615-021-00365-4;11.01.2022;08.12.2021;2750;originalpaper;Research Article;optin
27;Universität Regensburg;Unterrichtswissenschaft;2520-873X;10.1007/s42010-022-00157-8;https://doi.org/10.1007/s42010-022-00157-8;05.09.2022;06.08.2022;2750;originalpaper;Research Article;optin
28;Universität Regensburg;Annales Henri Poincaré;1424-0661;10.1007/s00023-022-01215-8;https://doi.org/10.1007/s00023-022-01215-8;16.09.2022;18.06.2022;2750;originalpaper;Research Article;optin
30;Universität Regensburg;Monatshefte für Chemie - Chemical Monthly;1434-4475;10.1007/s00706-022-02943-7;https://doi.org/10.1007/s00706-022-02943-7;13.07.2022;06.06.2022;2750;originalpaper;Research Article;optin
31;Universität Regensburg;Letters in Mathematical Physics;1573-0530;10.1007/s11005-022-01534-1;https://doi.org/10.1007/s11005-022-01534-1;07.04.2022;17.03.2022;2750;originalpaper;Research Article;optin
32;Universität Regensburg;Pflügers Archiv - European Journal of Physiology;1432-2013;10.1007/s00424-022-02774-9;https://doi.org/10.1007/s00424-022-02774-9;08.12.2022;18.11.2022;2750;originalpaper;Research Article;optin
