institution;apc;period;doi;currency;is_hybrid
Consejo Superior de Investigaciones Cientificas (CSIC);1690;01/01/2023;10.1186/s40517-023-00246-6;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2090;01/01/2023;10.1186/s40644-023-00553-y;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1890;01/01/2023;10.1186/s40793-023-00480-2;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1890;01/01/2023;10.1186/s40793-023-00513-w;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1090;01/01/2023;10.1186/s41118-023-00182-0;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2090;01/01/2023;10.1186/s41231-023-00156-6;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1140;01/01/2023;10.1186/s42055-023-00052-9;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);4290;01/01/2023;10.1186/s13059-023-03127-0;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2490;01/01/2023;10.1186/s12979-023-00402-3;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2890;01/01/2023;10.1186/s13046-023-02931-7;EUR;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2390;01/01/2023;10.1186/s13071-023-06069-5;EUR;FALSE
