doi,colour charge,cover charge,page charge,permission,reprint,submission fee,payment fee,CC by license,transfer fee,supplemental material fee
10.1364/OE.520643,     NA,NA,     NA,NA,NA,NA,32.59,232.78,,
10.2355/isijinternational.ISIJINT-2023-436,     NA,NA, 585.94,NA,NA,NA,   NA,    NA,,
10.5194/angeo-42-117-2024,     NA,NA,1106.83,NA,NA,NA,   NA,    NA,,
10.1364/OE.508004,     NA,NA,     NA,NA,NA,NA,31.09,    NA,,
10.1364/OE.505539,     NA,NA,     NA,NA,NA,NA,31.77,226.90,,
10.1364/OE.513734,     NA,NA,     NA,NA,NA,NA,31.91,227.92,,
10.1364/OE.509813,     NA,NA,     NA,NA,NA,NA,33.31,237.96,,
10.1128/spectrum.00348-24,     NA,NA,     NA,NA,NA,NA,   NA,    NA,,4045.5426975476844
10.1126/sciadv.adi3180,     NA,NA,     NA,NA,NA,NA,   NA,    NA,,4795.245367847412
10.1115/1.4063867,1414.63,NA,     NA,NA,NA,NA,   NA,    NA,,
10.1364/OL.531038,     NA,NA,     NA,NA,NA,NA,33.04,    NA,,
10.1038/s44183-024-00075-5,     NA,NA,     NA,NA,NA,NA,56.41,    NA,,
10.20517/energymater.204,     NA,NA,     NA,NA,NA,NA,   NA,    NA,552.73,
10.1364/OE.527421,     NA,NA,     NA,NA,NA,NA,33.70,    NA,,
