institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url,colour charge,cover charge,page charge,permission,reprint,submission fee,payment fee,CC by license,transfer fee,supplemental material fee
kth,2024,3158.69,10.1080/09668136.2024.2327250,True,,,,,,,,,,,,,,,,
kth,2024,795.07,10.4271/09-12-01-0007,True,,,,,,,,,,,,,,,,
kth,2024,4054.74,10.1016/j.cej.2024.148655,True,,,,,,,,,,,,,,,,
kth,2024,2078.97,10.3390/polym16030381,False,,,,,,,,,,,,,,,,
kth,2024,3284.41,10.1152/jn.00129.2024,True,,,,,,,,,,,,,,,,
kth,2024,437.5,10.3390/f15020263,False,,,,,,,,,,,,,,,,
kth,2024,1978.63,10.1364/OE.520643,False,,,,,,,NA,,NA,,,,32.59,232.78,,
kth,2024,507.54,10.3926/jiem.7182,False,,,,,,,,,,,,,,,,
kth,2024,0.0,10.2355/isijinternational.ISIJINT-2023-436,False,,,,,,,NA,, 585.94,,,,NA, NA,,
kth,2024,1093.35,10.17743/jaes.2022.0143.,True,,,,,,,,,,,,,,,,
kth,2024,0.0,10.5194/angeo-42-117-2024,False,,,,,,,NA,,1106.83,,,,NA, NA,,
kth,2024,1285.49,10.1039/D4RA01380H,False,,,,,,,,,,,,,,,,
kth,2024,1784.73,10.1039/D3NA00876B,False,,,,,,,,,,,,,,,,
kth,2024,1887.82,10.1364/OE.508004,False,,,,,,,NA,,NA,,,,31.09, NA,,
kth,2024,1998.69,10.1504/IJHFE.2024.139191,True,,,,,,,,,,,,,,,,
kth,2024,1887.79,10.1364/OE.505539,False,,,,,,,NA,,NA,,,,31.77,226.90,,
kth,2024,1937.28,10.1364/OE.513734,False,,,,,,,NA,,NA,,,,31.91,227.92,,
kth,2024,2022.68,10.1364/OE.509813,False,,,,,,,NA,,NA,,,,33.31,237.96,,
kth,2024,2351.46,10.1103/PhysRevResearch.5.043199,False,,,,,,,,,,,,,,,,
kth,2024,1270.49,10.1039/D4RA02281E,False,,,,,,,,,,,,,,,,
kth,2024,1270.49,10.1039/D4RA02130D,False,,,,,,,,,,,,,,,,
kth,2024,3142.22,10.1152/ajpregu.00246.2023,True,,,,,,,,,,,,,,,,
kth,2024,3236.97,10.1152/ajpregu.00260.2023,True,,,,,,,,,,,,,,,,
kth,2024,3296.44,10.26508/lsa.202302244,False,,,,,,,,,,,,,,,,
kth,2024,3157.16,10.1128/spectrum.00348-24,False,,,,,,,NA,,NA,,,,NA, NA,,4045.542697547685
kth,2024,1769.91,10.1039/D3MA01090B,False,,,,,,,,,,,,,,,,
kth,2024,1769.91,10.1039/D3MA00828B,False,,,,,,,,,,,,,,,,
kth,2024,4145.83,10.1126/sciadv.adl2267,False,,,,,,,,,,,,,,,,
kth,2024,3742.24,10.1126/sciadv.adi3180,False,,,,,,,NA,,NA,,,,NA, NA,,4795.245367847412
kth,2024,450.73,10.62492/sefijeea.v1i1.16,True,,,,,,,,,,,,,,,,
kth,2024,1485.57,10.1162/comj_a_00675,True,,,,,,,,,,,,,,,,
kth,2024,1713.9,10.1142/S0219455425400176,True,,,,,,,,,,,,,,,,
kth,2024,1727.85,10.1162/leon_a_02608,True,,,,,,,,,,,,,,,,
kth,2024,1739.82,10.1142/s0219455425400127,True,,,,,,,,,,,,,,,,
kth,2024,2013.6,10.1039/D4MA00094C,False,,,,,,,,,,,,,,,,
kth,2024,2024.41,10.1039/D4NA00191E,False,,,,,,,,,,,,,,,,
kth,2024,2070.71,10.1364/CLEO_SI.2024.SW4N.3,True,,,,,,,,,,,,,,,,
kth,2024,2199.77,10.1364/OL.531038,True,,,,,,,NA,,NA,,,,33.04, NA,,
kth,2024,2180.66,10.1038/s44183-024-00075-5,False,,,,,,,NA,,NA,,,,56.41, NA,,
kth,2024,2555.05,10.1016/j.jbc.2024.107795,False,,,,,,,,,,,,,,,,
kth,2024,2591.32,10.1063/4.0000263,False,,,,,,,,,,,,,,,,
kth,2024,2704.09,10.1115/1.4066989,True,,,,,,,,,,,,,,,,
kth,2024,2971.95,10.1139/cjce-2024-0077,True,,,,,,,,,,,,,,,,
kth,2024,3019.43,10.1137/24M1661753,True,,,,,,,,,,,,,,,,
kth,2024,3034.3,10.1137/23M1603029,True,,,,,,,,,,,,,,,,
kth,2024,3518.19,10.3791/67116,True,,,,,,,,,,,,,,,,
kth,2024,3604.3,10.1089/neu.2024.0183,True,,,,,,,,,,,,,,,,
kth,2024,1547.64,10.20517/energymater.204,True,,,,,,,NA,,NA,,,,NA, NA,552.73,
kth,2024,2046.22,10.1364/OE.527421,False,,,,,,,NA,,NA,,,,33.70, NA,,
kth,2024,2605.68,10.1063/5.0232419,False,,,,,,,,,,,,,,,,
kth,2024,2830.93,10.3847/1538-4357/ad812e,False,,,,,,,,,,,,,,,,
kth,2022,1249.62,10.1109/TWC.2024.3350923,True,,,,,,,,,,,,,,,,
kth,2022,1249.62,10.1109/TBME.2024.3352556,True,,,,,,,,,,,,,,,,
kth,2022,1249.62,10.1109/TSTE.2023.3341632,True,,,,,,,,,,,,,,,,
kth,2022,1249.62,10.1109/TTHZ.2024.3356184,True,,,,,,,,,,,,,,,,
kth,2022,1249.62,10.1109/TIE.2024.3355525,True,,,,,,,,,,,,,,,,
kth,2022,1249.62,10.1109/TED.2024.3361409,True,,,,,,,,,,,,,,,,
kth,2022,1249.62,10.1109/ACCESS.2024.3365053,False,,,,,,,,,,,,,,,,
kth,2022,1249.62,10.1109/OJAP.2024.3365039,False,,,,,,,,,,,,,,,,
