institution;period;PMCID;PMID;DOI;Publisher;Journal title;ISSN;euro;is_hybrid
Wellcome Trust;2014;PMC4305216;24752909;10.1111/maq.12092;American Anthropological Association;Medical Anthropology Quarterly;0745-5194;2198.70;TRUE
Wellcome Trust;2014;PMC3990471;24686174;10.1158/0008-5472.CAN-13-2131;American Association for Cancer Research;Cancer Research;0008-5472, 1538-7445;2200.73;TRUE
Wellcome Trust;2014;PMC4172367;23403638;10.1158/1078-0432.CCR-12-3066;American Association for Cancer Research;Clinical Cancer Research;1078-0432;2908.32;TRUE
Wellcome Trust;2014;PMC4058314;24713432;10.1158/0008-5472.CAN-13-2941;American Association for Cancer Research;The American Journal of Cancer;0008-5472, 1538-7445;2574.63;TRUE
Wellcome Trust;2014;PMC4082405;24753544;10.1158/1055-9965.EPI-13-0889;American Association for Cancer Research;Cancer Epidemiology, Biomarkers and Prevention;1055-9965, 1538-7755;2609.84;TRUE
Wellcome Trust;2014;PMC3932810;24470500;10.4049/jimmunol.1302082;American Association of Immunologists;Journal of Immunology;0022-1767, 1550-6606;2221.98;TRUE
Wellcome Trust;2014;PMC4082723;24928993;10.4049/jimmunol.1303389;American Association of Immunologists;Journal of Immunology;0022-1767, 1550-6606;2176.71;TRUE
Wellcome Trust;2014;PMC4157852;25114104;10.4049/jimmunol.1401056;American Association of Immunologists;The Journal of Immunologists;0022-1767, 1550-6606;1858.37;TRUE
Wellcome Trust;2014;PMC4191058;25148246;10.1021/jp508386r;American Chemical Society;Journal of Physical Chemistry B;1520-6106, 1520-5207;1574.18;TRUE
Wellcome Trust;2014;PMC4068217;24669831;10.1021/cb500135f;American Chemical Society;ACS Chemical Biology;1554-8929, 1554-8937;2820.44;TRUE
Wellcome Trust;2014;PMC4006885;24640988;10.1021/ac500447w;American Chemical Society;Analytical Chemistry;0003-2700, 1520-6882;2646.69;TRUE
Wellcome Trust;2014;PMC3924879;24554921;10.1021/ct200465z;American Chemical Society;Journal of Chemical Theory and Computation;1549-9618, 1549-9626;1117.03;TRUE
Wellcome Trust;2014;PMC3805323;23557376;10.1021/pr301127f;American Chemical Society;Journal of Proteome Research;1535-3893, 1535-3907;1810.29;TRUE
Wellcome Trust;2014;PMC3805328;23659346;10.1021/pr400219s;American Chemical Society;Journal of Proteome Research;1535-3893, 1535-3907;1810.29;TRUE
