"PubMed ID","Journal Title","Open Access?","Publication Date","Publisher","Licence","EPMC lic","Fulltext in EPMC?","AAM?","DOI","E-ISSN","Type of publication","Article title","Fund that APC is paid from (1)","Fund that APC is paid from (2)","AOP?","Funder of research (1)","Grant ID (1)","Funder of research (2)","Grant ID (2)","Funder of research (3)","Grant ID (3)","Date of APC payment","APC paid (actual currency) excluding VAT","Currency of APC","APC paid (£) including VAT if charged","Additional publication costs (£)","Discounts, memberships & pre-payment agreements","Amount of APC charged to COAF grant (including VAT if charged) in £","Amount of APC charged to RCUK OA fund (including VAT if charged) in £","Licence","Notes","AOP?"
28976022,"Movement Disorders",0,1/1/2018,"Wiley","cc-by","cc-by",1,0,"10.1002/mds.27177","1531-8257","Journal Article/Review","Development and validation of prognostic survival models in newly diagnosed Parkinson's disease","COAF",,"Unknown","Parkinson's UK","G-0502","Parkinson's UK","G-0914","Parkinson's UK","G-1302",11/8/2018,1500,"GBP",1800,0,"Institutional_Prepayment",1800,,"CC BY",,"Unknown"
29211002,"International Journal of Molecular Sciences",1,12/1/2017,"MDPI AG","cc-by","cc-by",1,0,"10.3390/ijms18122631","1422-0067","Journal Article/Review","Pan-Domain Analysis of ZIP Zinc Transporters","COAF",,"Unknown","Wellcome Trust","102549/Z/13/Z",,,,,12/1/2018,1800,"CHF",1644.25,0,,1644.25,,"CC BY",,"Unknown"
29079685,"Neurology",0,11/1/2017,"Ovid Technologies (Wolters Kluwer Health)","cc-by","cc-by",1,0,"10.1212/WNL.0000000000004691","1526-632X","Journal Article/Review","Early weight loss in parkinsonism predicts poor outcomes: evidence from an incident cohort study","COAF",,"Unknown","Parkinson's UK","G-1302",,,,,10/21/2018,4000,"USD",3595.2,0,,3595.2,,"CC BY",,"Unknown"
27984524,"PAIN",0,1/1/2017,"Ovid Technologies (Wolters Kluwer Health)","cc-by-nc-nd","cc-by-nc-nd",1,0,"10.1097/j.pain.0000000000000732","1872-6623","Journal Article/Review","Investigating generalizability of results from a randomized controlled trial of the management of chronic widespread pain: the MUSICIAN study","COAF",,"Unknown","Arthritis Research UK",17292,,,,,10/1/2017,900,"USD",808.91,0,,808.91,,"CC BY","Cost to upgrade license to CC-BY (2nd part of payment from last year)","Unknown"
29229250,"Developmental Biology",0,2/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.ydbio.2017.11.017","0012-1606","Journal Article/Review","Genome-wide transcriptomics analysis identifies sox7 and sox18 as specifically regulated by gata4 in cardiomyogenesis","COAF",,"Unknown","British Heart Foundation","PG/13/23/30080",,,,,12/6/2017,1973.53,"EUR",2093.07,0,,2093.07,,"CC BY",,"Unknown"
29184547,"Frontiers in Microbiology",1,1/1/2017,"Frontiers Media SA","cc-by","cc-by",1,0,"10.3389/fmicb.2017.02238","1664-302X","Journal Article/Review","Zinc limitation induces a hyper-adherent Goliath phenotype in Candida albicans","COAF",,"Unknown","Wellcome Trust","102549/Z/13/Z",,,,,10/31/2017,2490,"USD",2280.13,0,,2280.13,,"CC BY",,"Unknown"
29876429,"Data in Brief",1,4/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.dib.2018.01.005","2352-3409","Journal Article/Review","Genome-wide transcriptomics analysis of genes regulated by GATA4, 5 and 6 during cardiomyogenesis in Xenopus laevis","COAF",,"Unknown","British Heart Foundation","PG/13/23/30080",,,,,1/18/2018,220.93,"EUR",233.62,0,,233.62,,"CC BY",,"Unknown"
29437927,"mBio",1,2/1/2018,"American Society for Microbiology","cc-by","cc-by",1,0,"10.1128/mBio.02383-17","2150-7511","Journal Article/Review","The Viscoelastic Properties of the Fungal Cell Wall Allow Traffic of AmBisome as Intact Liposome Vesicles","COAF",,"Unknown","Wellcome Trust",80088,"Wellcome Trust",86827,"Wellcome Trust",75470,1/23/2018,2510,"USD",1945.45,0,,1945.45,,"CC BY",,"Unknown"
29580260,"BMC Trials",1,3/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1186/s13063-018-2572-0","1745-6215","Journal Article/Review","Systematic Techniques to Enhance rEtention in Randomised controlled trials: the STEER study protocol","COAF",,"Unknown","Wellcome Trust","ISSF Award",,,,,4/17/2018,1370,"GBP",1644,0,,1644,,"CC BY",,"Unknown"
29961002,"BMJ Open",1,6/1/2018,"BMJ","cc-by","cc-by",1,0,"10.1136/bmjopen-2017-019435","2044-6055","Journal Article/Review","Acute kidney injury in the UK: A replication cohort study of the variation across three regional populations","COAF",,"Unknown","Wellcome Trust","102729/Z/13/Z",,,,,5/17/2018,1350,"GBP",1625,0,,1625,,"CC BY",,"Unknown"
29727465,"PLoS Pathogens",1,5/1/2018,"Public Library of Science (PLoS)","cc-by","cc-by",1,0,"10.1371/journal.ppat.1007013","1553-7374","Journal Article/Review","Biphasic zinc compartmentalisation in a human fungal pathogen","COAF",,"Unknown","Wellcome Trust","102549/Z/13/Z ","Wellcome Trust","097377/Z/11/Z",,,4/25/2018,2250,"USD",1662,0,,1662,,"CC BY",,"Unknown"
