institution,period,is_hybrid,DOI,euro
Wellcome Trust,2018,TRUE,10.1002/mds.27177,2034.36
Wellcome Trust,2018,FALSE,10.3390/ijms18122631,1858.33
Wellcome Trust,2018,TRUE,10.1212/WNL.0000000000004691,4063.30
Wellcome Trust,2018,TRUE,10.1097/j.pain.0000000000000732,914.23
Wellcome Trust,2018,TRUE,10.1016/j.ydbio.2017.11.017,2365.59
Wellcome Trust,2018,FALSE,10.3389/fmicb.2017.02238,2577.00
Wellcome Trust,2018,FALSE,10.1016/j.dib.2018.01.005,264.04
Wellcome Trust,2018,FALSE,10.1128/mBio.02383-17,2198.75
Wellcome Trust,2018,FALSE,10.1186/s13063-018-2572-0,1858.05
Wellcome Trust,2018,FALSE,10.1136/bmjopen-2017-019435,1836.58
Wellcome Trust,2018,FALSE,10.1371/journal.ppat.1007013,1878.39
Wellcome Trust,2018,TRUE,10.1093/nar/gky132,1925.86
Wellcome Trust,2018,FALSE,10.1093/rap/rky021,2034.36
Wellcome Trust,2018,TRUE,10.1136/annrheumdis-2018-213590,2650.32
Wellcome Trust,2018,TRUE,10.1093/rheumatology/key206,2635.17
Wellcome Trust,2018,TRUE,10.15252/embr.201846222,4272.16
Wellcome Trust,2018,TRUE,10.1093/ndt/gfy294,2635.17
Wellcome Trust,2018,FALSE,10.1016/j.jacbts.2018.08.006,3640.69
Wellcome Trust,2018,TRUE,10.1002/ejp.1285,2712.82
Wellcome Trust,2018,TRUE,10.1016/j.cmet.2018.07.017,5553.15
Wellcome Trust,2018,TRUE,10.1159/000488539,3002.85
Wellcome Trust,2018,FALSE,10.1371/journal.pone.0200089,1527.83
Wellcome Trust,2018,FALSE,10.1038/s41598-018-29822-8,1580.02
Wellcome Trust,2018,FALSE,10.1186/s12915-018-0550-3,2481.92
Wellcome Trust,2018,TRUE,10.3791/56697,4395.71
Wellcome Trust,2018,TRUE,10.1093/nar/gkx573,1925.86
Wellcome Trust,2018,TRUE,10.1016/j.ahj.2017.05.008,3286.11
Wellcome Trust,2018,TRUE,10.1016/j.jmbbm.2017.08.036,3106.42
Wellcome Trust,2018,TRUE,10.1152/ajplung.00023.2017,2084.60
Wellcome Trust,2018,TRUE,10.1093/qjmed/hcx179,2915.92
Wellcome Trust,2018,TRUE,10.1161/CIRCRESAHA.117.311185,4919.00
Wellcome Trust,2018,TRUE,10.1038/bjc.2017.347,2712.48
Wellcome Trust,2018,FALSE,10.1038/s41598-017-14081-w,1505.43
Wellcome Trust,2018,FALSE,10.1038/s41598-017-13479-w,1505.43
Wellcome Trust,2018,TRUE,10.1016/j.autneu.2017.09.003,2726.64
Wellcome Trust,2018,TRUE,10.1007/s00426-017-0885-3,447.73
