"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£) (inc VAT when charged)";"Full text in Europe PMC?";"Accepted author manuscript?";"Licence";"Licence Source";"Journal Type";"Wellcome Trust compliant?"
"PMC4305216";24752909;"10.1111/maq.12092";"American Anthropological Association";"Medical Anthropology Quarterly";"0745-5194";"Material Proximities and Hotspots: Towards an Anthropology of Viral Haemorrhagic Fevers";£1,800.00;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC3990471";24686174;"10.1158/0008-5472.CAN-13-2131";"American Association for Cancer Research";"Cancer Research";"0008-5472, 1538-7445";"E3 ubiquitin ligase HOIP attenuates apoptotic cell death induced by cisplatin. ";£1,801.66;1;1;"non-standard-licence";"epmc";"hybrid";0
"PMC4172367";23403638;"10.1158/1078-0432.CCR-12-3066";"American Association for Cancer Research";"Clinical Cancer Research";"1078-0432";"Inhibition of BET Bromodomain Targets Genetically Diverse Glioblastoma";£2,380.94;1;1;"non-standard-licence";"epmc";"hybrid";0
"PMC4058314";24713432;"10.1158/0008-5472.CAN-13-2941";"American Association for Cancer Research";"The American Journal of Cancer";"0008-5472, 1538-7445";"Impaired JNK signaling cooperates with KrasG12D expression to accelerate pancreatic ductal adenocarcinoma";£2,107.76;1;1;"non-standard-licence";"epmc";"hybrid";0
"PMC4082405";24753544;"10.1158/1055-9965.EPI-13-0889";"American Association for Cancer Research";"Cancer Epidemiology, Biomarkers and Prevention";"1055-9965, 1538-7755";"Genetic Variation in Prostate-Specific Antigen-Detected Prostate Cancer and the Effect of Control Selection on Genetic Association Studies";£2,136.59;1;"unknown";"unknown";;"hybrid";0
"PMC3932810";24470500;"10.4049/?jimmunol.1302082";"American Association of Immunologists";"Journal of Immunology";"0022-1767, 1550-6606";"IL-21 Promotes CD4 T Cell Responses by Phosphatidylinositol 3-Kinase-Dependent Upregulation of CD86 on B Cells";£1,819.06;1;"unknown";"unknown";;"hybrid";0
"PMC4082723";24928993;"10.4049/jimmunol.1303389";"American Association of Immunologists";"Journal of Immunology";"0022-1767, 1550-6606";"Investigation of soluble and transmembrane CTLA-4 isoforms in serum and microvesicles";£1,782.00;1;"unknown";"unknown";;"hybrid";0
"PMC4157852";25114104;"10.4049/jimmunol.1401056";"American Association of Immunologists";"The Journal of Immunologists";"0022-1767, 1550-6606";"MyD88 signalling inhibits protective immunity to the gastrointestinal Helminth parasite Heligmosoides polygrus";£1,521.38;1;"unknown";"unknown";;"hybrid";0
"PMC4191058";25148246;"10.1021/jp508386r";"American Chemical Society";"Journal of Physical Chemistry B";"1520-6106, 1520-5207";"Analysis of Influenza A Virus NS1 Dimer Interfaces in Solution by Pulse EPR Distance Measurements";£1,288.73;1;0;"cc-by";"epmc_xml";"hybrid";1
"PMC4068217";24669831;"10.1021/cb500135f";"American Chemical Society";"ACS Chemical Biology";"1554-8929, 1554-8937";"An inhibitors eye view of the ATP binding site of CDKs in different regulatory states";£2,309.00;1;0;"non-standard-licence";"epmc_xml";"hybrid";0
