institution;period;PMCID;PMID;DOI;Publisher;Journal title;ISSN;Euro;is_hybrid
Wellcome Trust;2015;PMC4338795;25737818;10.7717/peerj.778;PeerJ;PeerJ;2167-8359;228.73;FALSE
Wellcome Trust;2015;PMC4260042;25538684;10.3389/fendo.2014.00208;Frontiers;Frontiers in Endocrinology: Bone Research;1664-2392;239.20;FALSE
Wellcome Trust;2015;PMC4548472;26312183;10.7717/peerj.1192;PeerJ;PeerJ;2167-8359;240.49;FALSE
Wellcome Trust;2015;PMC4467903;26089745;10.1021/ct501111d;American Chemical Society;Journal of Chemical Theory and Computation;1549-9618, 1549-9626;267.14;TRUE
Wellcome Trust;2015;PMC4616909;26085597;10.1177/0961203315591031;SAGE;Lupus;0961-2033, 1477-0962;269.76;TRUE
Wellcome Trust;2015;PMC4263820;25500864;10.1177/0954411914559737;Sage;Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine;0954-4119, 2041-3033;323.71;TRUE
Wellcome Trust;2015;PMC4639754;26261188;10.1177/1403494815597582;Sage;Scandinavian Journal of Public Health;1403-4948, 1651-1905;323.71;TRUE
Wellcome Trust;2015;PMC4564765;26435577;10.1177/0891243215590101;SAGE;Gender and Society;0891-2432;323.71;TRUE
Wellcome Trust;2015;PMC4353373;25806366;10.3389/fbioe.2015.00026;Frontiers;Frontiers in Bioengineering and Biotechnology;2296-4185;345.14;FALSE
Wellcome Trust;2015;PMC4309860;25498966;10.1016/j.redox.2014.11.005;Elsevier;Redox Biology;2213-2317;386.32;FALSE
Wellcome Trust;2015;PMC4583527;26316295;10.3892/ijo.2015.3139;Spandidos Publications;International Journal of Oncology;1019-6439, 1791-2423;515.24;TRUE
Wellcome Trust;2015;PMC4382075;25721181;10.1016/j.jaac.2014.12.010;Elsevier;Journal of the American Academy of Child and Adolescent Psychiatry;0890-8567, 1527-5418;520.26;TRUE
Wellcome Trust;2015;PMC4554298;26237203;10.1021/acsami.5b05228;ACS;ACS Applied Materials & Interfaces;1944-8244, 1944-8252;521.92;TRUE
Wellcome Trust;2015;PMC4674743;25663247;10.1177/0956462415571671;Sage;International Journal of STD and AIDS;0956-4624, 1758-1052;539.52;TRUE
Wellcome Trust;2015;PMC4217485;25404913;10.3389/fncom.2014.00137;Frontiers;Frontiers in Computational Neuroscience;1662-5188;586.32;FALSE
Wellcome Trust;2015;PMC4294210;25642219;10.3389/fmicb.2014.00783;Frontiers Media SA;Frontiers in Microbiology;1664-302X;626.71;FALSE
Wellcome Trust;2015;PMC4466098;26097433;10.1177/1477750914558550;Sage;Clinical Ethics;1477-7509, 1758-101X;647.42;TRUE
Wellcome Trust;2015;PMC4469542;26097432;10.1177/1477750913499493;Sage;Clinical Ethics;1477-7509, 1758-101X;647.42;TRUE
Wellcome Trust;2015;PMC4456430;25767149;10.1177/0954411915570372;Sage;Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine;0954-4119, 2041-3033;647.42;TRUE
Wellcome Trust;2015;PMC4007766;24317296;10.1242/jcs.137463;Company of Biologists;Journal of Cell Science;0021-9533, 1477-9137;647.42;TRUE
;;;;;;;;;
Wellcome Trust;2015;PMC4422874;;10.1177/0003489414565003;Sage;Annals of Otology, Rhinology & Laryngology;0003-4894, 1943-572X;667.51;TRUE
Wellcome Trust;2015;PMC4390285;25853246;10.1371/journal.pone.0122673;CURATIO International Foundation;PLOS One;1932-6203;674.40;FALSE
Wellcome Trust;2015;PMC4591359;26426329;10.1371/journal.pone.0139319;PLOS;PLOS One;1932-6203;679.12;FALSE
Wellcome Trust;2015;PMC4358641;25780755;10.7717/peerj.785;PeerJ;PeerJ;2167-8359;687.01;FALSE
Wellcome Trust;2015;PMC4476844;25431483;10.1093/rheumatology/keu445;;Rheumatology;1462-0324, 1462-0332;708.12;TRUE
Wellcome Trust;2015;;;10.14800/ics.792;Smart Science and Technology;Inflamation and Cell Signalling;1754-8403, 1754-8411;714.03;FALSE
Wellcome Trust;2015;PMC4313718;25699041;10.3389/fimmu.2015.00018;Frontiers;Frontiers in Immunology;1664-3224;727.84;FALSE
Wellcome Trust;2015;PMC4409085;25999784;10.1080/14461242.2015.1008537;Taylor & Francis;Health Sociology Review;1446-1242;728.35;TRUE
Wellcome Trust;2015;PMC4337687;25745355;10.1080/14636778.2014.999153;Taylor & Francis;New Genetics and Society;1463-6778, 1469-9915;728.35;TRUE
;;;;;;;;;
Wellcome Trust;2015;PMC4235430;25477880;10.3389/fimmu.2014.00590;Frontiers Media;Frontiers in Immunology;1664-3224;738.24;FALSE
Wellcome Trust;2015;PMC4197737;25360088;10.3389/fnsys.2014.00195;Frontiers;Frontiers in Systems Neuroscience;1662-5137;746.49;FALSE
Wellcome Trust;2015;PMC4270184;25566011;10.3389/fnhum.2014.00953;Frontiers;Frontiers in Human Neuroscience;1662-5161;748.48;FALSE
Wellcome Trust;2015;PMC4201149;25368604;10.3389/fendo.2014.00174;Frontiers;Frontiers in Endocrinology: Bone Research;1664-2392;762.94;FALSE
Wellcome Trust;2015;PMC4427162;25945706;10.1107/S2053230X15000990;International Union of Crystallography;Acta Cryst F;2053-230X;825.11;TRUE
Wellcome Trust;2015;PMC4427169;25945713;10.1107/S2053230X15003040;International Union of Crystallography;Acta Cryst F;2053-230X;842.30;TRUE
Wellcome Trust;2015;PMC4318195;25627033;10.1186/s12936-015-0541-6;BioMed Central;Malaria Journal;1475-2875;883.73;FALSE
Wellcome Trust;2015;PMC4381624;25883556;10.3389/fnint.2015.00021;Frontiers;Frontiers in Integrative Neuroscience;1662-5145;887.98;FALSE
Wellcome Trust;2015;PMC4366647;25852515;10.3389/fnhum.2015.00125;Frontiers;Frontiers in Human Neuroscience;1662-5161;887.98;FALSE
Wellcome Trust;2015;PMC4405644;26036203;10.1302/2046-3758.46.2000318;British Editorial Society of Bone and Joint Surgery;Bone and Joint Research;0270-7306, 1098-5549;890.21;FALSE
Wellcome Trust;2015;PMC4649683;26450640;10.1302/2046-3758.410.2000420;British Editorial Society of Bone and Joint Surgery;Bone and Joint Research;2046-3758;890.21;FALSE
Wellcome Trust;2015;PMC4330887;25741255;10.3389/fnbeh.2015.00026;Frontiers;Frontiers in Behavioral Neuroscience;1662-5153;894.32;FALSE
Wellcome Trust;2015;PMC4505102;;10.3389/fnbeh.2015.00186;Frontiers;Frontiers in Behavioural Neuroscience;1662-5153;912.06;FALSE
Wellcome Trust;2015;PMC4455734;25615867;10.1107/S1399004714025280;International Union of Crystallography;Acta�Ã��Â� Crystallographica�Ã��Â� Section�Ã��Â� D;1744-9561, 1744-957X;913.22;TRUE
