PMID,PMCID,DOI,Publisher,Journal title,ISSN,Fully Open Access Journal,Article title,Cost,"Discounts, memberships & pre-payment agreements",Fulltext in EPMC?,Licence in EPMC,Licence on publisher website,Accepted Author Manuscript?,Ahead of Print?,COAF Compliant?,Funder of research (1),Grant ID (1),Funder of research (2),Grant ID (2),Funder of research (3),Grant ID (3)
27781454,PMC5381716,10.1063/1.4961065,AIP Publishing,"Chaos (Woodbury, N.Y.)","1054-1500, 1089-7682",0,Graph partitions and cluster synchronization in networks of oscillators,1584.76,Not reported,1,non-standard-licence,Unknown,1,Unknown,0,Wellcome Trust,086764/Z/08/Z,,,,
Unknown,Unknown,10.1063/1.4977743,AIP Publishing,AIP Advances,2158-3226,1,NANOSECOND PULSED LASER TEXTURING OF OPTICAL DIFFUSERS,1111.9,None,0,Unknown,Unknown,0,Unknown,0,Wellcome Trust,,,,,
Unknown,Unknown,Unknown,Allied Academies,Current Pediatric Research,,1,"Invasive neonatal Group B streptococcal infection, over a 10 year period, in West Hertfordshire, UK",1172.4,,0,Unknown,Unknown,0,Unknown,0,Wellcome Trust,109031/Z/15/Z,,,,
28751446,Unknown,10.1158/1078-0432.ccr-17-0972,American Association for Cancer Research (AACR),Clinical cancer research : an official journal of the American Association for Cancer Research,1078-0432,0,Gene Copy Number Estimation from Targeted Next-Generation Sequencing of Prostate Cancer Biopsies: Analytic Validation and Clinical Qualification,3822,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,not listed,,,,
28377452,Unknown,10.1158/0008-5472.can-16-0255,American Association for Cancer Research (AACR),Cancer research,"0008-5472, 1538-7445",0,Differential Expression of VEGFA Isoforms Regulates Metastasis and Response to Anti-VEGFA Therapy in Sarcoma,3474.5,Not reported,0,Unknown,Unknown,0,0,0,Cancer Research UK,C1276/A9993,,,,
27742686,PMC5321488,10.1158/0008-5472.can-16-1201,American Association for Cancer Research (AACR),Cancer research,"0008-5472, 1538-7445",0,Chemoresistance in pancreatic cancer is driven by stroma-derived insulin-like growth factors,3266.02,None,1,non-standard-licence,Unknown,1,Unknown,0,Wellcome Trust,102521/Z/13/Z,The Royal Society,MR/L000512/1,MRC,
28606920,Unknown,10.1158/1078-0432.ccr-17-0369,American Association for Cancer Research (AACR),Clinical cancer research : an official journal of the American Association for Cancer Research,1078-0432,0,Single-Cell Dynamics Determines Response to CDK4/6 Inhibition in Triple-Negative Breast Cancer,2662,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,C30746/A16642,,,,
28314789,PMC5516915,10.1158/1078-0432.ccr-16-1209,American Association for Cancer Research (AACR),Clinical cancer research : an official journal of the American Association for Cancer Research,1078-0432,0,Noninvasive Imaging of Cycling Hypoxia in Head and Neck Cancer Using Intrinsic Susceptibility MRI,2642.22,None,1,non-standard-licence,Unknown,1,Unknown,0,Cancer Research UK,C46/A10588 and C7224/A13407,,,,
28566330,Unknown,10.1158/0008-5472.can-17-0248,American Association for Cancer Research (AACR),Cancer research,"0008-5472, 1538-7445",0,Monitoring the Vascular Response and Resistance to Sunitinib in Renal Cell Carcinoma In Vivo with Susceptibility Contrast MRI,2639,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,C1090/A16464,,,,
28450425,Unknown,10.1158/2159-8290.cd-17-0261,American Association for Cancer Research (AACR),Cancer discovery,"2159-8274, 2159-8290",0,Circulating Cell-Free DNA to Guide Prostate Cancer Treatment with PARP Inhibition,2375,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,C12540/A12829,,,,
