PMCID;PMID;DOI;Publisher;Journal title;ISSN;Article title;Cost (£) (inc VAT when charged);Fulltext in Europe PMC?;Early View? Yes/No;Date first published online (only where yes to early view);Accepted author manuscript?;Licence;Licence Source;Journal Type;COAF compliant?;Funder of research (1);Funder of research (2);Funder of research (3);Grant ID (1);Grant ID (2);Grant ID (3);
PMC4338795;25737818;10.7717/peerj.778;PeerJ;PeerJ;2167-8359;Computational analysis of the LRRK2 interactome;169.58;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;MRC;;WT089698;MR/L010933/1;;
PMC4260042;25538684;10.3389/fendo.2014.00208;Frontiers;Frontiers in Endocrinology: Bone Research;1664-2392;A new method to investigate how mechanical loading of osteocytes controls osteoblasts;177.34;1;;;0;cc-by;epmc_xml;oa;1;;;;;;;checked 
PMC4548472;26312183;10.7717/peerj.1192;PeerJ;PeerJ;2167-8359;Perivascular mast cells regulate vein graft neointimal formation and remodeling;178.3;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation;;;BHF/PG/09/095;;0;
PMC4467903;26089745;10.1021/ct501111d;American Chemical Society;Journal of Chemical Theory and Computation;1549-9618, 1549-9626;Alchembed: A Computational Method for Incorporating Multiple Proteins into Complex Lipid Geometries;198.06;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;092970/z/10/z;;checked 
PMC4616909;26085597;10.1177/0961203315591031;SAGE;Lupus;0961-2033, 1477-0962;Drug-like analogues of the parasitic worm-derived immunomodulator ES-62 are therapeutic in the MRL/Lpr model of systemic lupus erythematosus ;200;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;86852;;;
PMC4263820;25500864;10.1177/0954411914559737;Sage;Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine;0954-4119, 2041-3033;Computational Investigation of the Time-dependent Contact Behaviour of the Human Tibiofemoral Joint under Body Weight;240;1;;;0;cc-by;epmc_xml;hybrid;1;EPSRC;WELMEC;0;EP/G012172/1;WT 088908/Z/09/Z;0;
PMC4639754;26261188;10.1177/1403494815597582;Sage;Scandinavian Journal of Public Health;1403-4948, 1651-1905;Anthropometric trends and the risk of cardiovascular disease mortality in a Lithuanian urban population aged 45â€“64 years;240;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;081081/Z/06/Z;;;
PMC4564765;26435577;10.1177/0891243215590101;SAGE;Gender and Society;0891-2432;Re-visioning Ultrasound through Womenâ€™s Accounts of Pre-abortion Care in England;240;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;095720/Z/11/Z;0;0;
PMC4353373;25806366;10.3389/fbioe.2015.00026;Frontiers;Frontiers in Bioengineering and Biotechnology;2296-4185;Enhanced acylcarnitine annotation in high-resolution mass spectrometry data: fragmentation analysis for the classification and annotation of acylcarnitines;255.89;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;097821/Z/11/B;;;checked 
PMC4309860;25498966;10.1016/j.redox.2014.11.005;Elsevier;Redox Biology;2213-2317;A novel role for 12/15-lipoxygenase in regulating autophagy.;286.42;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;094143/Z/10/Z;;;checked 
PMC4583527;26316295;10.3892/ijo.2015.3139;Spandidos Publications;International Journal of Oncology;1019-6439, 1791-2423;FoxM1 is over-expressed in B-acute lymphoblastic leukemia (B-All) and its inhibition sensitizes B-All cells to chemotherapeutic drugs;£382.00;1;;;0;cc-by;epmc_xml;hybrid;1;CRUK;;;C37/A12011;;;
PMC4382075;25721181;10.1016/j.jaac.2014.12.010;Elsevier;Journal of the American Academy of Child and Adolescent Psychiatry;0890-8567, 1527-5418;Cognitive Training for Attention-Deficit/Hyperactivity Disorder: Meta-Analysis of Clinical and Neuropsychological Outcomes From Randomized Controlled Trials;385.72;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;WT093909;;;checked 
PMC4554298;26237203;10.1021/acsami.5b05228;ACS;ACS Applied Materials & Interfaces;1944-8244, 1944-8252;Terminal PEGylated DNAâ€“Gold Nanoparticle Conjugates Offering High Resistance to Nuclease Degradation and Efficient Intracellular Delivery of DNA Binding Agents;386.95;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;097354/Z/11/Z;0;0;
PMC4674743;25663247;10.1177/0956462415571671;Sage;International Journal of STD and AIDS;0956-4624, 1758-1052;Two Cases of Transmitted Drug Resistant HIV Virus: HIV superinfection and Unmasking of Pre-existing Resistance;400;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;WT102789;;;
PMC4217485;25404913;10.3389/fncom.2014.00137;Frontiers;Frontiers in Computational Neuroscience;1662-5188;OpenWorm: an open-science approach to modelling Caenorhabditis elegans;434.7;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;EPSRC / BBSRC / MRC;;101445;EP/F500385/1 and BB/F529254/1;;
PMC4294210;25642219;10.3389/fmicb.2014.00783;Frontiers Media SA;Frontiers in Microbiology;1664-302X;Interaction between extracellular matrix molecules and microbial pathogens: evidence for the missing link in autoimmunity with rheumatoid arthritis as a disease model;464.64;1;;;0;cc-by;epmc_xml;oa;1;WT;;;;;;
PMC4466098;26097433;10.1177/1477750914558550;Sage;Clinical Ethics;1477-7509, 1758-101X;IEEN workshop report: professionalism in interdisciplinary and empirical bioethics;480;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;096577/Z/11/Z;0;0;
PMC4469542;26097432;10.1177/1477750913499493;Sage;Clinical Ethics;1477-7509, 1758-101X;IEEN workshop report: Teaching and Learning in Interdisciplinary and Empirical Ethics;480;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;096577/Z/11/Z;0;0;
PMC4456430;25767149;10.1177/0954411915570372;Sage;Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine;0954-4119, 2041-3033;Variation in viscoelastic properties of bovine articular cartilage below, up to and above healthy-gait relevant loading frequencies;480;1;;;0;cc-by;epmc_xml;hybrid;1;Arthritis Research UK;0;0;H0671;0;0;
