institution,period,PMID,PMCID,DOI,Publisher,Journal title,ISSN,is_hybrid,euro
Wellcome Trust,2017,27781454,PMC5381716,10.1063/1.4961065,AIP Publishing,"Chaos (Woodbury, N.Y.)","1054-1500, 1089-7682",TRUE,1807.42
Wellcome Trust,2017,Unknown,Unknown,10.1063/1.4977743,AIP Publishing,AIP Advances,2158-3226,FALSE,1268.12
,,,,,,,,,
Wellcome Trust,2017,28751446,Unknown,10.1158/1078-0432.ccr-17-0972,American Association for Cancer Research (AACR),Clinical cancer research : an official journal of the American Association for Cancer Research,1078-0432,TRUE,4358.99
Wellcome Trust,2017,28377452,Unknown,10.1158/0008-5472.can-16-0255,American Association for Cancer Research (AACR),Cancer research,"0008-5472, 1538-7445",TRUE,3962.67
Wellcome Trust,2017,27742686,PMC5321488,10.1158/0008-5472.can-16-1201,American Association for Cancer Research (AACR),Cancer research,"0008-5472, 1538-7445",TRUE,3724.9
Wellcome Trust,2017,28606920,Unknown,10.1158/1078-0432.ccr-17-0369,American Association for Cancer Research (AACR),Clinical cancer research : an official journal of the American Association for Cancer Research,1078-0432,TRUE,3036.01
Wellcome Trust,2017,28314789,PMC5516915,10.1158/1078-0432.ccr-16-1209,American Association for Cancer Research (AACR),Clinical cancer research : an official journal of the American Association for Cancer Research,1078-0432,TRUE,3013.45
Wellcome Trust,2017,28566330,Unknown,10.1158/0008-5472.can-17-0248,American Association for Cancer Research (AACR),Cancer research,"0008-5472, 1538-7445",TRUE,3009.78
Wellcome Trust,2017,28450425,Unknown,10.1158/2159-8290.cd-17-0261,American Association for Cancer Research (AACR),Cancer discovery,"2159-8274, 2159-8290",TRUE,2708.69
Wellcome Trust,2017,28100469,Unknown,10.1158/1940-6207.capr-16-0247-t,American Association for Cancer Research (AACR),"Cancer prevention research (Philadelphia, Pa.)","1940-6207, 1940-6215",TRUE,2600.34
Wellcome Trust,2017,28062704,PMC5302142,10.1158/1535-7163.mct-16-0239,American Association for Cancer Research (AACR),Molecular cancer therapeutics,"1535-7163, 1538-8514",TRUE,2600.34
Wellcome Trust,2017,28611109,Unknown,10.1158/1535-7163.mct-16-0731,American Association for Cancer Research (AACR),Molecular cancer therapeutics,"1535-7163, 1538-8514",TRUE,2578.1
Wellcome Trust,2017,28637716,Unknown,10.1158/1535-7163.mct-16-0881,American Association for Cancer Research (AACR),Molecular cancer therapeutics,"1535-7163, 1538-8514",TRUE,2343.73
Wellcome Trust,2017,28377413,Unknown,10.1373/clinchem.2016.264648,American Association for Clinical Chemistry (AACC),Clinical chemistry,"0009-9147, 1530-8561",TRUE,3744.07
Wellcome Trust,2017,28798962,PMC5544394,10.1126/sciadv.1701726,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,FALSE,4328.41
Wellcome Trust,2017,28508041,PMC5409496,10.1126/sciadv.1602506,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,FALSE,3972.51
Wellcome Trust,2017,28138526,PMC5262463,10.1126/sciadv.1601007,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,FALSE,5156.5
Wellcome Trust,2017,28630905,PMC5470826 ,10.1126/sciadv.1602536,American Association for the Advancement of Science (AAAS),Science Advances,,FALSE,3721.98
Wellcome Trust,2017,28630934,PMC5473672,10.1126/sciadv.1701016,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,FALSE,3686.47
Wellcome Trust,2017,28116358,PMC5249258,10.1126/sciadv.1601871,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,FALSE,3551.37
Wellcome Trust,2017,28378014,PMC5365251,10.1126/sciadv.1601692,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,FALSE,3525.51
Wellcome Trust,2017,27847865,PMC5106201,10.1126/sciadv.1600990,American Association for the Advancement of Science (AAAS),Science advances,2375-2548,FALSE,2865.76
Wellcome Trust,2017,27704804,PMC5149404,10.1021/acs.jnatprod.6b00634,American Chemical Society (ACS),Journal of natural products,,TRUE,5622.39
Wellcome Trust,2017,28627869,PMC5559180,10.1021/acs.analchem.7b00922,American Chemical Society (ACS),Analytical chemistry,"0003-2700, 1520-6882",TRUE,5206.18
Wellcome Trust,2017,26895095,PMC5338466,10.1021/acsnano.6b00142,American Chemical Society (ACS),ACS nano,"1936-0851, 1936-086X",TRUE,2326.62
Wellcome Trust,2017,28337325,Unknown,10.1021/acsmedchemlett.6b00497,American Chemical Society (ACS),ACS Medicinal Chemistry Letters,1948-5875,TRUE,2228.08
Wellcome Trust,2017,27978620,Unknown,10.1021/acssynbio.6b00219,American Chemical Society (ACS),ACS synthetic biology,2161-5063,TRUE,2224.65
