institution;period;PMCID;PMID;DOI;Publisher;Journal title;ISSN;euro;is_hybrid
Wellcome Trust;2016;PMC4718564;26869723;10.1063/1.4936345;AIP Publishing;Applied physics letters;0003-6951;2012.84;TRUE
Wellcome Trust;2016;PMC5067544;27629089;10.1212/WNL.0000000000003221;American Academy of Neurology;Neurology;0028-3878, 1526-632X;3540.23;TRUE
Wellcome Trust;2016;PMC4873385;26921328;10.1158/0008-5472.can-15-1551;American Association for Cancer Research (AACR);Cancer research;0008-5472, 1538-7445;2489.33;TRUE
Wellcome Trust;2016;PMC4795533;26964624;10.1158/0008-5472.can-15-1410;American Association for Cancer Research (AACR);Cancer research;0008-5472, 1538-7445;2696.36;TRUE
Wellcome Trust;2016;PMC4757751;26659574;10.1158/0008-5472.can-15-2062;American Association for Cancer Research (AACR);Cancer research;0008-5472, 1538-7445;2689.21;TRUE
Wellcome Trust;2016;PMC4740930;26453693;10.1158/1078-0432.ccr-15-1186;American Association for Cancer Research (AACR);Clinical cancer research : an official journal of the American Association for Cancer Research;1078-0432;2760.06;TRUE
Wellcome Trust;2016;unknown;26581244;10.1158/1078-0432.ccr-15-1855;American Association for Cancer Research (AACR);Clinical cancer research : an official journal of the American Association for Cancer Research;1078-0432;2246.97;TRUE
Wellcome Trust;2016;unknown;27141100;10.1158/1541-7786.mcr-15-0479;American Association for Cancer Research (AACR);Molecular cancer research : MCR;1541-7786, 1557-3125;2449.50;TRUE
Wellcome Trust;2016;PMC4681344;26702435;10.1126/sciadv.1500723;American Association for the Advancement of Science (AAAS);Science advances;2375-2548;2532.61;FALSE
Wellcome Trust;2016;PMC5061470;27757418;10.1126/sciadv.1600760;American Association for the Advancement of Science (AAAS);Science advances;2375-2548;3516.48;FALSE
Wellcome Trust;2016;PMC5077176;27267252;10.1021/acschembio.6b00371;American Chemical Society (ACS);ACS chemical biology;1554-8929, 1554-8937;1892.47;TRUE
Wellcome Trust;2016;PMC4906374;27331140;10.1021/acsinfecdis.6b00034;American Chemical Society (ACS);ACS infectious diseases;2373-8227;1880.32;TRUE
Wellcome Trust;2016;unknown;27326329;10.1021/acsmedchemlett.6b00022;American Chemical Society (ACS);ACS medicinal chemistry letters;1948-5875;1924.56;TRUE
Wellcome Trust;2016;PMC4961266;27267364;10.1021/acsnano.6b00461;American Chemical Society (ACS);ACS nano;1936-0851, 1936-086X;2062.51;TRUE
Wellcome Trust;2016;PMC4819533;26905779;10.1021/acsnano.6b01246;American Chemical Society (ACS);ACS nano;1936-0851, 1936-086X;3819.83;TRUE
Wellcome Trust;2016;PMC4914944;26835539;10.1021/acssynbio.5b00179;American Chemical Society (ACS);ACS synthetic biology;2161-5063;3180.51;TRUE
Wellcome Trust;2016;PMC5023225;26436725;10.1021/acssynbio.5b00116;American Chemical Society (ACS);ACS synthetic biology;2161-5063;4178.52;TRUE
Wellcome Trust;2016;PMC5047652;27454319;10.1021/acs.analchem.6b02082;American Chemical Society (ACS);Analytical chemistry;0003-2700, 1520-6882;3594.09;TRUE
