"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£ incl VAT when charged)";"Fulltext in EPMC";"Ahead of Print?";"Author Manuscript?";"Licence in Europe PMC";"Licence on Publisher website";"Journal Type";"COAF compliant?";"Funder of research (1)";"Funder of research (2)";"Funder of research (3)";"Grant ID (1)";"Grant ID (2)";"Grant ID (3)";;
"PMC4718564";26869723;"10.1063/1.4936345";"AIP Publishing";"Applied physics letters";"0003-6951";"Acoustic Particle Palpation for Measuring Tissue Elasticity";£1,753.80;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;;;;;;;;
"PMC5067544";27629089;"unknown";"American Academy of Neurology";"Neurology";"0028-3878, 1526-632X";"A genome-wide association study in multiple system atrophy";£3,084.63;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC";;;;;;
"PMC4873385";26921328;"10.1158/0008-5472.can-15-1551";"American Association for Cancer Research (AACR)";"Cancer research";"0008-5472, 1538-7445";"A meta-analysis of individual participant data reveals an association between circulating levels of IGF-I and prostate cancer risk";£2,168.97;1;"not applicable";1;"non-standard-licence";"unknown";"hybrid";0;"Cancer Research UK";;;16491;19169;19170;;
"PMC4795533";26964624;"10.1158/0008-5472.can-15-1410";"American Association for Cancer Research (AACR)";"Cancer research";"0008-5472, 1538-7445";"Cytochrome P450 allele CYP3A7*1C associates with adverse outcomes in chronic lymphocytic leukemia, breast and lung cancer";2349.36;1;"not applicable";1;"non-standard-licence";"unknown";"hybrid";0;"Cancer Research UK";"Leukaemia & Lymphoma Research";;"A5660";"A8362";"A8780";;
"PMC4757751";26659574;"10.1158/0008-5472.can-15-2062";"American Association for Cancer Research (AACR)";"Cancer research";"0008-5472, 1538-7445";"Oxygen-Enhanced MRI Accurately Identifies, Quantifies, and Maps Tumor Hypoxia in Preclinical Cancer Models.";£2,343.13;1;"not applicable";1;"non-standard-licence";"unknown";"hybrid";0;;;;"091763Z/10/Z";15267;16464;;
"PMC4740930";26453693;"10.1158/1078-0432.ccr-15-1186";"American Association for Cancer Research (AACR)";"Clinical cancer research : an official journal of the American Association for Cancer Research";"1078-0432";"Defining a New Prognostic index for Stage I Non-seminomatous Germ Cell Tumors using CXCL12 Expression and Proportion of Embyronal Carcinoma";2404.86;1;"not applicable";1;"non-standard-licence";"unknown";"hybrid";0;"Cancer Research UK";;;"MC_U122861331";"G0801477";;;
"unknown";26581244;"10.1158/1078-0432.ccr-15-1855";"American Association for Cancer Research (AACR)";"Clinical cancer research : an official journal of the American Association for Cancer Research";"1078-0432";"Are doses and schedules of small molecule targeted anticancer drugs recommended by phase I studies realistic?";1957.8;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"Cancer Research UK";;;;;;;
"unknown";27141100;"10.1158/1541-7786.mcr-15-0479";"American Association for Cancer Research (AACR)";"Molecular cancer research : MCR";"1541-7786, 1557-3125";"AMPK Causes Cell Cycle Arrest in LKB1-Deficient Cells via Activation of CAMKK2.";2134.27;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"Wellcome Trust";"Cancer Research UK";;;;;;
"PMC4681344";26702435;"10.1126/sciadv.1500723";"American Association for the Advancement of Science (AAAS)";"Science advances";"2375-2548";"Selective targeting of the BRG/PB1 bromodomains impairs embryonic and trophoblast stem cell maintenance";£2,206.68;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Wellcome Trust";"EPSRC";;106169;"EP/L000253/1";1233347;;
"PMC5061470";27757418;"10.1126/sciadv.1600760";"American Association for the Advancement of Science (AAAS)";"Science advances";"2375-2548";"Promiscuous targeting of bromodomains by Bromosporine identifies BET proteins as master regulators of primary transcription response in leukemia";£3,063.94;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"Wellcome Trust";;;;;;;
