"University";"PMCID";"PMID";"DOI";"Article title";"Journal title";"Pure Open Access";"ISSN";"EISSN";"Publication Date";"Electronic Publication Date";"Publisher";"Publisher Licence";"Licence";"EPMC Licence";"Licence Source";"EPMC Licence Source";"Fulltext in EPMC?";"XML Fulltext?";"AAM?";"Open Access";"Compliance Wellcome Standard";"Compliance Wellcome Deluxe";"Date of APC payment";"APC paid (actual currency) excluding VAT";"Currency of APC";"APC paid (£) including VAT if charged";"Additional publication costs (£)";"Discounts, memberships & pre-payment agreements";"Amount of APC charged to COAF grant (including VAT if charged) in £";"Amount of APC charged to RCUK OA fund (including VAT if charged) in £";"Licence";"Ahead of Print?"
"Aberdeen";"PMC7042134";32123791;"10.1093/ehjcr/ytz191";"Lifelong Recurrent Takotsubo Cardiomyopathy: A case report";"European heart journal. Case reports";TRUE;"2514-2119";"2514-2119";"2019-12-01T00:00:00Z";"2019-10-24T00:00:00Z";"Oxford University Press (OUP)";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43745;420;"GBP";504;;;;504;"CC-BY";"Unknown"
"Aberdeen";"PMC6787928";31173776;"10.1016/j.jmb.2019.05.043";"Interaction of the mechanosensitive channel, MscS, with the membrane bilayer through lipid intercalation into grooves and pockets.";"Journal of molecular biology";FALSE;"0022-2836, 1089-8638";"1089-8638";"2019-08-01T00:00:00Z";"2019-06-04T00:00:00Z";"Elsevier BV";"not applicable";"cc-by";"cc-by";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;43629;1960;"GBP";2352;;;;2352;"CC-BY";FALSE
"Aberdeen";"PMC6532149";31143851;"10.1186/s41927-019-0066-7";"AxSpA patients who also meet criteria for fibromyalgia:Â identifying distinct patient clusters using data from a UK national register (BSRBR-AS)";"BMC rheumatology";TRUE;"2520-1026";"2520-1026";"2019-01-01T00:00:00Z";"2019-05-20T00:00:00Z";"Springer Science and Business Media LLC";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43644;1370;"GBP";1644;50;;;1704;"CC BY";"Unknown"
"Aberdeen";"Unknown";31085335;"10.1016/j.jpain.2019.04.011";"Transient effects of sleep on next-day pain and fatigue in older adults with symptomatic osteoarthritis";"The journal of pain : official journal of the American Pain Society";FALSE;"1526-5900, 1528-8447";"1528-8447";"2019-11-01T00:00:00Z";"2019-05-11T00:00:00Z";"Elsevier BV";"Unknown";"cc-by";"cc-by";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;43747;3500;"USD";2833.32;;;;2885;"CC-BY";FALSE
"Aberdeen";"PMC6510970";30986680;"10.1016/j.scitotenv.2019.03.304";"More crop per drop: Exploring India's cereal water use since 2005";"The Science of the total environment";FALSE;"0048-9697, 1879-1026";"1879-1026";"2019-07-01T00:00:00Z";"2019-03-25T00:00:00Z";"Elsevier BV";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;43600;2930;"EUR";3005.64;;;;3005.64;"CC BY";"Unknown"
"Aberdeen";"Unknown";30946681;"10.1109/jbhi.2019.2907189";"Motion during Acquisition is Associated with fMRI Brain Entropy";"IEEE journal of biomedical and health informatics";FALSE;"2168-2194, 2168-2208";"2168-2208";"2020-02-01T00:00:00Z";"2019-04-01T00:00:00Z";"Institute of Electrical and Electronics Engineers (IEEE)";"Unknown";"cc-by";"cc-by";"Unknown";"Unknown";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;43545;2045;"USD";1892.07;;;;1892.07;"CC BY";FALSE
"Aberdeen";"PMC6504189";30829737;"10.1097/AJP.0000000000000697";"Sleep and pain: a systematic review of studies of mediation";"The Clinical journal of pain";FALSE;"0749-8047, 1536-5409";"1536-5409";"2019-06-01T00:00:00Z";"Unknown";"Ovid Technologies (Wolters Kluwer Health)";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43525;3800;"USD";3647.65;;;;3647.65;"CC BY";"Unknown"
"Aberdeen";"PMC6359876";30705244;"10.1136/bmjopen-2018-026793";"Protocol for a multicentre randomised controlled parallel-group trial to compare the effectiveness of remotely delivered cognitive-behavioural and graded exercise interventions with usual care alone to lessen the impact of fatigue in inflammatory rheumatic diseases (LIFT)";"BMJ open";TRUE;"2044-6055";"2044-6055";"2019-01-01T00:00:00Z";"2019-01-30T00:00:00Z";"BMJ";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43448;1350;"GBP";1620;;;;1620;"CC BY";"Unknown"
"Aberdeen";"PMC6355986";30696734;"10.1128/mBio.02535-18";"Inhibition of classical and alternative modes of respiration in Candida albicans leads to cell wall remodelling and increased macrophage recognition";"mBio";TRUE;"2150-7511";"2150-7511";"2019-01-01T00:00:00Z";"2019-01-29T00:00:00Z";"American Society for Microbiology";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43475;3640;"USD";3154.81;313;;;3154.81;"CC BY";"Unknown"
"Aberdeen";"PMC6195761";30370375;"10.1016/j.tcsw.2018.09.001";"Yeast species-specific, differential inhibition of ?-1,3-glucan synthesis by poacic acid and caspofungin";"Cell surface (Amsterdam, Netherlands)";FALSE;"2468-2330";"2468-2330";"2018-09-01T00:00:00Z";"Unknown";"Elsevier BV";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43409;2651.16;"EUR";2384.29;;;;2384.29;"CC BY";"Unknown"
"Aberdeen";"PMC3975277";24612447;"10.1186/1471-2474-15-71";"Maintained physical activity and physiotherapy in the management of distal arm pain Â– a randomised controlled trial";"BMC musculoskeletal disorders";TRUE;"1471-2474";"1471-2474";"2014-03-01T00:00:00Z";"2014-03-10T00:00:00Z";"Springer Science and Business Media LLC";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43577;1700;"GBP";2045;;;;2045;"CC BY";"Unknown"
"AHRI";"PMC6887816";31738174;"10.2196/15681";"Building Mobile Phone-connected Diagnostics: A Qualitative Study Exploring PeopleÂ’s Â‘CandidacyÂ’ for mHealth Supported HIV Testing and Care Services in Rural KwaZulu-Natal, South Africa";"Journal of medical Internet research";TRUE;"1439-4456, 1438-8871";"1438-8871";"2019-11-01T00:00:00Z";"2019-11-18T00:00:00Z";"JMIR Publications Inc.";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;"$ 2,500.00";2023.23;"RAN";1,730.50;;;;;;"Unknown"
"AHRI";"PMC6656755";31341191;"10.1038/s41598-019-46455-7";"Space-time clustering of recently-diagnosed tuberculosis and impact of ART scale-up: Evidence from an HIV hyper-endemic African population";"Scientific reports";TRUE;"2045-2322";"2045-2322";"2019-07-01T00:00:00Z";"2019-07-24T00:00:00Z";"Springer Science and Business Media LLC";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1713.5;1550.03;"RAN";1,258.24;;;;;;"Unknown"
"AHRI";"PMC6615300";31286952;"10.1186/s12910-019-0383-9";"A reflection on ethical and methodological challenges of using separate interviews with adolescent-older carer dyads in rural South Africa";"BMC medical ethics";TRUE;"1472-6939";"1472-6939";"2019-07-01T00:00:00Z";"2019-07-08T00:00:00Z";"Springer Science and Business Media LLC";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1451;1312.51;"RAN";1,063.09;;;;;;"Unknown"
"AHRI";"PMC6083494";30089485;"10.1186/s12913-018-3404-3";"The MONARCH intervention to enhance the quality of antenatal and postnatal primary health services in rural South Africa: protocol for a stepped wedge cluster randomized trial.";"BMC health services research";TRUE;"1472-6963";"1472-6963";"2018-08-01T00:00:00Z";"2018-08-08T00:00:00Z";"Springer Science and Business Media LLC";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1745;1485.79;"RAN";1,280.56;;;;;;"Unknown"
"Bath";"PMC6728123";31487290;"10.1371/journal.pone.0221242";"Relationships between concurrent language ability and mental health outcomes in a South African sample of 13-year-olds";"PloS one";TRUE;"1932-6203";"1932-6203";"2019-01-01T00:00:00Z";"2019-09-05T00:00:00Z";"Public Library of Science (PLoS)";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43707;1595;"USD";1576.21;0;"None";1576.21;0;"CC BY";"Unknown"
"Bath";"PMC6391026";30807582;"10.1371/journal.pone.0211758";"Tweeting about public health policy: Social media response to the UK GovernmentÂ’s announcement of a Parliamentary vote on draft standardised packaging regulations";"PloS one";TRUE;"1932-6203";"1932-6203";"2019-01-01T00:00:00Z";"2019-02-26T00:00:00Z";"Public Library of Science (PLoS)";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43517;1495;"USD";1363.85;0;"None";1363.85;0;"CC BY";"Unknown"
"Bath";"PMC6358602";30710110;"10.1038/s41598-018-37140-2";"The catalytic activity and secretion of zebrafish RNases are essential for their in vivo function in motor neurons and vasculature";"Scientific reports";TRUE;"2045-2322";"2045-2322";"2019-02-01T00:00:00Z";"2019-02-01T00:00:00Z";"Springer Science and Business Media LLC";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43497;1165;"GBP";1398;0;"None";1398;0;"CC BY";"Unknown"
"Bath";"PMC6343330";30693096;"10.1186/s40814-018-0385-2";"IntEgrating Smoking Cessation treatment As part of usual Psychological care for dEpression and anxiety (ESCAPE): protocol for randomised and controlled, multicentre, acceptability, feasibility and implementation trial.";"Pilot and feasibility studies";TRUE;"2055-5784";"2055-5784";"2019-01-01T00:00:00Z";"2019-01-22T00:00:00Z";"Springer Science and Business Media LLC";"not applicable";"cc-by";"cc-by";"epmc_api";"epmc_api";TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;43504;1615;"GBP";1938;0;"None";1938;0;"CC BY";"Unknown"
"BBK";"Unknown";"Unknown";"10.1177/0022009418786789";"Transnational Exchange in the Nazi New Order: The Spanish Blue Division and its Medical Services";"Journal of Contemporary History";FALSE;"0022-0094";"Unknown";"2018-08-28T00:00:00Z";"2018-08-28T00:00:00Z";"SAGE Publications";"cc-by";"cc-by";"cc-by";"publisher_splash_page";"publisher_splash_page";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;43378;;;2640;;;2640;;"CC BY";"Unknown"
"BBK";"Unknown";"Unknown";"10.1111/mbe.12212";"The unique contributions of verbal analogical reasoning and non-verbal matrix reasoning to science and maths problem-solving in adolescence";"Mind, Brain, and Education";FALSE;"1751-2271";"Unknown";"2019-08-16T00:00:00Z";"Unknown";"Wiley";"cc-by";"cc-by";"cc-by";"publisher_splash_page";"publisher_splash_page";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;2340;;;2340;;"CC BY";"Unknown"
