DOI;Hybrid;Betrag in Brutto;Verlag;Institution;period
10.1093/jssam/smy024;ja;2.984,52;Oxford University Press;IAB;2020
10.1177/0019793920907036;ja;277,39;SAGE Publishing;IAB;2020
10.1093/jssam/smz041;ja;3.220,85;SAGE Publishing;IAB;2020
10.1093/jssam/smz051;ja;3.127,32;Oxford University Press;IAB;2020
10.30844/I40M_19-6_S62-66;ja;464,10;Gito;IAB;2020
"10.1177/0001699320902809";ja;272,96;SAGE Publishing;IAB;2020
10.1177/0019793919889635;ja;3.237,50;SAGE Publishing;IAB;2020
10.1515/zfsoz-2019-0025;ja;2.380,00;De Gruyter;IAB;2020
10.1093/esr/jcaa003;ja;3.541,44;Oxford University Press;IAB;2020
10.1093/esr/jcaa011;ja;3.541,44;Oxford University Press;IAB;2020
10.5771/0038-6073-2020-1-2-123;ja;3.219,00;Nomos;IAB;2020
10.5771/0038-6073-2020-1-2-24;ja;2.610,00;Nomos;IAB;2020
10.1093/esr/jcaa013;ja;3.541,44;Oxford University Press;IAB;2020
10.1093/esr/jcaa016 ;ja;3.541,44;Oxford University Press;IAB;2020
10.1080/00036846.2020.1753879 ;ja;2.969,05;Taylor & Francis;IAB;2020
10.1080/13636820.2020.1760335;ja;2.969,05;Taylor & Francis;IAB;2020
10.1515/zfsoz-2020-0018;ja;2.380,00;De Gruyter;IAB;2020
10.1093/reseval/rvaa016;ja;2.818,80;Oxford University Press;IAB;2020
10.1080/13504851.2020.1789544 ;ja;2.894,20;Taylor & Francis;IAB;2020
10.1371/journal.pone.0236252;nein;1.562,67;PLOS;IAB;2020
10.1093/jssam/smaa023;ja;3.048,48;Oxford University Press;IAB;2020
10.1177/0038026120945608;ja;254,49;SAGE Publishing;IAB;2020
10.1177/0894439320944118 ;ja;254,49;SAGE Publishing;IAB;2020
10.3389/fpsyg.2020.510537;nein;2.942,64;Frontiers Media SA;IAB;2020
10.1080/14616696.2020.1826556 ;ja;2.495,00;Taylor & Francis;IAB;2020
10.1177/0197918320980413;ja;259,50;SAGE Publishing;IAB;2020
10.1093/esr/jcaa066;ja;3.452,16;Oxford University Press;IAB;2020
