DOI;is_hybrid;APC;Verlag;period;institution
10.1186/s12889-023-16415-y;nein;2,290.42;Springer Nature;2023;IAB
10.3233/SJI-220088;ja;2,558.50;IOS Press;2023;IAB
10.1080/1369183X.2022.2161495;ja;3,796.10;Taylor & Francis;2023;IAB
10.1080/01621459.2022.2161385;ja;3,581.90;Taylor & Francis;2023;IAB
10.1080/13504851.2023.2176429;ja;3,224.90;Taylor & Francis;2023;IAB
10.1371/journal.pone.0281893;nein;2,018.37;PLOS;2023;IAB
10.1055/a-2053-6763;ja;3,243.73;Thieme;2023;IAB
10.3389/fpos.2023.1100446;nein;1,222.89;Frontiers Media;2023;IAB
10.1080/09645292.2023.2213413;ja;3,445.05;Taylor & Francis;2023;IAB
10.1136/bmjopen-2022-071331;nein;2,765.18;BMJ open;2023;IAB
10.1515/zsr-2023-0004;ja;2,380.00;De Gruyter;2023;IAB
10.1016/j.ijnurstu.2023.104556;ja;4,652.90;Elsevier;2023;IAB
10.15195/v10.a2;nein;624.40;Sociological Science;2023;IAB
10.1016/j.econedurev.2023.102438;ja;2,439.50;Elsevier;2023;IAB
10.3790/sfo.72.9-10.673;ja;1,043.25;Duncker & Humblot;2023;IAB
10.3790/sfo.72.9-10.731;ja;1,043.25;Duncker & Humblot;2023;IAB
10.3790/sfo.72.9-10.709;ja;1,043.25;Duncker & Humblot;2023;IAB
10.3790/sfo.72.9-10.691;ja;1,043.25;Duncker & Humblot;2023;IAB
10.3790/sfo.72.9-10.747;ja;1,043.25;Duncker & Humblot;2023;IAB
10.1093/jssam/smad031;ja;4,034.10;Oxford Univ. Press;2023;IAB
10.1093/esr/jcad051;;4,676.70;;2023;IAB
10.1016/j.enpol.2023.113802;ja;3,629.50;Elsevier;2023;IAB
10.1016/j.rssm.2023.100842;ja;2,915.50;Elsevier;2023;IAB
10.17645/si.v11i4.7082;nein;1,130.50;Cogitatio Press;2023;IAB
10.1177/16094069231215189;nein;1,789.30;SAGE;2023;IAB
10.1080/13636820.2023.2280953;ja;3,445.05;Taylor & Francis;2023;IAB
10.1080/14616696.2023.2289651;Ja;3,796.10;Taylor & Francis;2023;IAB
10.1515/ger-2021-0010;Ja;2,380.00;De Gruyter;2023;IAB
