institution;period;euro;doi;is_hybrid;;
TH Köln;2024;1.902;https://doi.org/10.1177/23312165241235463;FALSE;;
TH Köln;2024;850;https://doi.org/10.1121/10.0024878;FALSE;;
TH Köln;2024;2.722;https://doi.org/10.3390/catal14060360;FALSE;;
TH Köln;2024;1.955;https://doi.org/10.1177/23312165241235463;FALSE;;
TH Köln;2024;3.170;https://doi.org/10.1080/08997764.2024.2322825;FALSE;;
TH Köln;2024;1.880;https://doi.org/10.1016/j.heliyon.2024.e33018;FALSE;;
TH Köln;2024;k.A.;https://doi.org/10.3390/ai5030053;FALSE;;
TH Köln;2024;2.480;https://doi.org/10.3390/su16156420 ;FALSE;;
TH Köln;2024;1.373; https://doi.org/10.3390/en17174355 ;FALSE;;
TH Köln;2024;2.286;https://doi.org/10.3390/polym16172437;FALSE;;
TH Köln;2024;1.386;https://doi.org/10.3390/en17215452;FALSE;;
TH Köln;2024;3.233;10.3389/fpls.2024.1493322 ;FALSE;;
TH Köln;2024;2.553;https://doi.org/10.3390/app14219731 ;FALSE;;
TH Köln;2024;853;https://doi.org/10.3390/earth5040040;FALSE;;
TH Köln;2024;2.005;https://doi.org/10.3389/frvir.2024.1470382;FALSE;;
TH Köln;2024;637,71;https://doi.org/10.32479/ijeep.14830;FALSE;;
TH Köln;2024;341;https://doi.org/10.15678/EBER.2024.120402;FALSE;;
TH Köln;2024;1.780;https://doi.org/10.1167/tvst.13.8.33;FALSE;;
TH Köln;2024;3.505;https://doi.org/10.1080/13691457.2024.2316788;TRUE;;
TH Köln;2024;1.698;https://doi.org/10.1021/acs.langmuir.3c03535;TRUE;;
TH Köln;2024;3.385;https://doi.org/10.1080/07434618.2024.2370821;TRUE;;
TH Köln;2024;1.885;www.doi.org/10.1332/23978821Y2024D000000085;TRUE;;
TH Köln;2024;3.442;doi.org/10.1021/acsestwater.4c00556;TRUE;;
TH Köln;2024;k.A.;10.1007/s00253-024-13328-7;FALSE;;
TH Köln;2024;;10.1007/s00339-024-07954-1;TRUE;;
TH Köln;2024;;10.1007/s00339-024-08104-3;TRUE;;
TH Köln;2024;k.A.;10.1007/s42452-024-06162-z;FALSE;;
TH Köln;2024;k.A.;10.1007/s44245-024-00039-6;FALSE;;
TH Köln;2024;;10.1007/s10853-024-09413-x;TRUE;;
TH Köln;2024;k.A.;10.1007/s11192-024-05132-x;TRUE;;
TH Köln;2024;k.A:;10.1007/s12592-024-00509-4;TRUE;;
TH Köln;2024;k.A. ;10.1002/hyp.70024;TRUE;;
TH Köln;2024;;10.1111/rmir.12261;TRUE;;
TH Köln;2024;;10.1002/cptc.202400033;TRUE;;
TH Köln;2024;;10.1016/j.trip.2024.101016;FALSE;;
TH Köln;2024;;10.1016/j.desal.2024.117479;TRUE;;
TH Köln;2024;;10.1007/s00253-023-12868-8;FALSE;;
TH Köln;2024;k.A.;10.1007/s10639-024-12479-4;TRUE;;
TH Köln;2024;;10.1007/s00395-024-01035-3;TRUE;;
TH Köln;2024;;10.1186/s40494-024-01257-7;FALSE;;
TH Köln;2024;;10.1007/s11553-024-01123-1;TRUE;;
TH Köln;2024;1.268;10.1186/s40494-024-01152-1;FALSE;;
TH Köln;2024;;10.1016/j.ijdrr.2024.105131;TRUE;;
TH Köln;2024;;10.1016/j.techsoc.2024.102644;TRUE;;
TH Köln;2024;;10.1016/j.cose.2024.103886;TRUE;;
TH Köln;2024;;10.1016/j.prime.2024.100715;FALSE;;
TH Köln;2024;1.880;10.1016/j.heliyon.2024.e33018;FALSE;;
