institution;period;euro;doi;is_hybrid;publisher
TH Köln;2023;3418;https://doi.org/10.1007/s11613-022-00801-3;true;Springer
TH Köln;2023;3418;https://doi.org/10.1007/s11613-022-00802-2;true;Springer
TH Köln;2023;3418;https://doi.org/10.1007/s11661-022-06954-1;true;Springer
TH Köln;2023;2071;https://doi.org/10.1038/s41598-023-27521-7;false;Springer
TH Köln;2023;3418;https://doi.org/10.1007/s00253-023-12422-6;true;Springer
TH Köln;2023;3418;https://doi.org/10.1007/s42417-023-00906-8;true;Springer
TH Köln;2022;3418;https://doi.org/10.1007/s11613-023-00832-4;true;Springer
TH Köln;2023;2997;https://doi.org/10.1111/jiec.13442;true;Wiley
TH Köln;2023;2997;https://doi.org/10.1002/cepa.2869;true;Wiley
TH Köln;2023;2997;https://doi.org/10.1111/rmir.12254;true;Wiley
