Nr.,Institution,Period,EURO,publisher,journal_full_title,issn,issn_print,issn_electronic,doi_urn,indexed_in_CrossRef,pmid,pmcid,base.url,record.id,ut,DOAJ,license_ref
1,TU Chemnitz,2015,"180,87",The International Union of Crystallography,Acta Crystallographica Section E Crystallographic Communications,,,2056-9890 ; 1600-5368,10.1107/S205698901500540X,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19265,NA,,NA
2,TU Chemnitz,2015,"208,25",Copernicus Publications,Advances in Radio Science - Kleinheubacher Berichte,"1684-9965, 1684-9973 ",,1684-9973,10.5194/ars-13-209-2015,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19960,NA,,http://creativecommons.org/licenses/by/3.0/
3,TU Chemnitz,2015,"148,75",Copernicus Publications,Advances in Radio Science - Kleinheubacher Berichte,"1684-9965, 1684-9973 ", 1684-9965,1684-9973 ,10.5194/ars-13-203-2015,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19966,NA,,http://creativecommons.org/licenses/by/3.0/
4,TU Chemnitz,2015,"150,00",Institute of Sport,Biology of Sport,"0860-021X, 2083-1862",0860-021X,2083-1862,10.5604/20831862.1134311,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19551,NA,,NA
5,TU Chemnitz,2015,"272,75",Canadian Center of Science and Education,Engineering Management Research,"1927-7318, 1927-7326",1927-7318,1927-7326,10.5539/emr.v4n2p9,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19838,NA,,http://creativecommons.org/licenses/by/3.0/
6,TU Chemnitz,2015,"1142,40",Frontiers Media,Frontiers in Computational Neuroscience,1662-5188,,1662-5188,10.3389/fncom.2015.00035,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19552,NA,,http://creativecommons.org/licenses/by/4.0/
7,TU Chemnitz,2015,"2035,28",Frontiers Media,Frontiers in Neuroinformatics,1662-5196,,1662-5196,10.3389/fninf.2015.00019,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19804,NA,,http://creativecommons.org/licenses/by/4.0/
8,TU Chemnitz,2015,"1532,40",Frontiers Media,"Frontiers in Neuroscience, Section Neuromorphic Engineering",1662-453X,,1662-453X,10.3389/fnins.2015.00227,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19398,NA,,http://creativecommons.org/licenses/by/4.0/
9,TU Chemnitz,2015,"1533,23",Frontiers Media,Frontiers in Psychology.,1664-1078,,1664-1078,10.3389/fpsyg.2015.01140,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19662,NA,,http://creativecommons.org/licenses/by/4.0/
10,TU Chemnitz,2015,"2122,81",Frontiers Media,Frontiers in Psychology.,1664-1078,,1664-1078,10.3389/fpsyg.2015.01630,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,20005,NA,,http://creativecommons.org/licenses/by/4.0/
11,TU Chemnitz,2015,"90,14",International Journal of Engineering Sciences & Research Technology,International Journal of Engineering Sciences & Research Technology,2277-9655,,2277-9655,NA,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19134,NA,,NA
12,TU Chemnitz,2015,"77,81",International Journal of Engineering Sciences & Research Technology,International Journal of Engineering Sciences & Research Technology,2277-9655,,2277-9655,NA,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19051,NA,,NA
13,TU Chemnitz,2015,"329,82",Canadian Center of Science and Education,Journal of Materials Science Research,"1927-0585, 1927-0593",1927-0585,1927-0593,10.5539/jmsr.v4n3p33,,,,https://www.bibliothek.tu-chemnitz.de/uni_biblio/,19264,NA,,http://creativecommons.org/licenses/by/3.0/
