institution;period;publisher;journal_full_title;doi;is_hybrid;euro
Goettingen U;2016;Pensoft Publisher;PhytoKeys;10.3897/phytokeys.58.5847;FALSE; 178,50
Goettingen U;2016;Hindawi;Journal of Nutrition and Metabolism;10.1155/2016/6893137;FALSE; 874,35
Goettingen U;2016;Hindawi;International Journal of Forestry Research;10.1155/2016/4903749;FALSE; 655,77
Goettingen U;2016;BioMed Central;BMC Genetics;10.1186/s12863-016-0327-z;FALSE; 1.661,24
Goettingen U;2016;PeerJ;Peer J;10.7717/peerj.1619;FALSE; 651,24
Goettingen U;2016;Frontiers;Frontiers in Plant Science;10.3389/fpls.2015.01202;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;AMB Express;10.1186/s13568-016-0178-z;FALSE; 1.661,24
Goettingen U;2016;PLoS;PLoS One;10.1371/journal.pone.0146695;FALSE; 1.485,44
Goettingen U;2016;Dove Medical Press;Adolescent Health, Medicine and Therapeutics;10.2147/AHMT.S97925;FALSE; 1.884,96 
Goettingen U;2016;BioMed Central;BMC Emergency Medicine;10.1186/s12873-016-0069-2;FALSE; 1.594,60
Goettingen U;2016;Nature Publ. Group;Cell Death Discovery;10.1038/cddiscovery.2016.12;FALSE; 1.618,40
Goettingen U;2016;MDPI;Animals;10.3390/ani6020014;FALSE; 482,39
Goettingen U;2016;European Centre for Research, Training and Development, United Kingdom;International Journal of Non-Governmental Organizations and Essays;ohne DOI;http://goedoc.uni-goettingen.de/goescholar/handle/1/13114; 139,14
Goettingen U;2016;BioMed Central;BMC Neurology;10.1186/s12883-016-0543-1;FALSE; 1.661,24
Goettingen U;2016;Wiley (OA-Journals);Journal of Cachexia, Sarcopenia and Muscle;10.1002/jcsm.12106;FALSE; 1.999,20
Goettingen U;2016;BioMed Central;World Allergy Organization Journal;10.1186/s40413-016-0093-4;FALSE; 1.666,00
Goettingen U;2016;Frontiers;Frontiers in Neuroscience;10.3389/fnins.2015.00527;FALSE; 1.506,40
Goettingen U;2016;Nature Publ. Group;Scientific Reports;10.1038/srep21834;FALSE; 1.386,35
Goettingen U;2016;PLoS;PloS One;10.1371/JOURNAL.PONE.0148428;FALSE; 1.438,75
