Nr.,Institution,Publikationsjahr,Kosten (incl. 19% VAT),Verlag,Journal,Artikel,E-ISSN,DOI,base_url,repo_id,Fakultät,Finanzgeber,Anmerkungen
1,Goettingen U,2014,"1053,17",Hindawi,Computational and Mathematical Methods in Medicine,"Jorgovanovic, Nikola; Dosen, Strahinja; Djozic, Damir J.; Krajoski, Goran; Farina, Dario (2014): Virtual Grasping: Closed-Loop Force Control Using Electrotactile Feedback - Computational and Mathematical Methods in Medicine; Vol. 2014, p. 1-13",1748-6718,10.1155/2014/120357,http://resolver.sub.uni-goettingen.de/,9756,UMG,DFG/UMG Fördermittel 2014 ,NA
2,Goettingen U,2014,"1173,74",PLOS,PLOS ONE,"Vilardi, Fabio; Stephan, Milena; Clancy, Anne; Janshoff, Andreas; Schwappach, Blanche (2014): WRB and CAML Are Necessary and Sufficient to Mediate Tail-Anchored Protein Targeting to the ER Membrane - PLoS ONE; Vol. 9, No. 1, e85033 ",1932-6203,10.1371/journal.pone.0085033,http://resolver.sub.uni-goettingen.de/,9662,UMG,DFG/UMG Fördermittel 2014,NA
3,Goettingen U,2014,"1904,00",Frontiers,Frontiers in Computational Neuroscience,"Faghihi, Faramarz; Kolodziejski, Christoph; Fiala, André; Wörgötter, Florentin; Tetzlaff, Christian (2013): An information theoretic model of information processing in the Drosophila olfactory system: the role of inhibitory neurons for system efficiency - Frontiers in Computational Neuroscience; Vol. 7, 183",1662-5188,10.3389/fncom.2013.00183,http://resolver.sub.uni-goettingen.de/,9796,Physik ,DFG/SUB Fördermittel 2014,NA
4,Goettingen U,2014,"727,29",PeerJ,PeerJ,"Landesfeind, Manuel; Kaever, Alexander; Feussner, Kirstin; Thurow, Corinna; Gatz, Christiane; Feussner, Ivo; Meinicke, Peter (2014): Integrative study of Arabidopsis thaliana metabolomic and transcriptomic data with the interactive MarVis-Graph software - PeerJ; Vol. 2, e239",2167-8359,10.7717/peerj.239,http://resolver.sub.uni-goettingen.de/,10012,Biologie,DFG/SUB Fördermittel 2014,NA
5,Goettingen U,2014,"1065,72",PLOS,PLOS ONE,"Lohse, Karoline; Gräfenhain, Maria; Behne, Tanya; Rakoczy, Hannes (2014): Young Children Understand the Normative Implications of Future-Directed Speech Acts - PLoS ONE; Vol. 9, No. 1, e86958",1932-6203,10.1371/journal.pone.0086958,http://resolver.sub.uni-goettingen.de/,9754,Biologie,DFG/SUB Fördermittel 2014,NA
6,Goettingen U,2014,"1065,72",PLOS,PLOS ONE,"Goldberg, Julia; Knapp, Michael; Emberson, Rowan M.; Townsend, J. Ian; Trewick, Steven A. (2014): Species Radiation of Carabid Beetles (Broscini: Mecodema) in New Zealand - PLoS ONE; Vol. 9, No. 1, e86185",1932-6203,10.1371/journal.pone.0086185,http://resolver.sub.uni-goettingen.de/,9751,Biologie,DFG/SUB Fördermittel 2014,NA
7,Goettingen U,2014,"1971,89",PLOS,PLOS Genetics,"Qanbari, Saber; Pausch, Hubert; Jansen, Sandra; Somel, Mehmet; Strom, Tim M.; Fries, Ruedi; Nielsen, Rasmus; Simianer, Henner (2014): Classic Selective Sweeps Revealed by Massive Sequencing in Cattle - PLoS Genetics; Vol. 10, No. 2, e1004148",1553-7404,10.1371/journal.pgen.1004148,http://resolver.sub.uni-goettingen.de/,9986,Agrarwiss.,DFG/SUB Fördermittel 2014,NA
8,Goettingen U,2014,"1183,95",PLOS,PLOS ONE,"König von Borstel, Uta; Glißman, Chantal (2014): Alternatives to Conventional Evaluation of Rideability in Horse Performance Tests: Suitability of Rein Tension and Behavioural Parameters - PLoS ONE; Vol. 9, No. 1, e87285",1932-6203,10.1371/journal.pone.0087285,http://resolver.sub.uni-goettingen.de/,9797,Agrarwiss.,DFG/SUB Fördermittel 2014,NA
9,Goettingen U,2014,"1183,95",PLOS,PLOS ONE,"Michael, Neethu; Bischof, Hans-Joachim; Löwel, Siegrid (2014): Flavoprotein Autofluorescence Imaging of Visual System Activity in Zebra Finches and Mice - PLoS ONE; Vol. 9, No. 1, e85225",1932-6203,10.1371/journal.pone.0085225,http://resolver.sub.uni-goettingen.de/,9661,Biologie,DFG/SUB Fördermittel 2014,NA
10,Goettingen U,2014,"1223,26","WJG Press, Baishideng Publ. Group",World Journal of Gastroenterology,"Khan, Sajjad; Cameron, Silke; Blaschke, Martina; Moriconi, Federico; Naz, Naila; Amanzada, Ahmad; Ramadori, Giuliano; Malik, Ihtzaz Ahmed (2014): Differential gene expression of chemokines in KRAS and BRAF mutated colorectal cell lines: role of cytokines. - World journal of gastroenterology : WJG; Vol. 20, No. 11, p. 2979-94. ",2219-2840,10.3748/wjg.v20.i11.2979,http://resolver.sub.uni-goettingen.de/,10180,UMG,DFG/UMG Fördermittel 2014,NA
11,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Pharmacology. Pharmacology of Ion Channels and Channelopathies ,"Mustroph, Julian; Maier, Lars S.; Wagner, Stefan (2014-01-31): CaMKII regulation of cardiac K channels - Frontiers in Pharmacology; Vol. 5, 20",1663-9812,10.3389/fphar.2014.00020,http://resolver.sub.uni-goettingen.de/,9943,UMG,DFG/UMG Fördermittel 2014,NA
12,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Cellular Neuroscience,"Janc, Oliwia A.; Müller, Michael (2014-02-24): The free radical scavenger Trolox dampens neuronal hyperexcitability, reinstates synaptic plasticity, and improves hypoxia tolerance in a mouse model of Rett syndrome - Frontiers in Cellular Neuroscience; Vol. 8, 56",1662-5102,10.3389/fncel.2014.00056,http://resolver.sub.uni-goettingen.de/,9944,UMG,DFG/UMG Fördermittel 2014,NA
