pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;initial_opt-out
8;Georg-August-Universität Göttingen;Zeitschrift für Gerontologie und Geriatrie;1435-1269;10.1007/s00391-023-02264-2;https://doi.org/10.1007/s00391-023-02264-2;18.12.2023;15.11.2023;2750;optout
19;Georg-August-Universität Göttingen;Intensive Care Medicine;1432-1238;10.1007/s00134-023-07183-9;https://doi.org/10.1007/s00134-023-07183-9;14.08.2023;28.07.2023;917;optout
32;Georg-August-Universität Göttingen;Journal of Consumer Protection and Food Safety;1661-5867;10.1007/s00003-023-01429-w;https://doi.org/10.1007/s00003-023-01429-w;15.03.2023;27.02.2023;2750;optout
45;Georg-August-Universität Göttingen;Journal of Neural Transmission;1435-1463;10.1007/s00702-023-02671-0;https://doi.org/10.1007/s00702-023-02671-0;15.07.2023;03.07.2023;917;optout
68;Georg-August-Universität Göttingen;Clinical Drug Investigation;1179-1918;10.1007/s40261-023-01257-8;https://doi.org/10.1007/s40261-023-01257-8;05.04.2023;09.03.2023;2750;optout
75;Georg-August-Universität Göttingen;Community Ecology;1588-2756;10.1007/s42974-023-00160-8;https://doi.org/10.1007/s42974-023-00160-8;25.09.2023;12.09.2023;917;optout
89;Georg-August-Universität Göttingen;The Indian Journal of Labour Economics;0019-5308;10.1007/s41027-023-00456-3;https://doi.org/10.1007/s41027-023-00456-3;14.09.2023;31.07.2023;2750;optout
108;Georg-August-Universität Göttingen;Organic Agriculture;1879-4246;10.1007/s13165-023-00423-8;https://doi.org/10.1007/s13165-023-00423-8;03.02.2023;16.01.2023;2750;optout
128;Georg-August-Universität Göttingen;Journal of Clinical Monitoring and Computing;1573-2614;10.1007/s10877-023-01055-9;https://doi.org/10.1007/s10877-023-01055-9;17.07.2023;27.06.2023;2750;optout
135;Georg-August-Universität Göttingen;Community Ecology;1588-2756;10.1007/s42974-023-00161-7;https://doi.org/10.1007/s42974-023-00161-7;21.09.2023;12.09.2023;917;optout
