"Lfd. Nr.","Journal","Verlag","Jahr","Artikel","DOI","BaseURL","RecordID","Fakultät","E-ISSN","Kosten (incl. 19% Steuer)","Anmerkung"
1,"Acta Neuropathologica Communications","BioMed Central",2013,"1932998810512303 N-truncated Abeta starting with position four: early intraneuronal accumulation and rescue of toxicity using NT4X-167, a novel monoclonal antibody","10.1186/2051-5960-1-56","http://goedoc.uni-goettingen.de/goescholar",9339,"UMG","2051-5960",952,"Ergänzungsfonds 2013"
2,"Acta Veterinaria Scandinavica","BioMed Central",2013,"1467828482811311 Structural changes in femoral bone tissue of rats after subchronic peroral exposure to selenium","10.1186/1751-0147-55-8","http://goedoc.uni-goettingen.de/goescholar",8642,"Biologie","1751-0147","1551,76","Ergänzungsfonds 2013"
3,"Acta Veterinaria Scandinavica","BioMed Central",2013,"5856208281009574 (Grosskopf, Birgit) Simultaneous subchronic exposure to selenium and diazinon as possible risk factor for osteoporosis in adult male rats","10.1186/1751-0147-55-81","http://goedoc.uni-goettingen.de/goescholar",9552,"Biologie","1751-0147","1466,08","Ergänzungsfonds 2013"
4,"Advances in Biosciences and Biotechnology","Scientific Research Publishing",2013,"Mushtaq, Asim; Tariq, Mujahid Azeem; Rasheed, Umer; Afroz, Amber; Zeeshan, Nadia; Asif, Abdul R.; Zahur, Muzna (2013): Estimation of HCV viral load and liver enzymes among different patients groups of District Gujrat, Pakistan - Advances in Bioscience and Biotechnology; Vol. 04, No. 09, p. 866-871.","10.4236/abb.2013.49115","http://goedoc.uni-goettingen.de/goescholar",9300,"UMG","2156-8502","727,77","DFG-Fördermittel 2013"
5,"Advances in Biosciences and Biotechnology","Scientific Research Publishing",2013,"Zahur, Muzna; Asif, Muhammad Ahsan; Zeeshan, Nadia; Mehmood, Sajid; Malik, Muhammad Faheem; Asif, Abdul R. (2013-10): Homeobox leucine zipper proteins and cotton improvement - Advances in Bioscience and Biotechnology; Vol. 04, No. 10, p. 15-20.","10.4236/abb.2013.410A3003","http://goedoc.uni-goettingen.de/goescholar",9360,"UMG","2156-8502","718,27","DFG-Fördermittel 2013"
6,"AIP Advances","AIP",2013,"Xu, Yijun; Zhang, Kun; Bru?sewitz, Christoph; Wu, Xuemei; Hofsa?ss, Hans Christian (2013): Investigation of the effect of low energy ion beam irradiation on mono-layer graphene - AIP Advances; Vol. 3, No. 7, p. 072120","10.1063/1.4816715","http://goedoc.uni-goettingen.de/goescholar",9218,"Physik","2158-3226","1025,75","DFG-Fördermittel 2013"
7,"Algorithms for Molecular Biology","BioMed Central",2013,"2110216264876011 Coexpression and coregulation analysis of time-series gene expression data in estrogen-induced breast cancer cell","10.1186/1748-7188-8-9","http://goedoc.uni-goettingen.de/goescholar",9067,"UMG","1748-7188","1285,2","Ergänzungsfonds 2013"
8,"Biogeosciences","Copernicus",2013,"2013-Biogeosciences. Meier, I.C.: Nutrient dynamics along a prcipitation gradient  ... bg-2013-297","10.5194/bgd-10-11899-2013","http://goedoc.uni-goettingen.de/goescholar",9583,"Biologie","1726-4189","1207,85","DFG-Fördermittel 2013"
9,"Biogeosciences","Copernicus",2013,"Herbst, M.; Friborg, T.; Schelde, K.; Jensen, R.; Ringgaard, R.; Thomsen, A. G.; Soegaard, H. (2013): Climate and site management as driving factors for the atmospheric greenhouse gas exchange of a restored wetland - Biogeosciences; Vol. 10, p. 39-52.","10.5194/bgd-9-9029-2012","http://goedoc.uni-goettingen.de/goescholar",8522,"Forstwiss.","1726-4189","1242,36","DFG-Fördermittel 2013"
10,"Biogeosciences","Copernicus",2013,"Eschenbach, W.; Well, R. (2013): Predicting the denitrification capacity of sandy aquifers from shorter-term incubation experiments and sediment properties - Biogeosciences; Vol. 10, No. 2, p. 1013-1035.","10.5194/bg-10-1013-2013","http://goedoc.uni-goettingen.de/goescholar",8904,"Forstwiss.","1726-4189","1794,52","DFG-Fördermittel 2013"
11,"Biogeosciences","Copernicus",2013,"Veldkamp, E.; Koehler, B.; Corre, M. D. (2013-08-09): Indications of nitrogen-limited methane uptake in tropical forest soils - Biogeosciences; Vol. 10, No. 8, p. 5367-5379.","10.5194/bg-10-5367-2013","http://goedoc.uni-goettingen.de/goescholar",9220,"Forstwiss.","1726-4189","1069,81","DFG-Fördermittel 2013"
12,"Biogeosciences","Copernicus",2013,"Blumenberg, M.; Berndmeyer, C.; Moros, M.; Muschalla, M.; Schmale, O.; Thiel, V. (2013): Bacteriohopanepolyols record stratification, nitrogen fixation and other biogeochemical perturbations in Holocene sediments of the central Baltic Sea - Biogeosciences; Vol. 10, No. 4, p. 2725-2735.","10.5194/bg-10-2725-2013","http://goedoc.uni-goettingen.de/goescholar",9130,"Geowiss.","1726-4189","931,77","DFG-Fördermittel 2013"
13,"BMC Clinical Pathology","BioMed Central",2013,"1598964901812971 13-year-old tuberous sclerosis patient with renal cell carcinoma associated with multiple renal angiomyolipomas developing multifocal micronodular pneumocyte hyperplasia","10.1186/1472-6890-13-4","http://goedoc.uni-goettingen.de/goescholar",8532,"UMG","1472-6890","1466,08","Ergänzungsfonds 2013"
14,"BMC Developmental Biology","BioMed Central",2013,"2017504386957774 Tc-knirps plays different roles in the specification of antennal and mandibular parasegment boundaries and is regulated by a pair-rule gene in the beetle Tribolium castaneum","10.1186/1471-213X-13-25","http://goedoc.uni-goettingen.de/goescholar",9126,"Biologie","1471-213X","1461,32","Ergänzungsfonds 2013"
15,"BMC Developmental Biology","BioMed Central",2013,"8424708619605910 An ancient process in a modern mollusc: early development of the shell in Lymnaea stagnalis","10.1186/1471-213X-13-27","http://goedoc.uni-goettingen.de/goescholar",9179,"Geowissenschaften (CRC Geobiology )","1471-213X","1451,8","Ergänzungsfonds 2013"
16,"BMC Evolutionary Biology","BioMed Central",2013,"1384993446806066 Congruence of chloroplast- and nuclear-encoded DNA sequence variations used to assess species boundaries in the soil microalga Heterococcus (Stramenopiles, Xanthophyceae)","10.1186/1471-2148-13-39","http://goedoc.uni-goettingen.de/goescholar",8634,"Biologie","1471-2148","1470,84","Ergänzungsfonds 2013"
17,"BMC Evolutionary Biology","BioMed Central",2013,"1219094808101637 The thorax musculature of Anisoptera (Insecta: Odonata) nymphs and its evolutionary relevance ; Sebastian Büsse","10.1186/1471-2148-13-237","http://goedoc.uni-goettingen.de/goescholar",10047,"Biologie","1471-2148","1442,28","Ergänzungsfonds 2013"
18,"BMC Evolutionary Biology","BioMed Central",2013,"4748396261052294 Rapid evolution of cooperation in group-living animals , Franz Mathias","10.1186/1471-2148-13-235","http://goedoc.uni-goettingen.de/goescholar",9450,"Biologie/Courant Forschungszentrum Evolution des Sozialverhaltens    ","1471-2148","1442,28","Ergänzungsfonds 2013"
19,"BMC Evolutionary Biology","BioMed Central",2013,"1514857616102584  True lemurs … true species - species delimitation using multiple data sources in the brown lemur complex ; Matthias Markolf*","10.1186/1471-2148-13-233","http://goedoc.uni-goettingen.de/goescholar",10045,"Biologie/DPZ","1471-2148","1442,28","Ergänzungsfonds 2013"
20,"BMC Family Practice","BioMed Central",2013,"5029394121006089 The inter-contact interval: a new measure to define frequent attenders in primary care;  Johannes Hauswaldt*","10.1186/1471-2296-14-162","http://goedoc.uni-goettingen.de/goescholar",9465,"UMG","1471-2296","1437,52","Ergänzungsfonds 2013"
21,"BMC Gastroenterology","BioMed Central",2013,"1174755427102646Treatment of chronic HCV genotype 1 infection with telaprevir: a Bayesian mixed treatment comparison of fixed-length and response-guided treatment regimens in treatment- …","10.1186/1471-230X-13-148","http://goedoc.uni-goettingen.de/goescholar",10414,"UMG","1471-230X","1442,28","Ergänzungsfonds 2013"
22,"BMC Genomics","BioMed Central",2013,"7201875477752553 RNAi phenotypes are influenced by the genetic background of the injected strain","10.1186/1471-2164-14-5","http://goedoc.uni-goettingen.de/goescholar",8539,"Biologie","1471-2164","1494,64","Ergänzungsfonds 2013"
23,"BMC Genomics","BioMed Central",2013,"1474489555928684 RNA-Seq of Bacillus licheniformis: active regulatory RNA features expressed within a productive fermentation","10.1186/1471-2164-14-667","http://goedoc.uni-goettingen.de/goescholar",10046,"Biologie","1471-2164","1542,24","Ergänzungsfonds 2013"
24,"BMC Medicine","BioMed Central",2013,"1106832171817084 Summative assessments are more powerful drivers of student learning than resource intensive teaching formats","10.1186/1741-7015-11-61","http://goedoc.uni-goettingen.de/goescholar",8918,"UMG","1741-7015","1723,12","Ergänzungsfonds 2013"
25,"BMC Microbiology","BioMed Central",2013,"5581872931033952 Discrimination of multilocus sequence typing-based Campylobacter jejuni subgroups by MALDI-TOF mass spectrometry  ; Andreas Zautner","10.1186/1471-2180-13-247","http://goedoc.uni-goettingen.de/goescholar",10048,"UMG","1471-2180","1442,28","Ergänzungsfonds 2013"
26,"BMC Neurology","BioMed Central",2013,"9373916698129090 Cell stress molecules in the skeletal muscle of GNE myopathy","10.1186/1471-2377-13-24","http://goedoc.uni-goettingen.de/goescholar",8778,"UMG","1471-2377","1466,08","Ergänzungsfonds 2013"
27,"BMC Neurology","BioMed Central",2013,"1193912919371601 Is a hypothetical melanoma-like neuromelanin the underlying factor essential for the aetiopathogenesis and clinical manifestations of multiple scle rosis?","10.1186/1471-2377-13-91","http://goedoc.uni-goettingen.de/goescholar",9172,"UMG","1471-2377","1542,24","Ergänzungsfonds 2013"
28,"BMC Neurology","BioMed Central",2013,"7738438841051046 Plaque morphology detected with Duplex ultrasound before carotid angioplasty and stenting (CAS) is not a predictor of carotid artery in-stent restenosis, a case control study; Jan Liman*","10.1186/1471-2377-13-163","http://goedoc.uni-goettingen.de/goescholar",9420,"UMG","1471-2377","1442,28","Ergänzungsfonds 2013"
