"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Université de Limoges";2022;1551,01;"10.1371/journal.pone.0262953";"FALSE";;;;;;
"Université de Limoges";2022;1822,37;"10.1364/oe.446325";"FALSE";;;;;;
"Université de Limoges";2022;2073,94;"10.3390/app12052734";"FALSE";;;;;;
"Université de Limoges";2022;2045;"10.1186/s40249-022-00958-0";"FALSE";;;;;;
"Université de Limoges";2022;1640,58;"10.1109/ACCESS.2022.3158958";"FALSE";;;;;;
"Université de Limoges";2022;1983,77;"10.3390/microorganisms10040694 ";"FALSE";;;;;;
"Université de Limoges";2022;2073,94;"10.3390/pharmaceutics14040848";"FALSE";;;;;;
"Université de Limoges";2022;1719,81;"10.3390/s22145144";"FALSE";;;;;;
"Université de Limoges";2022;2740,55;"10.3389/fcell.2022.933897";"FALSE";;;;;;
"Université de Limoges";2022;2441,48;"10.3390/genes13081356";"FALSE";;;;;;
"Université de Limoges";2022;1877,01;"10.3389/fbiom.2022.942104";"FALSE";;;;;;
"Université de Limoges";2022;1600;"10.2340/jrm.v54.2270";"FALSE";;;;;;
"Université de Limoges";2022;2093,99;"10.2196/36126";"FALSE";;;;;;
"Université de Limoges";2022;1945;"10.1038/s41598-022-24997-7";"FALSE";;;;;;
"Université de Limoges";2022;2070,58;"10.3390/pharmaceutics14122823";"FALSE";;;;;;
