institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title,url,publisher,issn,license
Universitat de Barcelona,2013,"142,14",10.1371/journal.pone.0075189 ,FALSE,"Virgili N, Mancera P, Wappenhans B, Sorrosal G, Biber K, Pugliese M, Espinosa-Parrilla JF.  ",KATP Channel Opener Diazoxide Prevents Neurodegeneration: A New Mechanism of Action via Antioxidative Pathway Activation.,PLoS ONE,,,,
Universitat de Barcelona,2013,1330,10.1186/1471-2164-13-688,FALSE,"Enrique Blanco, Montserrat Corominas",CBS: an open platform that integrates predictive methods and epigenetics information to characterize conserved regulatory features in multiple Drosophila genomes,BMC Genomics,,,,
Universitat de Barcelona,2013,500,,FALSE,"Gómez, E.; Vallés, E.",Platinum Electrodeposition in an Ionic Liquid Analogue. Solvent Stability Monitoring,International Journal of Electrochemical Science,http://www.electrochemsci.org/papers/vol8/80101443.pdf,ESG,1452-3981,CC BY
Universitat de Barcelona,2013,744,10.1371/journal.pone.0055546,FALSE,"Susana Merino, Yuriy A. Knirel, Miguel Regue, Juan M. Tomas ","Experimental Identification of Actinobacillus pleuropneumoniae Strains L20 and JL03 Heptosyltransferases, Evidence for a New Heptosyltransferase Signature Sequence",PLoS ONE,,,,
Universitat de Barcelona,2013,"218,96",10.5194/nhess-13-1337-2013,FALSE,"Llasat, M. C.; M. Llasat-Botija; O. Petrucci; A.A. Pasqua; J. Rosselló; F. Vinet; L. Boissier",Towards a database on societal impact of Mediterranean floods in the framework of the HYMEX project,Natural Hazards and Earth System Sciences,,,,
Universitat de Barcelona,2013,718,10.2147/PPA.S45130,FALSE,"Isla Pera, P.; Palacin Lois, M.; López Matheu, C.; Honrubia Pérez, M.; Gómez Rodriguez, A.M.; Armengol Camps, E.; Sánchez Villalba, C.; Insa Soria, R.; Rigol Cuadra, A.; Marre, D.",Perceptions of diabetes obtained through drawing in childhood and adolescence,Patient Preference and Adherence,,,,
Universitat de Barcelona,2013,2000,10.1038/cddis.2013.173,FALSE,"Pérez-Torras S; Vidal-Pla, A; Cano-Soldado, P; Huber-Ruano, I; Mazo A., Pastor-Anglada M.",Concentrative nucleoside transporter 1 (hCNT1) promotes phenotypic changes relevant to tumor biology in a translocation¿independent manner,Cell Death and Disease,,,,
Universitat de Barcelona,2013,"412,8",10.1371/journal.pone.0059392,FALSE,"Sánchez-Tena, S.; Reyes-Zurita, F.J.; Díaz-Moralli, S.; Vinardell, M.P.; Reed, M.; García-García, F.; Dopazo, J.; Lupiáñez, J.A.; Günther, U.; Cascante, M.",Maslinic acid-enriched diet decreases intestinal tumorigenesis in ApcMin/+ mice through transcriptomic and metabolomic reprogramming,PLoS ONE,,,,
Universitat de Barcelona,2013,"553,13",10.1371/journal.pone.0070881,FALSE,"Vilches, S., C. Vergara, O. Nicolás, G. Sanclimens, S. Merino, S. Varón, G.A. Acosta, F. Albericio, M. Royo, J. A. Del Río*, R. Gavín*  ",Neurotoxicity of prion peptides mimicking the central domain of cellular prion protein,PLoS ONE,,,,
Universitat de Barcelona,2013,"191,11",10.4236/sm.2013.31007,FALSE,"Rodríguez Ávila, N.; Monllau Jaques, T.",The Independence Indicators of the Audit Profession in Spain,Sociology Mind,,,,
