institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title
Universitat de Barcelona,2017,"1397,3",http://dx.doi.org/10.1371/journal.pone.0171207,FALSE,"Rovira, Sergi; Puertas, Eloi; Igual, Laura",Data-driven system to predict academic grades and dropout,PLOS ONE
Universitat de Barcelona,2016,520,http://dx.doi.org/10.4081/jlimnol.2016.1590,FALSE,"Tarrats, Pol; Cañedo-Argüelles, Miguel; Rieradevall, Maria; Prat, Narcís","Chironomid communities as indicators of local and global changes in an oligotrophic high mountain lake (Enol Lake, Northwestern Spain)",Journal of Limnology
Universitat de Barcelona,2016,1560,http://dx.doi.org/10.5194/nhess-16-2055-2016,FALSE,"Victoriano, Ane; García-Silvestre, Marta; Furdada, Glòria; Bordonau, Jaume","Long-term entrenchment and consequences for present flood hazard in the Garona River (Val d'Aran, Central Pyrenees, Spain)",Natural Hazards and Earth System Sciences
Universitat de Barcelona,2016,"576,19",http://dx.doi.org/10.1371/journal.pone.0163762,FALSE,"López-Tejero, M. Dolores; Virgili, Núria; Targarona, Jordi; Ruiz, Jorge; García, Natalia; Oró, Denise; García-Villoria, Judit; Creus, Gloria; Pita, Ana M.",Apo AIV and Citrulline Plasma Concentrations in Short Bowel Syndrome Patients: The Influence of Short Bowel Anatomy,PLOS ONE
Universitat de Barcelona,2016,"900,67",http://dx.doi.org/10.3389/fcimb.2016.00073,FALSE,"Popa, Crina M.; Tabuchi, Mitsuaki; Valls, Marc",Modification of Bacterial Effector Proteins Inside Eukaryotic Host Cells,Frontiers in Microbiology
Universitat de Barcelona,2016,"388,33",http://dx.doi.org/10.1038/srep27058,FALSE,"Popa, Crina; Li, Liang; Gil, Sergio; Tatjer, Laura; Hashii, Keisuke; Tabuchi, Mitsuaki; Coll, Núria S.; Ariño, Joaquín; Valls, Marc",The effector AWR5 from the plant pathogen Ralstonia solanacearum is an inhibitor of the TOR signalling pathway,Scientific Reports
Universitat de Barcelona,2016,"558,74",http://dx.doi.org/10.3390/app7010026,FALSE,"Sanaee, Mohammad Reza; Chaitoglou, Stefanos; Aguiló-Aguayo, Noemí; Bertran, Enric",Size Control of Carbon Encapsulated Iron Nanoparticles by Arc Discharge Plasma Method,Applied Sciences
Universitat de Barcelona,2017,1165,http://dx.doi.org/10.1038/srep41807,FALSE,"Augé, Elisabet; Cabezón, Itsaso; Pelegrí, Carme; Vilaplana, Jordi",New perspectives on corpora amylacea in the human brain,Scientific Reports
Universitat de Barcelona,2018,242,http://dx.doi.org/10.6018/analesps.34.1.237231,FALSE,"Perez, Francisco Javier; Romeo, Marina; Yepes-Baldó, Montserrat","The corporate social responsibility policies for the inclusion of people with disabilities as predictors of employees identification, commitment and absenteeism",Anales de Psicología / Annals of Psychology
Universitat de Barcelona,2017,1165,http://dx.doi.org/10.1038/srep40536,FALSE,"Calvo-Martín, Juan M.; Papaceit, Montserrat; Segarra, Carmen",Evidence of neofunctionalization after the duplication of the highly conserved Polycomb group gene Caf1-55 in the obscura group of Drosophila,Scientific Reports
Universitat de Barcelona,2016,"596,94",https://dx.doi.org/10.1371/journal.pone.0168966,FALSE,"Castro-Miró, Marta de; Tonda, Raul; Escudero-Ferruz, Paula; Andrés, Rosa; Mayor-Lorenzo, Andrés; Castro, Joaquín; Ciccioli, Marcela; Hidalgo, Daniel A.; Rodríguez-Ezcurra, Juan José; Farrando, Jorge; Pérez-Santonja, Juan J.; Cormand, Bru; Marfany, Gemma; Gonzàlez-Duarte, Roser",Novel Candidate Genes and a Wide Spectrum of Structural and Point Mutations Responsible for Inherited Retinal Dystrophies Revealed by Exome Sequencing,PLOS ONE
Universitat de Barcelona,2017,1256,http://dx.doi.org/10.3390/molecules22010136,FALSE,"Castro-Alvarez, Alejandro; Costa, Anna M.; Vilarrasa, Jaume",The Performance of Several Docking Programs at Reproducing Protein-Macrolide-like Crystal Structures,Molecules
Universitat de Barcelona,2016,"1400,22",http://dx.doi.org/10.1371/journal.pone.0169186,FALSE,"Pérez-Cruz, Carla; Cañas, María Alexandra; Giménez, Rosa; Badía, Josefa; Mercadé, Elena; Baldomà, Laura; Aguilera, Laura",Membrane Vesicles Released by a hypervesiculating Escherichia coli Nissle 1917 tolR Mutant Are Highly Heterogeneous and Show Reduced Capacity for Epithelial Cell Interaction and Entry,PLOS ONE
Universitat de Barcelona,2017,"701,52",http://dx.doi.org/10.3390/nano7020037,FALSE,"Sangrà, Marc; Estelrich, Joan; Sabaté, Raimon; Espargaró, Alba; Busquets, M. Antònia",Evidence of Protein Adsorption in Pegylated Liposomes: Influence of Liposomal Decoration,Nanomaterials
Universitat de Barcelona,2017,2000,http://dx.doi.org/10.3389/fmicb.2017.00127,FALSE,"Sanglas, Ariadna; Albarral, Vicenta; Farfán, Maribel; Lorén, J. G.; Fusté, M. C.",Evolutionary Roots and Diversification of the Genus Aeromonas,Frontiers in Microbiology
Universitat de Barcelona,2017,"628,57",http://dx.doi.org/10.1111/conl.12341,FALSE,"Montero-Serra, Ignasi; Garrabou, Joaquim; Doak, Daniel F.; Figuerola, Laura; Hereu, Bernat; Ledoux, Jean-Baptiste; Linares, Cristina",Accounting for Life&#8208;History Strategies and Timescales in Marine Restoration,Conservation Letters
Universitat de Barcelona,2016,"987,54",http://dx.doi.org/10.15436/2376-0494.17.1333,FALSE,"Baena-Fustegueras, Juan Antonio; Ferrer, Roser; Lecube, Albert; Ricart-Jané, David; Rossell, Joana; Peinado-Onsurbe, Julia",Rapid Perioperative Changes in the Quantitative Properties of Plasma Lipases and Lipoproteins in Morbidly Obese Surgical Patients,Journal of Diabetes and Obesity
Universitat de Barcelona,2017,"588,72",http://dx.doi.org/10.1039/c6ra27441b,FALSE,"Zurita, Adrián; Duran, Anna; Ribó, Josep M.; El-Hachemi, Zoubir; Crusats, Joaquim",Hyperporphyrin effects extended into a J-aggregate supramolecular structure in water,RSC Advances
Universitat de Barcelona,2017,2000,http://dx.doi.org/10.1016/j.celrep.2017.01.007,FALSE,"Matalonga, Jonathan; Glaria, Estibaliz; Bresque, Mariana; Escande, Carlos; Carbó, José María; Kiefer, Kerstin; Vicente, Ruben; León, Theresa E.; Beceiro, Susana; Pascual-García, Mónica; Serret, Joan; Sanjurjo, Lucía; Morón-Ros, Samantha; Riera, Antoni; Paytubi, Sonia; Juarez, Antonio; Sotillo, Fernando; Lindbom, Lennart; Caelles, Carme; Sarrias, Maria-Rosa; Sancho, Jaime; Castrillo, Antonio; Chini, Eduardo N.; Valledor, Annabel F.",The Nuclear Receptor LXR Limits Bacterial Infection of Host Macrophages through a Mechanism that Impacts Cellular NAD Metabolism,Cell Reports
Universitat de Barcelona,2017,"1585,71",http://dx.doi.org/10.1038/ncomms14388,FALSE,"Nadal, Marta; Gallastegui, Nerea; Prekovic, Stefan; Helsen, Christine; Abella, Montserrat; Zielinska, Karolina; Gay, Marina; Vilaseca, Marta; Taules, Marta; Houtsmuller, Adriaan B.; Van Royen, Martin E.; Claessens, Frank; Fuentes-Prior, Pablo; Estébanez-Perpiñá, Eva",Structure of the homodimeric androgen receptor ligand-binding domain,Nature Communications
