institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title
Universitat de Barcelona,2016,"291,25",http://dx.doi.org/10.1038/srep19223 ,FALSE,"Pujadas, G.; Cervantes, S.; Tutusaus, A.; Ejarque, M.; Sanchez, L.; García, A.; Esteban, Y.; Fargas, L.; Alsina, B.; Hartmann, C.; Gomis, R.; Gasa, R.",Wnt9a deficiency discloses a repressive role of Tcf7l2 on endocrine differentiation in the embryonic pancreas,Scientific Reports
Universitat de Barcelona,2016,"367,57",http://dx.doi.org/10.5539/ies.v9n5p62 ,FALSE,"Sandín Esteban, María Paz; Sánchez Martí, Angelina; Cano Hila, Ana Belén",Measuring Social Capital and Support Networks of Young Immigrants,International Education Studies
Universitat de Barcelona,2016,"627,56",http://dx.doi.org/10.1371/journal.pone.0146273 ,FALSE,"Ejarque, Miriam; Mir-Coll, Joan; Gomis, Ramon; German, Michael S.; Lynn, Francis C.; Gasa, Rosa",Generation of a Conditional Allele of the Transcription Factor Atonal Homolog 8 (Atoh8),PLOS ONE
Universitat de Barcelona,2016,"302,07",http://dx.doi.org/10.2188/jea.JE20150034 ,FALSE,"Zanetti, Daniela; Via, Marc; Carreras-Torres, Robert; Esteban, Esther; Chaabani, Hassen; Anaibar, Fatima; Harich, Nourdin; Habbal, Rachida; Ghalim, Noreddine; Moral, Pedro",Analysis of Genomic Regions Associated With Coronary Artery Disease Reveals Continent-Specific Single Nucleotide Polymorphisms in North African Populations,Journal of Epidemiology
Universitat de Barcelona,2016,"1308,46",http://dx.doi.org/10.3389/fphy.2015.00093 ,FALSE,"Sagarra, Oleguer; Gutiérrez-Roig, Mario; Bonhoure, Isabelle; Perelló, Josep",Citizen Science Practices for Computational Social Science Research: The Conceptualization of Pop-Up Experiments,Frontiers in Physics
Universitat de Barcelona,2016,1560,http://dx.doi.org/10.1088/1367-2630/18/1/015003 ,FALSE,"Gallemí, A.; Muñoz Mateo, A.; Mayol, R.; Guilleumas, M.",Coherent quantum phase slip in two-component bosonic atomtronic circuits,New Journal of Physics
Universitat de Barcelona,2016,"690,32",http://dx.doi.org/10.1364/OE.24.002242 ,FALSE,"Arteaga, Oriol; Sancho-Parramon, Jordi; Nichols, Shane; Maoz, Ben M.; Canillas, Adolf; Bosch, Salvador; Markovich, Gil; Kahr, Bart",Relation between 2D/3D chirality and the appearance of chiroptical effects in real nanostructures,Optics Express
Universitat de Barcelona,2016,"849,92",http://dx.doi.org/10.1371/journal.pone.0148651 ,FALSE,"Iturbe-Espinoza, Paul; Gil-Moreno, Selene; Lin, Weiyu; Calatayud, Sara; Palacios, Òscar; Capdevila, Mercè; Atrian, Sílvia","The fungus Tremella mesenterica encodes the longest metallothionein currently known: gene, protein and metal binding characterization",PLOS ONE
Universitat de Barcelona,2016,"740,31",http://dx.doi.org/10.1371/journal.pone.0146497 ,FALSE,"Gulfo, Jose; Ledda, Angelo; Gea-Sorlí, Sabrina; Bonjoch, Laia; Closa, Daniel; Grasa, Mar; Esteve, Montserrat",New Roles for Corticosteroid Binding Globulin and Opposite Expression Profiles in Lung and Liver,PLOS ONE
Universitat de Barcelona,2016,1745,http://dx.doi.org/10.1186/s12866-015-0591-5 ,FALSE,"Toloza, Lorena; Giménez, Rosa; Fábrega, María Jose; Shianya Alvarez, Carina; Aguilera, Laura; Cañas, María Alexandra; Martín-Venegas, Raquel; Badia Josefa; Baldomà, Laura",The secreted autotransporter toxin (Sat) does not act as a virulence factor in the probiotic Escherichia coli strain Nissle 1917,BMC Microbiology
