institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title,url,publisher,issn,license
Universitat de Barcelona,2012,625,10.1371/journal.pone.0030395,FALSE,"Sanchez-Vidal, A.; Canals, M.; Calafat, A.M.; Lastras, G.; Pedrosa-Pàmies, R.; Menéndez, M.; Medina, R.; Company, J.B.; Hereu, B.; Romero, J.; Alcoverro, T.",Impacts on the deep-sea ecosystem by a severe coastal storm,PLoS ONE,,,,
Universitat de Barcelona,2012,"439,29",10.1371/journal.pone.0036901,FALSE,"Hereu, B.; Linares, C.; Sala, E.; Garrabou, J.; Garcia-Rubies, A.; Diaz, D.; Zabala, M.",Multiple processes regulate long-term population dynamics of sea urchins on Mediterranean rocky reefs,PLoS ONE,,,,
Universitat de Barcelona,2012,240,10.1371/journal.pone.0043034,FALSE,"Vieira, F. G.; Fôret, S.; He, X.; Rozas, J.; Field, L. M.; Zhou, J.-J.",Unique features of odorant-binding proteins of the parasitoid wasp Nasonia vitripennis revealed by genome annotation and comparative analyses,PLoS ONE,,,,
Universitat de Barcelona,2012,1186,10.1155/2012/390385,FALSE,"Oleaga, C.; Ciudad, C.J.; Noé, V.; Izquierdo-Pulido, M.",Coffee polyphenols change the expression of STAT5b and ATF-2 modifying cyclin D1 levels in cancer cells,Oxidative Medicine and Cellular Longevity,,,,
Universitat de Barcelona,2012,"1287,75",10.1186/1477-7525-10-106,FALSE,"Benaiges, I.; Prat, G.; Adan, A.",Health-related quality of life in patients with dual diagnosis: clinical correlates,Health and Quality of Life Outcomes,,,,
Universitat de Barcelona,2012,696,10.1186/1471-244X-12-42,FALSE,"Bernardo, M.; Coma, A.; Ibañez, C.; Zara, C.; Bari, J.M.; Serrano-Blanco, A.",Antipsychotic polypharmacy in a regional health service: a population-based study,BMC Psychiatry,,,,
Universitat de Barcelona,2012,"1013,44",10.1186/1471-2180-12-287,FALSE,"García-Aljaro, C.; Melado-Rovira, S.; Milton, D.L.; Blanch, A.R.",Quorum-sensing regulates biofilm formation in Vibrio scophthalmi ,BMC Microbiology,,,,
Universitat de Barcelona,2012,800,10.1371/journal.pone.0049109,FALSE,"Keim, V.; Manzano, D.; Fernández, F.; Closa, M.; Andrade, P.; Caudepón, D.; Bortolotti, C.; Vega, M.C.; Arró, M.; Ferrer, A.",Characterization of Arabidopsis FPS isozymes and FPS gene expression analysis provide insight into the biosynthesis of isoprenoid precursors in seeds,PLoS ONE,,,,
Universitat de Barcelona,2012,"910,28",10.1371/journal.pone.0051544,FALSE,"Espada, L.; Meo-Evoli, N.; Sancho, P.; Real, S.; Fabregat, I.; Ambrosio, S.; Tauler, A.",ROS production is essential for the apoptotic function of E2F1 in pheochromocytoma and neuroblastoma cell lines,PLoS ONE,,,,
Universitat de Barcelona,2012,982,10.1371/journal.pone.0031329,FALSE,"Cardona, L.; Alvarez de Quevedo, I.; Borrell, A.; Aguilar, A.",Massive consumption of gelatinous plankton by Mediterranean apex predators,PLoS ONE,,,,
Universitat de Barcelona,2012,"439,29",10.1371/journal.pone.0039031,FALSE,"Sanchez-Donoso, I.; Vilà, C.; Puigcerver, M.; Butkauskas, D.; Caballero de la Calle, J.R.; Morales-Rodríguez, P.A.; Rodríguez-Teijeiro, J.D.",Are Farm-Reared Quails for Game Restocking Really Common Quail (Coturnix coturnix)? A Genetic Approach,PLoS ONE,,,,
Universitat de Barcelona,2012,1044,10.1371/journal.pone.0034381,FALSE,"Romero, M.; Fernández-López, J.A.; Remesar, X.; Alemany, M.",Effect of sex and prior exposure to a cafeteria diet on the distribution of sex hormones between plasma and blood cells,PLoS ONE,,,,
Universitat de Barcelona,2012,"1119,2",10.1371/journal.pone.0032276,FALSE,"Obiol-Pardo, C.; Alcarraz-Vizán G.; Cascante M.; Rubio-Martinez J.;",Diphenyl urea derivatives as inhibitors of transketolase: a structure-based virtual screening.,PLoS ONE,,,,
Universitat de Barcelona,2012,"637,2",10.1371/journal.pone.0051625,FALSE,"Simões, P.; Calabria, G.;, Picão-Osório, J.; Balanyà, J.; Pascual, M.",The genetic content of chromosomal inversions across a wide latitudinal gradient,PLoS ONE,,,,
Universitat de Barcelona,2012,982,10.1371/journal.pone.0032393,FALSE,"Imamovic, L.; Muniesa, M.",Characterizing RecA-Independent Induction of Shiga toxin2-encoding Phages by EDTA Treatment,PLoS ONE,,,,
Universitat de Barcelona,2012,"140,3",10.1371/journal.pone.0031339,FALSE,"Torner, N.; Broner, S.; Martinez, A.; Tortajada, C.; Garcia de Olalla, P.; Barrabeig, I.; Sala, M.R.; Camps, N.; Minguell, S.; Alvarez, J.; Ferrús, G.; Torra, R.; Godoy, P.; Domínguez, A.; and the Hepatitis A Surveillance Group of Catalonia",Factors associated to duration of hepatitis A outbreaks: implications for control,PLoS ONE,,,,
Universitat de Barcelona,2012,"424,8", 10.1371/journal.pone.0051833,FALSE,"Peña-Gómez, C.; Solé-Padullés, C.; Clemente, I.C.; Junqué, J.; Bargalló, N.; Bosch, B.; Molinuevo, J.L.; Valls-Solé, J.; Pascual-Leone, A.; Bartrés-Faz, D.",APOE status modulates the changes in network connectivity induced by brain stimulation in non-demented elders.,PLoS ONE,,,,
Universitat de Barcelona,2012,1312,10.3390/s120100686,FALSE,"Otero, J.; Guerrero, H.; Gonzalez, L.; Puig-Vidal, M.",A Feedfordward Adaptive Controller to Reduce the Imaging Time of Large-Sized Biological Samples with a SPM-Based Multiprobe Station,Sensors,,,,
Universitat de Barcelona,2012,1312,10.3390/s120404803,FALSE,"Otero, J.; Gonzalez, L.; Puig-Vidal, M.;",Nanocharacterization of Soft Biological Samples in Shear Mode with Quartz Tuning Fork Probes,Sensors,,,,
Universitat de Barcelona,2012,"502,5",10.3390/md10081741,FALSE,"Núñez-Pons, L.; Carbone, M.; Vázquez, J.; Rodríguez, J.; Nieto, R.M.; Varela, M.M.; Gavagnin, M.; Avila, C.",Natural Products from Antarctic Colonial Ascidians of the Genera Aplidium and Synoicum : Variability and Defensive Role,Marine Drugs,,,,
Universitat de Barcelona,2012,440,10.1371/journal.pone.0043299,FALSE,"Guirola, M.; Perez-Rafael, S.; Capdevila, M.; Palacios, O.; Atrian, S.",Metal dealing at the origin of the Chordata phylum: The metallothionein system and metal overload response in Amphioxus.,PLoS ONE,,,,
Universitat de Barcelona,2012,"697,33",10.1038/srep00433,FALSE,"Irimia, M.; Royo JL; Burguera D; Maeso I; Gómez-Skarmeta, JL; García-Fernàndez, J",Comparative genomics of Hedgehog loci in chordates and the origin of Shh regulatory novelties,Scientific Reports,,,,
Universitat de Barcelona,2012,"596,67",10.1186/2041-9139-3-28,FALSE,Pascual-Anaya J; Adachi N; Álvarez S; Kuratani S; D'Aniello S; Garcia-Fernandez J.,Broken colinearity of the amphioxus Hox cluster.,EvoDevo ,,,,
Universitat de Barcelona,2012,982,10.1371/journal.pone.0031407,FALSE,"Frigola, D.; Casanellas, L.; Sancho J.M.; Ibañes, M.;",Asymmetric stochastic switching driven by intrinsic molecular noise,PLoS ONE,,,,
Universitat de Barcelona,2012,2000,10.1364/OE.20.012270,FALSE,"Farré, A.; Marsà, F. ; Montes-Usategui, M.",Optimized back-focal-plane interferometry directly measures forces of optically trapped particles,Optics Express,,,,
Universitat de Barcelona,2012,"682,5",10.1093/nar/gks911,FALSE,"Escaja, N.; Viladoms, J.; Garavís, M.; Villasante, A.; Pedroso, E.; González, C.",A minimal i-motif stabilized by minor groove G:T:G:T tetrads,Nucleic Acids Research,,,,
Universitat de Barcelona,2012,"1458,77", 10.3389/fendo.2012.00027,FALSE,"Alemany, M.",Do the interactions between glucocorticoids and sex hormones regulate the development of the metabolic syndrome?,Frontiers in Experimental Endocrinology,,,,
Universitat de Barcelona,2012,"657,33",NA,FALSE,"Arriarán, S.; Agnelli, S.; Fernández-López, J.A.; Remesar, X.; Alemany, M.",A radiochemical method for carbamoyl-phosphate synthetase I: application to rats fed a hyperproteic diet,Journal of Enzyme Research,http://www.bioinfopublication.org/viewhtml.php?artid=BIA0001176,Bioinfo Publications,0976-7657,cc by
Universitat de Barcelona,2012,"409,76",10.4021/jem116w,FALSE,"Alemany, M.","The metabolic syndrome, a multifaceted disease of affluence",Journal of Endocrinology and Metabolism,,,,
Universitat de Barcelona,2012,1040,10.1371/journal.pone.0051118,FALSE,"Vilà, L.; Roglans, N.; Baena, M.; Barroso, E.; Alegret, M.; Merlos, M.; Laguna, J.C.",Metabolic alterations and increased liver mTOR expression precede the development of autoimmune disease in a murine model of lupus erythematosus,PLoS ONE,,,,
Universitat de Barcelona,2012,655,10.2174/1876823701204010044,FALSE,"Rafecas, I.; Remesar, X.","Nitrogen metabolism in Zucker rats is affected by moderate reduction, but not by moderate incerase in dietary protein",Open Obesity Journal,,,,
Universitat de Barcelona,2012,655,10.1371/journal.pone.0026827,FALSE,"Santin M, Muñoz L, Rigau D ",Interferon-γ Release Assays for the Diagnosis of Tuberculosis and Tuberculosis Infection in HIV-Infected Adults: A Systematic Review and Meta-Analysis,PLoS ONE,,,,
Universitat de Barcelona,2012,682,10.1371/journal.pone.0033375,FALSE,"Laura Cardador, Martina Carrete, Santi Mañosa  ",Inter-individual Variability and Conspecific Densities: Consequences for Population Regulation and Range Expansion,PLoS ONE,,,,
Universitat de Barcelona,2012,"887,28",10.1371/journal.pone.0051928,FALSE,"Xavier Bosch, Cristina Hernández, Juan Manuel Pericas, Pamela Doti, Ana Marusic  ",Misconduct Policies in High-Impact Biomedical Journals,PLoS ONE,,,,
