institution,period,euro,DOI,is_hybrid,authors,Article title,Journal full title,url,publisher,issn,license
Universitat de Barcelona,2015,1545,http://dx.doi.org/10.1186/1472-6750-14-27 ,FALSE,"Cesarini, Silvia; Infanzón, Belén; Pastor, F. I. Javier; Díaz, Pilar",Fast and economic immobilization methods described for non-commercial Pseudomonas lipases,BMC Biotechnology,,,,
Universitat de Barcelona,2015,720,http://dx.doi.org/10.3389/fnins.2014.00343,FALSE,"Bueno, David; Parvas, Maryam; Hermelo, Ismaïl; Garcia-Fernàndez, Jordi",Embryonic Blood-Cerebrospinal Fluid 1 Barrier Formation and Function,Frontiers in Neuroscience,,,,
Universitat de Barcelona,2015,800,http://dx.doi.org/10.3389/fnhum.2014.00930,FALSE,"Fuentemilla, Lluís",Accessing forgotten memory traces from long-term memory via visual movements,Frontiers in Human Neuroscience,,,,
Universitat de Barcelona,2015,636,http://dx.doi.org/10.1186/s12862-014-0195-y,FALSE,"Planas, Enric; Saupe, Erin E.; Lima-Ribeiro, Matheus S.; Peterson, A. Townsend; Ribera, Carles","Ecological niche and phylogeography elucidate complex biogeographic patterns in Loxosceles rufescens (Araneae, Sicariidae) in the Mediterranean Basin",BMC Evolutionary Biology,,,,
Universitat de Barcelona,2015,"689,79",http://dx.doi.org/10.1371/journal.pone.0090995,FALSE,"Romero, María del Mar; Roy, Stéphanie; Pouillot, Karl; Feito, Marisol; Esteve, Montserrat; Grasa, María del Mar; Fernández-López, José-Antonio; Alemany, Marià; Remesar, Xavier","Treatment of rats with a self-selected hyperlipidic diet, increases the lipid content of the main adipose tissue sites in a proportion similar to that of the rest of body lipid stores",PLOS ONE,,,,
Universitat de Barcelona,2015,"975,74",http://dx.doi.org/10.1155/2014/959420,FALSE,"Sabater, David; Agnelli, Silvia; Arriarán, Sofía; Fernández-López, José-Antonio; Romero, María del Mar; Alemany, Marià; Remesar, Xavier",Altered Nitrogen Balance and Decreased Urea Excretion in Male Rats Fed Cafeteria Diet Are Related to Arginine Availability,BioMed Research International,,,,
Universitat de Barcelona,2015,"747,14",http://dx.doi.org/10.1038/srep03663,FALSE,"Sabater, David; Agnelli, Silvia; Arriarán, Sofía; Fernández-López, José-Antonio; Romero, María del Mar; Alemany, Marià; Remesar, Xavier",Cultured 3T3L1 adipocytes dispose of excess medium glucose as lactate under abundant oxygen availability,Scientific Reports,,,,
Universitat de Barcelona,2015,"1076,47",http://dx.doi.org/10.1371/journal.pone.0115078,FALSE,"Opatova, Vera; Arnedo, Miquel A.","Spiders on a hot volcanic roof: Colonisation pathways and phylogeography of the Canary Islands endemic trap-door spider Titanidiops canariensis (Araneae, Idiopidae)",PLOS ONE,,,,
Universitat de Barcelona,2015,"965,44",http://dx.doi.org/10.1186/s12918-014-0109-z,FALSE,"Miranda, Anibal; Selivanov, Vitaly A.; Centelles, Josep J.; Harmancey, Romain; Smih, Fatima; Turkieh, Annie; Durocher, Yves; Zorzano, Antonio; Rouet, Philippe; Cascante, Marta",13C metabolic flux analysis shows that resistin impairs the metabolic response to insulin in L6E9 myotubes,BMC Systems Biology,,,,
Universitat de Barcelona,2015,"649,98",http://dx.doi.org/10.1371/journal.pone.0110870,FALSE,"Torres-Atencio, Ivonne; Ainsua-Enrich, Erola; Mora, Fernando de; Picado, César; Martín, Margarita",Prostaglandin E2 Prevents Hyperosmolar-Induced Human Mast Cell Activation through Prostanoid Receptors EP2 and EP4,PLOS ONE,,,,
