institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;URL;;;
Universität Osnabrück;2017;1514,22;10.1371/journal.pone.0188186;FALSE;;;;;;;
Universität Osnabrück;2017;1437,47;10.5751/ES-09205-220206;FALSE;;;;;;;
Universität Osnabrück;2017;1166,23;10.3390/su9050808;FALSE;;;;;;;
Universität Osnabrück;2017;1367,35;10.1080/23311975.2017.1411066;FALSE;;;;;;;
Universität Osnabrück;2017;1552,95;10.1038/s41598-017-02526-1;FALSE;;;;;;;
Universität Osnabrück;2017;2496,50;10.1371/journal.ppat.1006418;FALSE;;;;;;;
Universität Osnabrück;2017;1707,17;10.1371/journal.pone.0170837;FALSE;;;;;;;
Universität Osnabrück;2017;792,50;10.1042/BSR20170867 ;FALSE;;;;;;;
Universität Osnabrück;2017;1830,52;10.1186/s12866-017-1100-9;FALSE;;;;;;;
Universität Osnabrück;2017;1921,59;10.3389/fpsyg.2017.01028;FALSE;;;;;;;
Universität Osnabrück;2017;654,50;10.1553/gw-unterricht148s5 ;FALSE;;;;;;;
Universität Osnabrück;2017;1841,39;10.1038/ncomms14034;FALSE;;;;;;;
Universität Osnabrück;2017;1148,12;10.3390/en10121944;FALSE;;;;;;;
Universität Osnabrück;2017;1830,52;10.1186/s13062-017-0198-x;FALSE;;;;;;;
Universität Osnabrück;2017;1830,52;10.1186/s13062-017-0196-z;FALSE;;;;;;;
Universität Osnabrück;2017;1552,95;10.1038/s41598-017-11465-w;FALSE;;;;;;;
Universität Osnabrück;2017;1552,95;10.1038/s41598-017-04757-8;FALSE;;;;;;;
Universität Osnabrück;2017;1960,03;10.3389/fnhum.2017.00150;FALSE;;;;;;;
Universität Osnabrück;2017;1508,17;10.3390/ijms18040702;FALSE;;;;;;;
Universität Osnabrück;2017;2008,63;10.3389/fnbot.2017.00005;FALSE;;;;;;;
Universität Osnabrück;2017;1841,39;10.1038/ncomms15976;FALSE;;;;;;;
Universität Osnabrück;2017;228,38;10.1107/S2056989017001505;FALSE;;;;;;;
Universität Osnabrück;2017;227,00;10.1107/S2056989017003206;FALSE;;;;;;;
Universität Osnabrück;2017;212,63;10.1107/S2056989017008866;FALSE;;;;;;;
Universität Osnabrück;2017;225,48;10.1107/S2056989017012464;FALSE;;;;;;;
Universität Osnabrück;2017;1966,86;10.3389/fnbeh.2017.00122;FALSE;;;;;;;
Universität Osnabrück;2017;547,40;10.16910/jemr.10.5.4;FALSE;;;;;;;
Universität Osnabrück;2017;416,50;;FALSE;Österreichische Geographische Gesellschaft;Mitteilungen der Österreichischen Geographischen Gesellschaft (MÖGG)";0029-9138;noch nicht erschienen;;;
Universität Osnabrück;2017;1552,95;10.1038/s41598-017-10598-2;FALSE;;;;;;;
Universität Osnabrück;2017;388,25;10.5539/sar.v6n2p66;FALSE;;;;;;;
Universität Osnabrück;2017;1830,52;10.1186/s40337-017-0174-y;FALSE;;;;;;;
Universität Osnabrück;2017;1501,95;10.1371/journal.pone.0191179;FALSE;;;;;;;
Universität Osnabrück;2017;1997,20;10.3389/fpsyg.2017.00669;FALSE;;;;;;;
Universität Osnabrück;2017;1139,75;10.3389/fpsyg.2017.01896;FALSE;;;;;;;
Universität Osnabrück;2017;529,74;10.1177/2041669516688026;FALSE;;;;;;;
Universität Osnabrück;2017;1249,5;10.1038/sdata.2016.126;FALSE;;;;;;;
Universität Osnabrück;2017;1888,53;10.1002/pld3.30;FALSE;;;;;;;
Universität Osnabrück;2017;1906,38;10.1186/s13007-017-0167-5;FALSE;;;;;;;
