pos;inst_name;journal_title;journal_issn;doi;url;acceptance_date;publication_date;par_netto;article_type;crossref_licenseurl;crossref_license;was_initial_optout
1;Universität Bielefeld;Somnologie;1439-054X;10.1007/s11818-024-00461-8;https://doi.org/10.1007/s11818-024-00461-8;16.03.2024;26.04.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
2;Universität Bielefeld;Somnologie;1439-054X;10.1007/s11818-024-00446-7;https://doi.org/10.1007/s11818-024-00446-7;06.01.2024;28.02.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
3;Universität Bielefeld;Mathematische Annalen;1432-1807;10.1007/s00208-024-03027-z;https://doi.org/10.1007/s00208-024-03027-z;11.10.2024;05.11.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
4;Universität Bielefeld;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;1437-1588;10.1007/s00103-024-03891-9;https://doi.org/10.1007/s00103-024-03891-9;06.05.2024;05.06.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
5;Universität Bielefeld;Letters in Mathematical Physics;1573-0530;10.1007/s11005-024-01847-3;https://doi.org/10.1007/s11005-024-01847-3;09.07.2024;30.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
6;Universität Bielefeld;Neue Politische Literatur;2197-6082;10.1007/s42520-024-00568-0;https://doi.org/10.1007/s42520-024-00568-0;21.03.2024;22.05.2024;2600.00;ReviewPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
7;Universität Bielefeld;HNO;1433-0458;10.1007/s00106-023-01398-4;https://doi.org/10.1007/s00106-023-01398-4;06.11.2023;05.01.2024;2600.00;BriefCommunication;https://creativecommons.org/licenses/by/4.0;CC BY;f
8;Universität Bielefeld;Journal of International Migration and Integration;1874-6365;10.1007/s12134-024-01190-5;https://doi.org/10.1007/s12134-024-01190-5;18.08.2024;03.09.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
9;Universität Bielefeld;Soziale Passagen;1867-0199;10.1007/s12592-024-00491-x;https://doi.org/10.1007/s12592-024-00491-x;03.01.2024;26.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
10;Universität Bielefeld;Soziale Passagen;1867-0199;10.1007/s12592-024-00492-w;https://doi.org/10.1007/s12592-024-00492-w;22.12.2023;26.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
11;Universität Bielefeld;Somnologie;1439-054X;10.1007/s11818-024-00491-2;https://doi.org/10.1007/s11818-024-00491-2;05.12.2024;17.12.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
12;Universität Bielefeld;Social Justice Research;1573-6725;10.1007/s11211-024-00441-1;https://doi.org/10.1007/s11211-024-00441-1;19.07.2024;17.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
13;Universität Bielefeld;Applied Mathematics & Optimization;1432-0606;10.1007/s00245-024-10194-7;https://doi.org/10.1007/s00245-024-10194-7;03.10.2024;30.10.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
14;Universität Bielefeld;Photochemical & Photobiological Sciences;1474-9092;10.1007/s43630-024-00670-y;https://doi.org/10.1007/s43630-024-00670-y;29.11.2024;30.12.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
15;Universität Bielefeld;Phenomenology and the Cognitive Sciences;1572-8676;10.1007/s11097-024-10003-0;https://doi.org/10.1007/s11097-024-10003-0;19.06.2024;17.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
16;Universität Bielefeld;Biology & Philosophy;1572-8404;10.1007/s10539-024-09944-2;https://doi.org/10.1007/s10539-024-09944-2;23.02.2024;16.03.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
17;Universität Bielefeld;Journal of Child and Family Studies;1573-2843;10.1007/s10826-024-02879-y;https://doi.org/10.1007/s10826-024-02879-y;16.06.2024;04.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
18;Universität Bielefeld;BioMetals;1572-8773;10.1007/s10534-024-00582-5;https://doi.org/10.1007/s10534-024-00582-5;04.01.2024;06.02.2024;2600.00;ReviewPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
19;Universität Bielefeld;Research in Number Theory;2363-9555;10.1007/s40993-024-00579-6;https://doi.org/10.1007/s40993-024-00579-6;22.10.2024;04.11.2024;2600.00;OriginalPaper;https://www.springernature.com/gp/researchers/text-and-data-mining;n.a.;t
20;Universität Bielefeld;Informatik Spektrum;1432-122X;10.1007/s00287-024-01586-8;https://doi.org/10.1007/s00287-024-01586-8;18.10.2024;04.12.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
21;Universität Bielefeld;Archives of Orthopaedic and Trauma Surgery;1434-3916;10.1007/s00402-024-05348-9;https://doi.org/10.1007/s00402-024-05348-9;16.04.2024;04.05.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
22;Universität Bielefeld;Operations Research Forum;2662-2556;10.1007/s43069-024-00327-7;https://doi.org/10.1007/s43069-024-00327-7;30.04.2024;30.05.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
23;Universität Bielefeld;Machine Intelligence Research;2731-5398;10.1007/s11633-023-1459-z;https://doi.org/10.1007/s11633-023-1459-z;;15.01.2024;2600.00;ReviewPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
24;Universität Bielefeld;Natur und Recht;1439-0515;10.1007/s10357-024-4306-2;https://doi.org/10.1007/s10357-024-4306-2;;14.02.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
25;Universität Bielefeld;KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie;1861-891X;10.1007/s11577-024-00975-x;https://doi.org/10.1007/s11577-024-00975-x;22.10.2024;28.11.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
26;Universität Bielefeld;Prävention und Gesundheitsförderung;1861-6763;10.1007/s11553-024-01112-4;https://doi.org/10.1007/s11553-024-01112-4;08.03.2024;16.04.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
27;Universität Bielefeld;Archives of Toxicology;1432-0738;10.1007/s00204-023-03677-z;https://doi.org/10.1007/s00204-023-03677-z;20.12.2023;30.01.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
28;Universität Bielefeld;Somnologie;1439-054X;10.1007/s11818-024-00462-7;https://doi.org/10.1007/s11818-024-00462-7;16.03.2024;24.06.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
29;Universität Bielefeld;Journal of Mathematical Biology;1432-1416;10.1007/s00285-024-02112-w;https://doi.org/10.1007/s00285-024-02112-w;24.05.2024;02.07.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
30;Universität Bielefeld;Journal für Mathematik-Didaktik;1869-2699;10.1007/s13138-024-00245-5;https://doi.org/10.1007/s13138-024-00245-5;23.08.2024;27.09.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
31;Universität Bielefeld;German Journal of Exercise and Sport Research;2509-3150;10.1007/s12662-024-00973-3;https://doi.org/10.1007/s12662-024-00973-3;21.06.2024;30.07.2024;2600.00;OriginalPaper;https://www.springernature.com/gp/researchers/text-and-data-mining;n.a.;t
32;Universität Bielefeld;Journal of Theoretical Probability;1572-9230;10.1007/s10959-024-01398-2;https://doi.org/10.1007/s10959-024-01398-2;11.12.2024;28.12.2024;2600.00;OriginalPaper;https://www.springernature.com/gp/researchers/text-and-data-mining;n.a.;t
33;Universität Bielefeld;Israel Journal of Mathematics;1565-8511;10.1007/s11856-024-2646-5;https://doi.org/10.1007/s11856-024-2646-5;11.09.2022;04.08.2024;2600.00;OriginalPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
34;Universität Bielefeld;BIOspektrum;1868-6249;10.1007/s12268-024-2110-4;https://doi.org/10.1007/s12268-024-2110-4;;15.02.2024;2600.00;ReviewPaper;https://creativecommons.org/licenses/by/4.0;CC BY;f
