"Period","doi","publisher","journal","ISSN.1","ISSN.2","EURO","repo.id","base.url"
2014,"10.1016/j.scr.2014.04.017","Elsevier BV","Stem Cell Research","1873-5061","NA","1586.09",2678057,"http://pub.uni-bielefeld.de"
2014,"10.1038/srep05304","Nature Publishing Group","Scientific Reports","2045-2322","NA","1244.74",2681893,"http://pub.uni-bielefeld.de"
2014,"10.1088/1367-2630/16/2/023003","IOP Publishing","New J. Phys.","1367-2630","NA","785.4",2665189,"http://pub.uni-bielefeld.de"
2014,"10.1088/1367-2630/16/3/033019","IOP Publishing","New J. Phys.","1367-2630","NA","1570.8",2665197,"http://pub.uni-bielefeld.de"
2014,"10.1103/PhysRevX.3.041020","American Physical Society (APS)","Phys. Rev. X","2160-3308","NA",1087,2641830,"http://pub.uni-bielefeld.de"
2014,"10.1136/bmjopen-2014-006145","BMJ","BMJ Open","2044-6055","NA","1130.5",2695697,"http://pub.uni-bielefeld.de"
2014,"10.1167/14.13.22","Association for Research in Vision and Ophthalmology (ARVO)","Journal of Vision","1534-7362","NA",1005,2696880,"http://pub.uni-bielefeld.de"
2014,"10.1167/14.3.4","Association for Research in Vision and Ophthalmology (ARVO)","Journal of Vision","1534-7362","NA","1785.18",2611072,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2164-15-1117","Springer Science + Business Media","BMC Genomics","1471-2164","NA",1280,2713717,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2164-15-320","Springer Science + Business Media","BMC Genomics","1471-2164","NA",1276,2681784,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2164-15-764","Springer Science + Business Media","BMC Genomics","1471-2164","NA",1272,2699503,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2164-15-S6-S2","Springer Science + Business Media","BMC Genomics","1471-2164","NA","1307.94",2687033,"http://pub.uni-bielefeld.de"
2014,"10.1186/1471-2180-14-54","Springer Science + Business Media","BMC Microbiol","1471-2180","NA",1240,2659778,"http://pub.uni-bielefeld.de"
