pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Universität Bielefeld;Discrete & Computational Geometry;1432-0444;10.1007/s00454-022-00387-8;https://doi.org/10.1007/s00454-022-00387-8;11.05.2022;03.12.2021;2750;originalpaper;Research Article;optin
2;Universität Bielefeld;Philosophical Studies;1573-0883;10.1007/s11098-022-01850-1;https://doi.org/10.1007/s11098-022-01850-1;25.08.2022;30.05.2022;2750;originalpaper;Research Article;optin
3;Universität Bielefeld;KI - Künstliche Intelligenz;1610-1987;10.1007/s13218-022-00773-7;https://doi.org/10.1007/s13218-022-00773-7;09.09.2022;03.08.2022;917;editorialnotes;Non Research Article;optout
4;Universität Bielefeld;Herzschrittmachertherapie + Elektrophysiologie;1435-1544;10.1007/s00399-022-00872-w;https://doi.org/10.1007/s00399-022-00872-w;28.06.2022;30.05.2022;2750;reviewpaper;Research Article;optin
5;Universität Bielefeld;Numerische Mathematik;0945-3245;10.1007/s00211-022-01343-7;https://doi.org/10.1007/s00211-022-01343-7;31.12.2022;11.12.2022;2750;originalpaper;Research Article;optin
6;Universität Bielefeld;Positivity;1572-9281;10.1007/s11117-022-00930-0;https://doi.org/10.1007/s11117-022-00930-0;26.07.2022;27.06.2022;2750;originalpaper;Research Article;optin
7;Universität Bielefeld;Applied Categorical Structures;1572-9095;10.1007/s10485-022-09707-8;https://doi.org/10.1007/s10485-022-09707-8;27.12.2022;28.10.2022;2750;originalpaper;Research Article;optout
8;Universität Bielefeld;Algebras and Representation Theory;1572-9079;10.1007/s10468-022-10120-x;https://doi.org/10.1007/s10468-022-10120-x;24.03.2022;23.01.2022;2750;originalpaper;Research Article;optin
9;Universität Bielefeld;Journal of Evolution Equations;1424-3202;10.1007/s00028-022-00807-5;https://doi.org/10.1007/s00028-022-00807-5;06.06.2022;21.04.2022;2750;originalpaper;Research Article;optin
10;Universität Bielefeld;Empirical Economics;1435-8921;10.1007/s00181-022-02284-8;https://doi.org/10.1007/s00181-022-02284-8;12.08.2022;11.07.2022;2750;originalpaper;Research Article;optin
11;Universität Bielefeld;Cognitive Processing;1612-4790;10.1007/s10339-022-01078-1;https://doi.org/10.1007/s10339-022-01078-1;28.02.2022;25.01.2022;2750;originalpaper;Research Article;optin
12;Universität Bielefeld;Behavior Research Methods;1554-3528;10.3758/s13428-022-01902-8;https://doi.org/10.3758/s13428-022-01902-8;24.08.2022;03.06.2022;2750;originalpaper;Research Article;optin
