pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;initial_opt-out
1;Universität Bielefeld;Calculus of Variations and Partial Differential Equations;1432-0835;10.1007/s00526-023-02616-1;https://doi.org/10.1007/s00526-023-02616-1;05.12.2023;02.11.2023;2750;originalpaper;optin
2;Universität Bielefeld;Research in Number Theory;2363-9555;10.1007/s40993-023-00455-9;https://doi.org/10.1007/s40993-023-00455-9;12.06.2023;25.05.2023;2750;originalpaper;optin
3;Universität Bielefeld;European Journal of Psychology of Education;1878-5174;10.1007/s10212-023-00699-0;https://doi.org/10.1007/s10212-023-00699-0;06.05.2023;21.04.2023;2750;originalpaper;optin
4;Universität Bielefeld;Journal of Evolution Equations;1424-3202;10.1007/s00028-023-00926-7;https://doi.org/10.1007/s00028-023-00926-7;09.11.2023;16.10.2023;2750;originalpaper;optin
5;Universität Bielefeld;Inventiones Mathematicae;1432-1297;10.1007/s00222-023-01234-0;https://doi.org/10.1007/s00222-023-01234-0;21.12.2023;15.12.2023;2750;originalpaper;optin
6;Universität Bielefeld;Mathematische Annalen;1432-1807;10.1007/s00208-023-02703-w;https://doi.org/10.1007/s00208-023-02703-w;29.08.2023;01.08.2023;2750;originalpaper;optin
7;Universität Bielefeld;The Journal of Geometric Analysis;1559-002X;10.1007/s12220-022-01167-9;https://doi.org/10.1007/s12220-022-01167-9;28.02.2023;04.12.2022;2750;originalpaper;optin
8;Universität Bielefeld;Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO);2366-6218;10.1007/s11612-023-00699-0;https://doi.org/10.1007/s11612-023-00699-0;10.08.2023;03.07.2023;2750;originalpaper;optin
9;Universität Bielefeld;Zeitschrift für Bildungsforschung;2190-6904;10.1007/s35834-023-00401-w;https://doi.org/10.1007/s35834-023-00401-w;12.10.2023;12.09.2023;2750;originalpaper;optin
10;Universität Bielefeld;Zeitschrift für Außen- und Sicherheitspolitik;1866-2196;10.1007/s12399-023-00945-9;https://doi.org/10.1007/s12399-023-00945-9;12.04.2023;22.03.2023;917;report;optin
11;Universität Bielefeld;Sozial Extra;1863-8953;10.1007/s12054-023-00627-y;https://doi.org/10.1007/s12054-023-00627-y;07.11.2023;23.06.2023;2750;originalpaper;optin
12;Universität Bielefeld;Journal of Scheduling;1099-1425;10.1007/s10951-023-00789-3;https://doi.org/10.1007/s10951-023-00789-3;22.07.2023;07.06.2023;2750;originalpaper;optin
13;Universität Bielefeld;Colloid and Polymer Science;1435-1536;10.1007/s00396-023-05104-2;https://doi.org/10.1007/s00396-023-05104-2;24.04.2023;29.03.2023;2750;originalpaper;optin
14;Universität Bielefeld;Colloid and Polymer Science;1435-1536;10.1007/s00396-023-05168-0;https://doi.org/10.1007/s00396-023-05168-0;25.09.2023;31.08.2023;2750;originalpaper;optin
15;Universität Bielefeld;Mathematische Semesterberichte;1432-1815;10.1007/s00591-023-00345-2;https://doi.org/10.1007/s00591-023-00345-2;13.03.2023;20.02.2023;917;bookreview;optin
16;Universität Bielefeld;Research in the Mathematical Sciences;2197-9847;10.1007/s40687-023-00398-8;https://doi.org/10.1007/s40687-023-00398-8;25.07.2023;07.07.2023;2750;originalpaper;optin
17;Universität Bielefeld;Neuropsychiatrie;2194-1327;10.1007/s40211-023-00464-1;https://doi.org/10.1007/s40211-023-00464-1;21.04.2023;03.03.2023;2750;originalpaper;optin
18;Universität Bielefeld;Discrete & Computational Geometry;1432-0444;10.1007/s00454-023-00557-2;https://doi.org/10.1007/s00454-023-00557-2;07.11.2023;25.03.2023;2750;originalpaper;optin
19;Universität Bielefeld;Journal of Interventional Cardiac Electrophysiology;1572-8595;10.1007/s10840-023-01680-z;https://doi.org/10.1007/s10840-023-01680-z;12.12.2023;23.10.2023;2750;originalpaper;optin
20;Universität Bielefeld;Zeitschrift für Didaktik der Naturwissenschaften;2197-988X;10.1007/s40573-023-00153-0;https://doi.org/10.1007/s40573-023-00153-0;03.03.2023;09.02.2023;2750;originalpaper;optin
21;Universität Bielefeld;Zeitschrift für Allgemeinmedizin;1439-9229;10.1007/s44266-023-00096-2;https://doi.org/10.1007/s44266-023-00096-2;09.08.2023;20.06.2023;2750;originalpaper;optin
22;Universität Bielefeld;Berliner Journal für Soziologie;1862-2593;10.1007/s11609-023-00506-z;https://doi.org/10.1007/s11609-023-00506-z;10.11.2023;02.11.2023;2750;originalpaper;optin
23;Universität Bielefeld;Zeitschrift für Allgemeinmedizin;1439-9229;10.1007/s44266-023-00095-3;https://doi.org/10.1007/s44266-023-00095-3;14.08.2023;20.06.2023;2750;originalpaper;optin
24;Universität Bielefeld;KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie;1861-891X;10.1007/s11577-023-00885-4;https://doi.org/10.1007/s11577-023-00885-4;11.05.2023;07.03.2023;2750;originalpaper;optin
25;Universität Bielefeld;Zeitschrift für Religion, Gesellschaft und Politik;2510-1226;10.1007/s41682-023-00161-4;https://doi.org/10.1007/s41682-023-00161-4;24.07.2023;19.06.2023;2750;originalpaper;optin
26;Universität Bielefeld;BioMetals;1572-8773;10.1007/s10534-023-00550-5;https://doi.org/10.1007/s10534-023-00550-5;24.10.2023;05.10.2023;2750;originalpaper;optin
27;Universität Bielefeld;SN Business & Economics;2662-9399;10.1007/s43546-023-00445-0;https://doi.org/10.1007/s43546-023-00445-0;10.02.2023;26.01.2023;2750;originalpaper;optin
28;Universität Bielefeld;Deutsche Vierteljahrsschrift für Literaturwissenschaft und Geistesgeschichte;2365-9521;10.1007/s41245-023-00215-8;https://doi.org/10.1007/s41245-023-00215-8;15.11.2023;24.10.2023;2750;originalpaper;optin
29;Universität Bielefeld;Herzschrittmachertherapie + Elektrophysiologie;1435-1544;10.1007/s00399-023-00947-2;https://doi.org/10.1007/s00399-023-00947-2;28.06.2023;17.05.2023;2750;originalpaper;optin
31;Universität Bielefeld;Journal of Statistical Theory and Practice;1559-8616;10.1007/s42519-023-00342-7;https://doi.org/10.1007/s42519-023-00342-7;01.09.2023;14.08.2023;2750;originalpaper;optin
32;Universität Bielefeld;Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz;1437-1588;10.1007/s00103-023-03737-w;https://doi.org/10.1007/s00103-023-03737-w;20.07.2023;14.06.2023;2750;originalpaper;optin
33;Universität Bielefeld;Applied Microbiology and Biotechnology;1432-0614;10.1007/s00253-023-12592-3;https://doi.org/10.1007/s00253-023-12592-3;29.05.2023;12.05.2023;2750;originalpaper;optin
34;Universität Bielefeld;Zeitschrift für Bildungsforschung;2190-6904;10.1007/s35834-023-00382-w;https://doi.org/10.1007/s35834-023-00382-w;20.04.2023;13.03.2023;2750;originalpaper;optin
35;Universität Bielefeld;Archive for Rational Mechanics and Analysis;1432-0673;10.1007/s00205-023-01932-2;https://doi.org/10.1007/s00205-023-01932-2;27.09.2023;05.09.2023;2750;originalpaper;optin
36;Universität Bielefeld;German Journal of Exercise and Sport Research;2509-3150;10.1007/s12662-023-00911-9;https://doi.org/10.1007/s12662-023-00911-9;08.09.2023;07.08.2023;2750;originalpaper;optin
37;Universität Bielefeld;Stochastics and Partial Differential Equations: Analysis and Computations;2194-041X;10.1007/s40072-023-00318-5;https://doi.org/10.1007/s40072-023-00318-5;30.10.2023;04.10.2023;2750;originalpaper;optin
38;Universität Bielefeld;Probability Theory and Related Fields;1432-2064;10.1007/s00440-023-01233-5;https://doi.org/10.1007/s00440-023-01233-5;03.10.2023;05.09.2023;2750;originalpaper;optin
39;Universität Bielefeld;BioSpektrum;1868-6249;10.1007/s12268-023-1937-4;https://doi.org/10.1007/s12268-023-1937-4;31.05.2023;;2750;reviewpaper;optin
40;Universität Bielefeld;Theoretical and Applied Genetics;1432-2242;10.1007/s00122-023-04407-w;https://doi.org/10.1007/s00122-023-04407-w;13.07.2023;22.06.2023;2750;originalpaper;optin
41;Universität Bielefeld;Systems Microbiology and Biomanufacturing;2662-7663;10.1007/s43393-023-00223-x;https://doi.org/10.1007/s43393-023-00223-x;21.12.2023;10.11.2023;2750;reviewpaper;optin
42;Universität Bielefeld;Memory & Cognition;1532-5946;10.3758/s13421-022-01387-y;https://doi.org/10.3758/s13421-022-01387-y;09.01.2023;19.12.2022;2750;originalpaper;optin
43;Universität Bielefeld;Metabolomics;1573-3890;10.1007/s11306-023-02026-6;https://doi.org/10.1007/s11306-023-02026-6;23.06.2023;09.06.2023;2750;originalpaper;optin
44;Universität Bielefeld;Numerische Mathematik;0945-3245;10.1007/s00211-023-01373-9;https://doi.org/10.1007/s00211-023-01373-9;11.09.2023;21.08.2023;2750;originalpaper;optin
