institution;apc;doi;currency;period;is_hybrid
Consejo Superior de Investigaciones Cientificas (CSIC);1023;10.5194/hess-28-229-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1860;10.5194/egusphere-2023-178;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1600;10.5194/gmd-17-1217-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2139;10.5194/se-15-281-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1600;10.5194/cp-20-467-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1232;10.5194/egusphere-2023-2403;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2232;10.5194/egusphere-2023-2449;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1023;10.5194/tc-18-2195-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1600;10.5194/gmd-17-4401-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1674;10.5194/acp-24-6305-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2604;10.5194/acp-24-6883-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1395;10.5194/egusphere-2024-119;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2046;10.5194/acp-24-9155-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1463;10.5194/acp-24-10225-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1386;10.5194/tc-18-4215-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1600;10.5194/os-20-1291-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2139;10.5194/acp-24-12031-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);144;10.5194/adgeo-64-41-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1023;10.5194/se-15-1407-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);1400;10.5194/essd-16-5643-2024;EUR;01/01/2024;FALSE
Consejo Superior de Investigaciones Cientificas (CSIC);2697;10.5194/se-15-1479-2024;EUR;01/01/2024;FALSE
