"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id","APC","Colour charges","Cover","Hybrid-OA","Other","Page charges","Permission","Publication charges","Reprint","Submission fee","identifier"
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2015","2821.94","10.1021/am507727f",TRUE,"Soc.","ACS applied materials & interfaces","1944-8252","CCBY4",NA,"oai:bib-pubdb1.desy.de:207699","PUBDB-2015-01429","","","","2821.94","","","","","","","oai:bib-pubdb1.desy.de:207699"
"desy","2015","1262.90","10.1103/physrevx.5.011015",FALSE,"APS","Physical review / X","2160-3308","CCBY3",NA,"oai:bib-pubdb1.desy.de:207840","PUBDB-2015-01452","1262.90","","","","","","","","","","oai:bib-pubdb1.desy.de:207840"
"desy","2015","1262.39","10.1364/ome.5.000748",FALSE,"OSA","Optical Materials Express","2159-3930","PublisherOA",NA,"oai:bib-pubdb1.desy.de:208134","PUBDB-2015-01587","1262.39","","","","32.73","","","","","","oai:bib-pubdb1.desy.de:208134"
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2015","922.59","10.1107/s1600577515005937",TRUE,"IUCr","Journal of synchrotron radiation","1600-5775","CCBYNV",NA,"oai:bib-pubdb1.desy.de:220667","PUBDB-2015-02327","","","","922.59","","","","","","","oai:bib-pubdb1.desy.de:220667"
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2015","898.80","10.1107/s1600577515005524",TRUE,"IUCr","Journal of synchrotron radiation","1600-5775","CCBYNV",NA,"oai:bib-pubdb1.desy.de:221210","PUBDB-2015-02555","","","","898.80","","","","","","","oai:bib-pubdb1.desy.de:221210"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2016","1737.16","10.1364/oe.24.006507",FALSE,NA,"Optics express","1094-4087",NA,NA,"oai:bib-pubdb1.desy.de:292665","PUBDB-2015-06272","1737.16","","","","","","","","","","oai:bib-pubdb1.desy.de:292665"
"desy","2015","1165.00","10.1038/srep18068",FALSE,"Nature Publishing Group","Scientific reports","2045-2322","CCBY4",NA,"oai:bib-pubdb1.desy.de:292834","PUBDB-2016-00081","1165.00","","","","","","","","","","oai:bib-pubdb1.desy.de:292834"
"desy","2015","2821.94","10.1021/acsami.5b02901",TRUE,"Soc.","ACS applied materials & interfaces","1944-8252","CCBY4",NA,"oai:bib-pubdb1.desy.de:292942","PUBDB-2016-00172","","","","2821.94","","","","","","","oai:bib-pubdb1.desy.de:292942"
"desy","2016","918.44","10.1107/s1600577515022997",TRUE,"IUCr","Journal of synchrotron radiation","1600-5775",NA,NA,"oai:bib-pubdb1.desy.de:293400","PUBDB-2016-00505","","","","918.44","","","","","","","oai:bib-pubdb1.desy.de:293400"
"desy","2016","918.44","10.1107/s1600577515023127",TRUE,"IUCr","Journal of synchrotron radiation","1600-5775",NA,NA,"oai:bib-pubdb1.desy.de:293401","PUBDB-2016-00506","","","","918.44","","","","","","","oai:bib-pubdb1.desy.de:293401"
"desy","2016","914.66","10.1107/s1600577515022675",TRUE,"IUCr","Journal of synchrotron radiation","1600-5775",NA,NA,"oai:bib-pubdb1.desy.de:293402","PUBDB-2016-00507","","","","914.66","","","","","","","oai:bib-pubdb1.desy.de:293402"
"desy","2015","1051.53","10.1107/s2052252514024269",FALSE,"International Union of Crystallography (IUCr)","IUCrJ","2052-2525","CCBY2",NA,"oai:bib-pubdb1.desy.de:293588","PUBDB-2016-00651","1051.53","","","","","","","","","","oai:bib-pubdb1.desy.de:293588"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2016","1165.00","10.1038/srep22767",FALSE,"Nature Publishing Group","Scientific reports","2045-2322","CCBY4",NA,"oai:bib-pubdb1.desy.de:296137","PUBDB-2016-01313","1165.00","","","","","","","","","","oai:bib-pubdb1.desy.de:296137"
"desy","2016","1963","10.1016/j.nima.2016.02.080",TRUE,"North-Holland Publ. Co.","Nuclear instruments & methods in physics research / A","0168-9002","CCBYNCND4",NA,"oai:bib-pubdb1.desy.de:296138","PUBDB-2016-01314","","1960.00","","1963","","","","","","","oai:bib-pubdb1.desy.de:296138"
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2016","1950","10.1088/2040-8978/18/6/064007",TRUE,"IOP Publ.","Journal of optics","2040-8986","CCBY3",NA,"oai:bib-pubdb1.desy.de:299376","PUBDB-2016-01958","","","","1950","","","","","","","oai:bib-pubdb1.desy.de:299376"
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2016","529.47","10.1107/s1600576716007469",TRUE,"Munksgaard","Journal of applied crystallography","1600-5767","CCBY2",NA,"oai:bib-pubdb1.desy.de:301197","PUBDB-2016-02601","","","","529.47","","","","","","","oai:bib-pubdb1.desy.de:301197"
"desy","2016","1997.64","10.1063/1.4958887",FALSE,"AIP Publishing LLC","Structural dynamics","2329-7778","CCBY4",NA,"oai:bib-pubdb1.desy.de:301276","PUBDB-2016-02618","1997.64","","","","","","","","","","oai:bib-pubdb1.desy.de:301276"
"desy","2016","1234.95","10.1364/optica.3.000816",FALSE,"OSA","Optica","2334-2536","PublisherOA",NA,"oai:bib-pubdb1.desy.de:301439","PUBDB-2016-02671","1234.95","","","","","","","","","","oai:bib-pubdb1.desy.de:301439"
"desy","2016","1753.16","10.1364/oe.24.015328",FALSE,"Soc.","Optics express","1094-4087",NA,NA,"oai:bib-pubdb1.desy.de:301451","PUBDB-2016-02673","1753.16","","","","","","","","","","oai:bib-pubdb1.desy.de:301451"
"desy","2016","1548.54","10.1088/1367-2630/18/7/073009",FALSE,"Dt. Physikalische Ges.","New journal of physics","1367-2630","CCBY3",NA,"oai:bib-pubdb1.desy.de:301452","PUBDB-2016-02674","1548.54","","","","","","","","","","oai:bib-pubdb1.desy.de:301452"
"desy","2016","895.42","10.1107/s1600576716006348",TRUE,"Munksgaard","Journal of applied crystallography","0021-8898","CCBY4",NA,"oai:bib-pubdb1.desy.de:301470","PUBDB-2016-02690","","","","895.42","","","","","","","oai:bib-pubdb1.desy.de:301470"
"desy","2016","1945.87","10.1063/1.4960389",FALSE,"AIP Publ.","APL materials","2166-532X","CCBY4",NA,"oai:bib-pubdb1.desy.de:301701","PUBDB-2016-02803","1945.87","","","","","","","","","","oai:bib-pubdb1.desy.de:301701"
"desy","2016","1166.20","10.1088/1367-2630/18/6/062002",FALSE,"IOP Publ.","New journal of physics","1367-2630",NA,NA,"oai:bib-pubdb1.desy.de:301853","PUBDB-2016-02922","1166.20","","","","","","","","","","oai:bib-pubdb1.desy.de:301853"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2016","1976.86","10.1088/0953-4075/49/16/165003",TRUE,"IOP Publ.","Journal of physics / B","0022-3700","CCBY3",NA,"oai:bib-pubdb1.desy.de:307594","PUBDB-2016-03305","","","","1976.86","","","","","","","oai:bib-pubdb1.desy.de:307594"
"desy","2016","532.72","10.1107/s1600576716004751",TRUE,"Munksgaard","Journal of applied crystallography","1600-5767","CCBY2",NA,"oai:bib-pubdb1.desy.de:307795","PUBDB-2016-03375","","","","532.72","","","","","","","oai:bib-pubdb1.desy.de:307795"
"desy","2016","1728.73","10.1364/oe.24.021059",FALSE,"Soc.","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:307887","PUBDB-2016-03391","1728.73","","","","","","","","","","oai:bib-pubdb1.desy.de:307887"
"desy","2016","735.56","10.3390/app6090238",FALSE,"MDPI","Applied Sciences","2076-3417","CCBY4",NA,"oai:bib-pubdb1.desy.de:307891","PUBDB-2016-03395","735.56","","","","","","","","","","oai:bib-pubdb1.desy.de:307891"
"desy","2016","5000.00","10.1002/adfm.201603191",TRUE,"Wiley-VCH","Advanced functional materials","1057-9257","CCBYNC4",NA,"oai:bib-pubdb1.desy.de:308211","PUBDB-2016-03556","","1495.00","","5000.00","","","","","","","oai:bib-pubdb1.desy.de:308211"
"desy","2016","1712.11","10.1364/oe.24.021752",FALSE,"Soc.","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:308306","PUBDB-2016-03597","1712.11","","","","","","","","","","oai:bib-pubdb1.desy.de:308306"
"desy","2016","1069.39","10.4236/jmp.2016.79088",FALSE,"Scientific Research Publ.","Journal of modern physics","2153-120X","CCBY4",NA,"oai:bib-pubdb1.desy.de:310565","PUBDB-2016-04302","1069.39","","","","","","","","","","oai:bib-pubdb1.desy.de:310565"
"desy","2016","1755.54","10.1364/oe.24.025169",FALSE,"Soc.","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:310629","PUBDB-2016-04335","1755.54","","","","","","","","","","oai:bib-pubdb1.desy.de:310629"
"desy","2016","1771.04","10.1364/oe.24.025582",FALSE,"Soc.","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:310703","PUBDB-2016-04378","1771.04","","","","","1483.36","","","","","oai:bib-pubdb1.desy.de:310703"
"desy","2016","912.37","10.1364/optica.3.001209",FALSE,"OSA","Optica","2334-2536",NA,NA,"oai:bib-pubdb1.desy.de:310785","PUBDB-2016-04408","912.37","","","","","","","","","","oai:bib-pubdb1.desy.de:310785"
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2016","3700.00","10.1038/ncomms10964",FALSE,"Nature Publishing Group","Nature Communications","2041-1723","CCBY4",NA,"oai:bib-pubdb1.desy.de:311800","PUBDB-2016-05108","3700.00","","","","","","","","","","oai:bib-pubdb1.desy.de:311800"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2016","1826.40","10.1364/oe.24.029237",FALSE,"Soc.","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:315734","PUBDB-2016-06059","1826.40","","","","","","","","","","oai:bib-pubdb1.desy.de:315734"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2016","1156.54","10.1088/1367-2630/18/11/113055",FALSE,"Dt. Physikalische Ges.","New journal of physics","1367-2630","CCBY3",NA,"oai:bib-pubdb1.desy.de:316428","PUBDB-2016-06614","1156.54","","","","","","","","","","oai:bib-pubdb1.desy.de:316428"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2017","3300","10.1038/lsa.2016.187",FALSE,"Nature Publishing Group","Light","2047-7538","CCBY4",NA,"oai:bib-pubdb1.desy.de:317221","PUBDB-2017-00547","3300","","","","","","","","","","oai:bib-pubdb1.desy.de:317221"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2017","1774.90","10.1364/oe.25.003052",FALSE,"OSA","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:317632","PUBDB-2017-00816","1774.90","","","","17.75","","","","","","oai:bib-pubdb1.desy.de:317632"
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2017","378.32","10.1080/15421406.2017.1289582",TRUE,"Taylor & Francis","Molecular crystals and liquid crystals","0026-8941","CCBYNCND4",NA,"oai:bib-pubdb1.desy.de:317840","PUBDB-2017-00925","","","","378.32","","","","","","","oai:bib-pubdb1.desy.de:317840"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"desy","2017","1822.81","10.1364/oe.25.006822",FALSE,"OSA","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:318762","PUBDB-2017-01377","1822.81","","","","","","","","","","oai:bib-pubdb1.desy.de:318762"
"desy","2017","1305.00","10.1038/srep44628",FALSE,"Springer Nature","Scientific reports","2045-2322","CCBY4",NA,"oai:bib-pubdb1.desy.de:318779","PUBDB-2017-01394","1305.00","","","","","","","","","","oai:bib-pubdb1.desy.de:318779"
"desy","2017","1170.00","10.1088/1367-2630/aa652d",FALSE,"IOP Publ.","New journal of physics","1367-2630","CCBY3",NA,"oai:bib-pubdb1.desy.de:320295","PUBDB-2017-01661","1170.00","","","","","","","","","","oai:bib-pubdb1.desy.de:320295"
"desy","2017","1883.95","10.1039/c7sm00343a",TRUE,"Royal Soc. of Chemistry","Soft matter","1744-683X","CCBY3",NA,"oai:bib-pubdb1.desy.de:320400","PUBDB-2017-01684","","","","1883.95","","","","","","","oai:bib-pubdb1.desy.de:320400"
"desy","2017","1170","10.1088/1367-2630/aa660a",FALSE,"IOP Publ.","New journal of physics","1367-2630","CCBY3",NA,"oai:bib-pubdb1.desy.de:320478","PUBDB-2017-01762","1170","","","","","","","","","","oai:bib-pubdb1.desy.de:320478"
"desy","2017","1745.99","10.1364/oe.25.010984",FALSE,"OSA","Optics express","1094-4087","PublisherOA",NA,"oai:bib-pubdb1.desy.de:320931","PUBDB-2017-02205","1745.99","","","","17.46","","","","","","oai:bib-pubdb1.desy.de:320931"
"","","","","","","","","","","","","","","","","","","","","","",""
