"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Universität Zürich","2021","6981.90","10.34313/978-3-290-18458-2","FALSE","Theologischer Verlag Zürich","Seelsorge bei assistiertem Suizid Ethik. Praktische Theologie und kirchliche Praxis","978-3-290-18457-5","NA","NA","CC BY-NC-ND 4.0","FALSE","FALSE"
"Universität Zürich","2021","6970.03","10.4324/9781003169086","FALSE","Routledge","On the Significance of Religion in Violence Against Women and Girls","9781003169086","NA","NA","CC BY-NC-ND 4.0","TRUE","TRUE"
"Universität Zürich","2021","11765.66","10.24894/978-3-7965-4432-3","FALSE","Schwabe","Qualität der Medien. Schweiz – Suisse – Svizzera. Jahrbuch 2021","978-3-7965-4431-6","NA","NA","CC BY-NC-ND 4.0","TRUE","FALSE"
"Universität Zürich","2021","1963.83","10.36862/eiz-367","FALSE","EIZ-Publishing","Begegnungen - Beiträge von Assistierenden zum 50. Geburtstag von Thomas Gächter","9783038053675","NA","NA","CC BY-NC-ND 4.0","TRUE","FALSE"
"Universität Zürich","2021","912.37","10.34313/978-3-290-18389-9","FALSE","TVZ","Seelsorgedokumentation in digitalen Patientendossiers. Rechtswissenschaftliche und theologische Erkundungen","978-3-290-18388-2","NA","NA","CC BY-NC-ND 4.0","TRUE","FALSE"
"Universität Zürich","2021","2562.29","10.1628/978-3-16-160101-9","FALSE","Mohr Siebeck","Ehre : Interdisziplinäre Zugänge zu einem prekären Phänomen","978-3-16-160101-9","NA","NA","CC BY-NC-ND 4.0","TRUE","FALSE"
"Universität Zürich","2021","6804.43","10.14361/9783839457948","FALSE","transcript Verlag","Chirale Welten : Zur Wissenschaftssoziologie des disziplinären Wandels der Chemie","9783839457948","NA","NA","CC BY-ND 4.0","TRUE","TRUE"
"Universität Zürich","2021","2000.00","NA","FALSE","Waxmann","Textproduktion von schwach schreibenden Jugendlichen : eine empirische Studie zum Schreibprozess im Kontext des persuasiven Argumentierens","978-3-8309-4333-4","NA","NA","CC BY-NC-SA 4.0","TRUE","FALSE"
"Universität Zürich","2020","3271.10","10.36862/eiz-297","FALSE","EIZ Publishing","Schweiz – Europäische Union: Grundlagen, Bilaterale Abkommen, Autonomer Nachvollzug","978-3-03805-297-5","NA","NA","CC BY-NC-ND 4.0","TRUE","FALSE"
"Universität Zürich","2020","1753.20","NA","FALSE","Schwabe","Qualität der Medien. Schweiz – Suisse – Svizzera. Jahrbuch 2020","978-3-7965-4291-6","NA","NA","CC BY-NC-ND 4.0","TRUE","FALSE"
"Universität Zürich","2018","2233.73","NA","FALSE","wbg Academic in Wissenschaftliche Buchgesellschaft","Spiritual Care im globalisierten Gesundheitswesen : historische Hintergründe und aktuelle Entwicklungen","978-3-534-40222-9","NA","NA","CC BY-NC-ND 4.0","TRUE","FALSE"
"Universität Zürich","2019","1650.00","NA","FALSE","Iudicium","Murakami Haruki: Noruwei no mori - Eine gendertheoretische Analyse","978-3-86205-614-9","NA","NA","NA","TRUE","FALSE"
"Universität Zürich","2018","4370.13","10.24921/2018.94115924","FALSE","Carl Grossmann Verlag","Introduction to Swiss Law","978-3-941159-23-5","978-3-941159-26-6","978-3-941159-24-2","CC BY 4.0","TRUE","TRUE"
"Universität Zürich","2016","3453.97","10.1007/978-3-658-15898-9","FALSE","Springer","Agenda-Setting zwischen Parlament und Medien","9783658158972","NA","NA","CC BY-NC 4.0","TRUE","TRUE"
"Universität Zürich","2018","1000.00","10.5281/zenodo.290662","FALSE","Language Science Press","The Unicode Cookbook for Linguists: Managing writing systems using orthography profiles","978-3-96110-091-0","NA","NA","CC BY 4.0","FALSE","FALSE"
"Universität Zürich","2014","1663.35","10.3726/978-3-653-05927-4","FALSE","Peter Lang","Disrupted Idylls: Nature, Equality, and the Feminine in Sentimentalist Russian Women’s Writing (Mariia Pospelova, Mariia Bolotnikova, and Anna Naumova)","9783631668030","NA","NA","CC BY-NC-ND 4.0","TRUE","TRUE"
