39;Institution;period;brutto;netto;origin doi;journal_full_title;hybrid
;FU;2023;2.071,41;1.740,68;10.1038/s41598-023-30641-9;Scientific Reports;no
;FU;2023;3.300,82;2.773,80;10.1038/s42003-022-04388-4;Communications Biology;no
;FU;2023;2.153,21;1.809,42;10.1186/s12985-023-01975-7;Virology Journal;no
;FU;2023;5.579,37;4.688,55;10.1038/s41467-022-35534-5;Nature Communications;no
;FU;2023;3.021,35;2.538,95;10.1038/s41699-023-00374-4;npj 2D Materials and Applications;no
;FU;2023;2.153,21;1.809,42;10.1186/s12913-023-09120-4;BMC Health Services Research;no
;FU;2023;3.416,35;2.870,88;10.1038/s42003-023-04587-7;Communications Biology;no
;FU;2023;2.071,41;1.740,68;10.1038/s41598-023-29098-7;Scientific Reports;no
;FU;2023;5.774,64;4.852,64;10.1038/s41467-023-37528-3;Nature Communications;no
;FU;2023;4.029,96;3.386,52;10.1186/s13059-023-02971-4;Genome Biology;no
;FU;2023;1.221,80;1.026,72;10.1007/s40955-023-00241-1;Zeitschrift für Weiterbildungsforschung;no
;FU;2023;3.535,92;2.971,36;10.1038/s41536-023-00291-6;npj Regenerative Medicine;no
;FU;2023;1.134,65;953,49;10.1057/s41599-023-01668-0;Humanities and Social Sciences Communications;no
;FU;2023;1.973,78;1.658,64;10.1186/s12884-023-05680-9;BMC Pregnancy and Childbirth;no
;FU;2023;1.134,65;953,49;10.1057/s41599-023-01848-y;Humanities and Social Sciences Communications;no
;FU;2023;1.245,48;1.046,62;10.1186/s13705-023-00399-z;Energy, Sustainability and Society;no
;FU;2023;2.001,37;1.681,82;10.1038/s41598-022-21766-4;Scientific Reports;no
;FU;2023;2.001,37;1.681,82;10.1038/s41598-022-26260-5;Scientific Reports;no
;FU;2023;1.044,44;877,68;10.1186/s40359-022-00969-4;BMC Psychology;no
;FU;2023;5.579,37;4.688,55;10.1038/s41467-022-34603-z;Nature Communications;no
;FU;2023;1.096,29;921,25;10.1057/s41599-022-01480-2;Humanities and Social Sciences ;no
;FU;2023;5.579,37;4.688,55;10.1038/s41467-022-34158-z;Nature Communications;no
;FU;2023;3.232,78;2.716,62;10.1186/s40168-022-01399-5;Microbiome;no
;FU;2023;2.001,37;1.681,82;10.1038/s41598-022-25624-1;Scientific Reports;no
;FU;2023;2.001,37;1.681,82;10.1038/s41597-022-01822-4;Scientific Data;no
;FU;2023;2.001,37;1.681,82;10.1038/s41598-022-25775-1;Scientific Reports;no
;FU;2023;1.261,40;1.060,00;0.1038/s44168-023-00062-5;npj Climate Action;no
;FU;2023;5.774,64;4.852,64;10.1038/s41467-023-40378-8;Nature Communications;no
;FU;2023;2.071,41;1.740,68;10.1038/s41598-023-42596-y;Scientific Reports;no
;FU;2023;2.071,41;1.740,68;10.1038/s41598-023-39456-0;Scientific Reports;no
;FU;2023;2.029,40;1.705,38;10.1186/s12891-023-06661-x;BMC Musculoskeletal Disorders;no
;FU;2023;5.774,64;4.852,64;10.1038/s41467-023-39381-w;Nature Communications;no
;FU;2023;5.774,64;4.852,64;10.1038/s41467-023-39951-y;Nature Communications;no
;FU;2023;5.774,64;4.852,64;10.1038/s41467-023-38413-9;Nature Communications;no
;FU;2023;2.846,48;2.392,00;10.1007/s10911-023-09543-z;Journal of Mammary Gland Biology and Neoplasia;no
;FU;2023;5.774,64;4.852,64;10.1038/s41467-023-39382-9;Nature Communications;no
;FU;2023;5.774,64;4.852,64;10.1038/s41467-023-41569-z;Nature Communications;no
;FU;2023;1.427,73;1.199,77;10.1186/s40104-023-00913-5;Journal of Animal Science and Biotechnology;no
;FU;2023;2.071,41;1.740,68;10.1038/s41598-023-42527-x;Scientific Reports;no
