"Institution","period","euro","doi","journal_title","year of publication","document ID","is_hybrid"
"FU ",2017,456.06,"10.3389/fpls.2017.01805","Front. Plant Sci. - 8 (2017), Artikel Nr. 1805",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028597",FALSE
"FU ",2017,1655.24,"10.1371/journal.pone.0170858","PLoS ONE 12 (2017), 1, e0170858",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028537",FALSE
"FU ",2017,1172.15,"10.1080/20008198.2017.1377552","European Journal of Psychotraumatology 8 (2017), sup2, 1377552",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028567",FALSE
"FU ",2017,1501.95,"10.1242/bio.028498","Biology open 2017",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028658",FALSE
"FU ",2017,1681.32,"10.1016/j.nicl.2017.10.039","NeuroImage: Clinical. - 17 (2018), S. 426-434",2018,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028639",FALSE
"FU ",2017,1873.14,"10.3389/fpsyg.2017.01829","Frontiers in Psychology. - 8 (2017), Art. 1829",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028504",FALSE
"FU ",2017,1552.95,"10.1038/s41598-017-14849-0","Scientific Reports. - 7 (2017), Artikel Nr.14396",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028599",FALSE
"FU ",2017,1552.95,"10.1038/s41598-017-14538-y","Scientific Reports. - 7 (2017), Artikel Nr. 14465",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028388",FALSE
"FU ",2017,1962.06,"10.1016/j.ijpddr.2017.10.001","International Journal for Parasitology: Drugs and Drug Resistance. - 7 (2017), 3, S. 362-369",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028390",FALSE
"FU ",2017,1904.00,"10.1038/s41467-017-01120-3","Nature Communications. - 8 (2017), Artikel Nr. 1218",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028460",FALSE
"FU ",2017,1978.97,"10.7150/thno.21668","Theranostics 2018: 8(2):450-463",2018,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028533",FALSE
"FU ",2017,397.48,"10.5334/jpl.179","Journal of Portuguese Linguistics, 16: 5, pp. 1–20",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028450",FALSE
"FU ",2017,1557.71,"10.1002/iid3.198","Immunity, Inflammation and Disease 5 (2017)",2017,"http://edocs.fu-berlin.de/docs/receive/FUDOCS_document_000000028452",FALSE
