18;Institution;period;brutto;netto;origin doi;journal_full_title;hybrid;;;;;;;;
;FU;2022;1.713,60 €;1.440,00 €;10.1111/jvim.16521;Journal of Veterinary Medicine ;no;;;;;;;;
;FU;2022;1.356,60 €;1.140,00 €;10.1002/vro2.40;VetRecord Open ;no;;;;;;;;
;FU;2022;1.485,12 €;1.248,00 €;10.1029/2022EA002313;Earth and Space Science;no;;;;;;;;
;FU;2022;1.713,60 €;1.440,00 €;10.1002/sae2.12032;Journal of Sustainable Agriculture and Environmen;no;;;;;;;;
;FU;2022;2.189,60 €;1.840,00 €;10.1029/2021GC010230;Geochemistry, Geophysics, Geosystems;no;;;;;;;;
;FU;2022;2.189,60 €;1.840,00 €;10.1029/2021GC010267;Geochemistry, Geophysics, Geosystems;no;;;;;;;;
;FU;2022;1.713,60 €;1.440,00 €;10.1002/ece3.8715;Ecology and Evolution;no;;;;;;;;
;FU;2022;1.370,88 €;1.152,00 €;10.1002/ece3.8622;Ecology and Evolution;no;;;;;;;;
;FU;2022;1.237,60 €;1.040,00 €;10.14814/phy2.15237;Physiological Reports;no;;;;;;;;
;FU;2022;1.805,23 €;1.517,00 €;10.1029/2021MS002765;Journal of Advances in Modeling Earth Systems;no;;;;;;;;
;FU;2022;4.141,20 €;3.480,00 €;10.1002/advs.202105668;Advanced Science;no;;;;;;;;
;FU;2022;1.370,88 €;1.152,00 €;10.1002/ece3.8675;Ecology and Evolution;no;;;;;;;;
;FU;2022;2.189,60 €;1.840,00 €;10.1029/2021GC010303;Geochemistry, Geophysics, Geosystems;no;;;;;;;;
;FU;2022;2.094,40 €;1.760,00 €;10.1002/ppp3.10177;Plants, People, Planet;no;;;;;;;;
;FU;2022;1.570,80 €;1.320,00 €;10.1002/sae2.12006;Journal of Sustainable Agriculture and Environmen;no;;;;;;;;
;FU;2022;3.962,70 €;3.330,00 €;10.1002/advs.202100661;Advanced Science;no;;;;;;;;
;FU;2022;2.760,80 €;2.320,00 €;10.1002/hbm.25449;Human Brain Mapping;no;;;;;;;;
;FU;2022;1.808,80 €;1.520,00 €;10.1002/vro2.14;Veterinary Record Open;no;;;;;;;;
