institution;year_of_publication;origin_doi;refubium_doi;backlist _oa;isbn;e_isbn;epub;titel;fi_price;brutto;Originalpreis in brutto in Euro
FU;2023;10.26530/20.500.12657/75901;http://dx.doi.org/10.17169/refubium-40818;False;978-3-7329-0838-7;978-3-7329-9122-8;;O corpo-cronômetro;5.042,02;6.000,00;6.000,00
FU;2023;10.14361/9783839467848;http://dx.doi.org/10.17169/refubium-40925;False;978-3-8376-6784-4;978-3-8394-6784-8;;Digitale Autor:innenschaft;3.429,99;4.081,69;4.081,69
FU;2023;10.14361/9783839467244;http://dx.doi.org/10.17169/refubium-39320;False;;978-3-8394-6724-4;;Kriegsküchen in Wien und Berlin;5.042,02;6.000,00;6.000,00
FU;2023;10.14361/9783839464472;http://dx.doi.org/10.17169/refubium-36887;False;;978-3-8394-6447-2;;Uma ilha brasileira no campo literário alemão;3.000,00;3.570,00;3.570,00
FU;2023;10.14220/9783737015394;http://dx.doi.org/10.17169/refubium-37495;False;;978-3-7370-1539-4;;Sprachbildung und historisches Lernen – aber wie?;4.605,50;5.480,55;5.480,55
FU;2023;10.5771/9783496030874;http://dx.doi.org/10.17169/refubium-40038;False;;;;Anthropologie der Emotionen;5.040,00;5.997,60;5.997,60
FU;2023;10.56687/9781529228021;http://dx.doi.org/10.17169/refubium-41340;False;978-1-5292-2800-7;978-1-5292-2802-1;978-1-5292-2801-4;The Environment in Global Sustainability Governance;6.000,00;7.140,00;6.000,00
FU;2023;10.14361/9783839464540;http://dx.doi.org/10.17169/refubium-41572;False;978-3-8376-6454-6;978-3-8394-6454-0;;Handbuch Queere Zeitgeschichten I;5.042,02;6.000,00;6.000,00
FU;2023;10.14361/9783839465943;http://dx.doi.org/10.17169/refubium-40305;False;978-3-8376-6594-9;978-3-8394-6594-3;978-3-7328-6594-9;Cosmos and Republic;2.900,00;3.451,00;2.900,00
FU;2023;10.11116/9789461665263;http://dx.doi.org/10.17169/refubium-41630;False;;978-94-6166-526-3;;Building a White Nation;5.042,02;6.000,00;6.931,75
FU;2023;10.1017/9781009306300;http://dx.doi.org/10.17169/refubium-40007;False;;978-1-0093-0630-0;;Feeding, Bonding, and the Formation of  Social Relationships;4.750,00;5.652,50;5.652,50
FU;2023;10.14361/9783839467138;http://dx.doi.org/10.17169/refubium-39020;False;978-3-8376-6713-4;978-3-8394-6713-8;;Lehrer:innen im ›Brennpunkt‹;5.042,02;6.000,00;7.140,00
FU;2023;10.1515/9783111317755;http://dx.doi.org/10.17169/refubium-40506;False;;978-3-11-124484-6;;Playing American;5.042,02;6.000,00;7.149,00
FU;2023;10.14361/9783839465110;http://dx.doi.org/10.17169/refubium-39959;False;;978-3-8394-6511-0;;Arbeitskämpfe und Land Grabbing;5.025,00;5.979,75;5.979,75
FU;2023;10.1628/978-3-16-162118-5;http://dx.doi.org/10.17169/refubium-39294;False;978-3-16-162117-8;;;Wahrheit und Recht;5.042,02;6.000,00;6.000,00
FU;2023;10.1515/9783111304595;http://dx.doi.org/10.17169/refubium-41021;False;;978-3-11-130459-5;;Intonation between phrasing and accent;5.042,02;6.000,00;6.000,00
FU;2023;10.12907/978-3-593-44973-9;http://dx.doi.org/10.17169/refubium-37007;False;978-3-593-51495-6;978-3-593-44973-9;;Nerven, Krieg und militärische Führung;5.000,00;5.950,00;5.950,00
FU;2023;10.14361/9783839466001;http://dx.doi.org/10.17169/refubium-39034;False;;978-3-8394-6600-1;;Prekäre Freizügigkeiten;5.042,02;6.000,00;6.000,00
