institution;year_of_publication;Originalpreis brutto in Euro;origin_doi;refubium_doi;backlist _oa;isbn;e_isbn;epub;titel;fi_price;brutto;Originalpreis in brutto in Euro
FU Berlin;2022;03.02.2022;10.3726/b19247;http://dx.doi.org/10.17169/refubium-34569;False;;978-3-631-87021-1;;A memória da Destruição na escrita judaico-brasileira depois de 1985;4.000,00;4.760,00;4.760,00
FU Berlin;2022;03.02.2022;10.14361/9783839459430;http://dx.doi.org/10.17169/refubium-35582;False;978-3-8376-5943-6;978-3-8394-5943-0;;Deutschland als Autobahn;5.042,02;6.000,00;6.000,00
FU Berlin;2022;03.02.2022;;http://dx.doi.org/10.17169/refubium-37126;False;978-3-86205-737-5;978-3-86205-878-5;;Gender_Vielfalt_Sexualität(en) im Fach Deutsch als Fremd- und Zweitsprache;1.670,00;1.987,30;1.987,30
FU Berlin;2022;03.02.2022;10.1515/9783839460184;http://dx.doi.org/10.17169/refubium-36366;False;978-3-8376-6018-0;978-3-8394-6018-4;;Ein- und Ausströmungen;5.042,02;6.000,00;6.747,30
FU Berlin;2021;03.02.2022;10.3278/I70179;http://dx.doi.org/10.17169/refubium-32335;False;;978-3-7639-7017-9;;Studienausstieg – und dann?;1.500,00;1.785,00;1.785,00
FU Berlin;2022;03.02.2022;10.1515/9783110713626;http://dx.doi.org/10.17169/refubium-34106;False;978-3-11-071362-6;978-3-1107-1362-6;978-3-11-071370-1;The Politics of Dementia;5.042,02;6.000,00;6.000,00
FU Berlin;2022;03.02.2022;10.14361/9783839457870;http://dx.doi.org/10.17169/refubium-34193;False;978-3-8376-5787-6;978-3-8394-5787-0;;Culture²;5.042,02;6.000,00;6.902,00
FU Berlin;2022;31.03.2022;10.14361/9783839459485;http://dx.doi.org/10.17169/refubium-34064;False;;978-3-8394-5948-5;;Umkämpfter Zugang zu Land;5.042,00;5.999,98;5.999,98
FU Berlin;2022;01.04.2022;10.14361/9783839462133;http://dx.doi.org/10.17169/refubium-34085;False;;978-3-8394-6213-3;;Die Colonia Dignidad zwischen Erinnern und Vergessen;5.042,02;6.000,00;6.000,00
FU Berlin;2022;25.04.2022;10.14361/9783839459706;http://dx.doi.org/10.17169/refubium-34617;False;;978-3-8394-5970-6;;Einführung in die Wissenschaften;5.042,00;5.999,98;5.999,98
FU Berlin;2022;14.06.2022;10.14361/9783839460894;http://dx.doi.org/10.17169/refubium-34989;False;978-3-8376-6089-0;978-3-8394-6089-4;;Academics in Exile;5.000,00;5.950,00;5.950,00
FU Berlin;2022;08.08.2022;10.35287/9783957494054;http://dx.doi.org/10.17169/refubium-34678;False;;978-3-95749-429-0;;Theater der Vereinnahmung;5.042,02;6.000,00;6.000,00
FU Berlin;2022;23.08.2022;10.33675/2022-82538556;http://dx.doi.org/10.17169/refubium-35556;False;978-3-8253-4930-1;978-3-8253-8556-9;;Transgressionen der Moderne;2.521,01;3.000,00;3.000,00
FU Berlin;2022;10.10.2022;;http://dx.doi.org/10.17169/refubium-36191;False;;978-3-8498-1818-0;;Die komische Differenz;5.042,02;6.000,00;6.000,00
FU Berlin;2022;17.10.2022;10.1515/9783110758825;http://dx.doi.org/10.17169/refubium-36145;False;978-3-11-067353-1;978-3-11-075882-5;978-3-11-075886-3;Moses Dobruska and the Invention of Social Philosophy;5.042,02;6.000,00;7.759,00
FU Berlin;2022;01.12.2022;10.24053/9783772057762;http://dx.doi.org/10.17169/refubium-36746;False;978-3-7720-8776-9;978-3-7720-5776-2;;Schreiben im Widerspruch;4.028,00;4.793,32;4.793,32
FU Berlin;2022;07.12.2022;10.1515/9783110786965;http://dx.doi.org/10.17169/refubium-36938;False;978-3-11-078690-3;978-3-11-078696-5;978-3-11-078702-3;Staatsorganisationsrecht;5.042,02;6.000,00;6.000,00
FU Berlin;2022;11.11.2022;;;False;978-1-48754780-6;978-1-48754783-7;978-1-48754781-3;Queer Lives Across the Wall. Desire and Danger in Divided Berlin, 1945-1970;5.042,02;6.000,00;6.000,00
FU Berlin;2022;12.11.2022;10.37011/studmon.26;;False;978-3-943955-26-2;978-3-943955-91-0;;Transitivity and Aspect in Sahidic Coptic: Studies in the Morphosyntax of Native and Greek-Origin Verbs;2.000,00;2.380,00;2.380,00
FU Berlin;2022;12.12.2022;10.1108/978-1-80117-956-020221005;https://refubium.fu-berlin.de/handle/fub188/37231;False;978-1-80117-959-1;978-1-80117-956-0;;The hidden problem: Sexualized harassment and violence in German higher education ;1.000,00;1.190,00;1.190,00
