institution;year_of_publication;origin_doi;refubium_doi;backlist _oa;isbn;e_isbn;epub;titel;fi_price in Euro;brutto in Euro;Originalpreis in brutto in Euro;Bemerkung 
FU;2025;10.13173/9783447123709;http://dx.doi.org/10.17169/refubium-48906;False;978-3-447-12370-9;978-3-447-39669-1;;Atalanta fugiens;3.400,00;4.046,00;13.923,00;
FU;2025;10.5771/9783748919957;http://dx.doi.org/10.17169/refubium-45789;False;978-3-7560-1458-3;978-3-7489-1995-7;;Law and Protest at the Periphery of Democracy;2.500,00;2.100,84;8.925,00;
FU;2025;10.32028/9781803279879;http://dx.doi.org/10.17169/refubium-48043;False;9-781-8032-7987-9;978-1-80327-988-6;;Die Aneignung und Umnutzung von Herrschaftsräumen: am Beispiel der Squattersiedlung der südwestasiatischen Eisenzeit;2.517,61;2.995,96;2.995,96;
FU;2025;10.12907/978-3-593-45943-1;http://dx.doi.org/10.17169/refubium-48063;False;978-3-593-51982-1;978-3-593-45943-1;;Public Anthropology;2.000,00;2.380,00;4.760,00;
FU;2025;10.1515/9783111608228;http://dx.doi.org/10.17169/refubium-51224;False;978-3-11-160569-2;978-3-11-160822-8;978-3-11-160861-7;Beruf Sexarbeit;3.250,00;3.867,50;6.000,00;
FU;2025;10.13173/9783447124188;http://dx.doi.org/10.17169/refubium-48475;False;978-3-447-12418-8;978-3-447-39709-4;;Die Entdeckung der Engelsbrüder;2.100,00;2.499,00;2.499,00;
FU;2025;10.14361/9783839409503;http://dx.doi.org/10.17169/refubium-50865;False;978-3-8376-7786-7;978-3-8394-0950-3;;Climatic Subjects ;4.201,68;5.000,00;7.140,68;
FU;2025;10.25972/WUP-978-3-95826-265-2;http://dx.doi.org/10.17169/refubium-48007;False;978-3-95826-264-5;978-3-95826-265-2;;China’s Landless Peasants;276,48;276,48;734,23;
FU;2025;no;http://dx.doi.org/10.17169/refubium-49467;False;978-3-534-64232-8;978-3-534-64233-5;;De súbditos otomanos a ‘franceses del Oriente’;2.100,84;2.500,00;3.450,00;
FU;2025;10.1515/9783111436661;http://dx.doi.org/10.17169/refubium-46115;False;978-3-11-142568-9;978-3-11-143666-1;978-3-11-143668-5;New Hollywood and Countercultural Whiteness;4.201,68;5.000,00;5.000,00;
FU;2025;10.1515/9783111648668;http://dx.doi.org/10.17169/refubium-47530;False;978-3-11-163585-9;978-3-11-164866-8;;Das lateinische Lehrgedicht der Frühen Neuzeit im Angesicht der Moderne;2.100,84;2.500,00;7.000,00;
FU;2025;10.13109/9783666502040;http://dx.doi.org/10.17169/refubium-46165;False;978-3-525-50204-4;978-3-666-50204-0;;Die Formierung der frühen Religionswissenschaft in China;4.201,68;5.000,00;10.962,28;
FU;2025;10.1515/9783111620060;http://dx.doi.org/10.17169/refubium-48623;False;978-3-11-161947-7;978-3-11-162001-5;978-3-11-162001-5;Beyond Federation;4.201,68;5.000,00;5.000,00;
FU;2025;10.1515/9783111611358;http://dx.doi.org/10.17169/refubium-50677;False;978-3-11-161004-7;978-3-11-161135-8;978-3-11-161168-6;Environment, Technology, and Development ;4.201,68;5.000,00;5.000,00;
FU;2025;10.1515/9783111625188;http://dx.doi.org/10.17169/refubium-50196;False;978-3-11-162514-0;978-3-11-162518-8;978-3-11-162521-8;Klassen.Gefühle.Erzählen;4.201,68;5.000,00;5.000,00;
FU;2025;10.13173/9783447124171;http://dx.doi.org/10.17169/refubium-49459;False;978-3-447-12417-1;978-3-447-39708-7;;L’Olympe même de nos lumières est jaloux » Die Preisfragen der französischen Akademien (1670–1794) als Medium der Wissensreflexion;2.500,00;2.975,00;2.975,00;DFG geförderte Monografie
FU;2025;10.5771/9783748943853;http://dx.doi.org/10.17169/refubium-46094;False;978-3-7560-1079-0 ;978-3-7489-4385-3;;Deference to the Executive? ;2.700,00;3.213,00;3.213,00;
FU;2025;10.26530/20.500.12657/109755;http://dx.doi.org/10.17169/refubium-50980;False;978-3-7329-1107-3;978-3-7329-8811-2;;Lateinamerika denken und beschreiben. ;4.201,68;5.000,00;8.377,00;
FU;2025;10.4324/9781003370024;http://dx.doi.org/10.17169/refubium-47516;False;978-1-0323-8255-5;9-781-0033-7002-4;;Collections as Relations : Contestations of Belonging, Cultural Heritage, and Knowledge Infrastructures;4.200,00;4.998,00;4.998,00;
FU;2025;10.14361/9783839476772;http://dx.doi.org/10.17169/refubium-47220;False;978-3-8376-7677-8;978-3-8394-7677-2;;Cosmopolitan Communication Studies;4.201,68;5.000,00;6.050,00;
FU;2025;10.13173/9783447123716;http://dx.doi.org/10.17169/refubium-48462;False;978-3-447-12371-6;978-3-447-39670-7;;»kunst im biotop« :;2.100,00;2.499,00;2.499,00;
FU;2025;10.59641/e5h1b2c3d4;http://dx.doi.org/10.17169/refubium-49861;False;978-94-6426-370-1;978-94-6426-372-5;;Village Life at Prehistoric Monjukli Depe, Turkmenistan;4.046,00;4.760,00;8.450,00;DFG geförderte Monografie
FU;2025;10.30965/9783846768600;http://dx.doi.org/10.17169/refubium-49900;False;978-3-7705-6860-4;978-3-8467-6860-0;;Emotion and Calculation. Marriage Markets and Match Making from Early Modernity to the Present;4.201,68;5.000,00;8.568,00;
FU;2025;10.1515/9783110989588;http://dx.doi.org/10.17169/refubium-51300;False;978-3-11-099986-0;978-3-11-098958-8;978-3-11-099027-0;Military Justice in Modern History;4.201,68;5.000,00;5.000,00;
