institution;year_of_publication;origin_doi;refubium_doi;backlist _oa;isbn;e_isbn;epub;titel;fi_price in Euro;brutto in Euro;Originalpreis in brutto in Euro
FU;2024;NA;https://refubium.fu-berlin.de/handle/fub188/44693;False;978-3-96327-248-6;978-3-96327-249-3;;Oriental Societies and Societal Self-Assertion;3.800,00;4.522,00;4.522,00
FU;2024;NA;https://refubium.fu-berlin.de/handle/fub188/46134;False;978-3-86205-741-2;978-3-86205-882-2;;Zur Rolle von Mehrdeutigkeiten in der Literaturdidaktik Deutsch als Fremd- und Zweitsprache;1.779,84;2.118,01;2.118,01
FU;2024;10.14361/9783839472354;https://refubium.fu-berlin.de/handle/fub188/45968;False;978-3-8376-7235-0;978-3-8394-7235-4;;Handbuch Queere Zeitgeschichten II;4.201,68;5.000,00;5.000,00
FU;2024;10.61050/3689300029;https://refubium.fu-berlin.de/handle/fub188/45278;False;978-3-689-30002-9;978-3-68930-003-6;;Franz Kafka;5.042,02;6.000,00;6.000,00
FU;2024;10.1007/978-3-662-68409-2;https://refubium.fu-berlin.de/handle/fub188/44374;False;978-3-662-68408-5;978-3-662-68409-2;;Biologiedidaktische Nature of Science-Forschung: Zukunftsweisende Praxis;5.040,00;5.997,60;5.997,60
FU;2024;NA;https://refubium.fu-berlin.de/handle/fub188/44964;False;978-3-534-64037-9;978-3-534-64057-7;;Theorie des Nomadischen;3.039,16;3.616,60;3.616,60
FU;2024;10.14361/9783839472927;https://refubium.fu-berlin.de/handle/fub188/46233;False;978-3-8376-7292-3;978-3-8394-7292-7;;Philosophy and Jewish Thought;3.540,00;4.212,60;4.212,60
FU;2024;10.55309/e5kg83m7;https://refubium.fu-berlin.de/handle/fub188/43393;False;;978-3-86599-565-0;;»Der König, mein Bruder…«;3.500,00;4.165,00;4.165,00
FU;2024;10.1515/9783839474082;https://refubium.fu-berlin.de/handle/fub188/46123;False;978-3-8376-7408-8;978-3-8394-7408-2;;Das Auto und die ökologische Katastrophe;4.201,68;5.000,00;5.000,00
FU;2024;10.31267/978-3-7574-0129-0;https://refubium.fu-berlin.de/handle/fub188/44450;False;978-3-7574-0128-3;978-3-7574-0129-0;;Zeiten der Alltäglichkeit;4.500,00;5.355,00;5.355,00
FU;2024;10.25162/9783515137928;https://refubium.fu-berlin.de/handle/fub188/44919;False;;978-3-515-13792-8;; Eine trostlose Wirklichkeit;2.100,84;2.500,00;2.500,00
FU;2024;10.25162/9783515133005;https://refubium.fu-berlin.de/handle/fub188/45483;False;;978-3-515-13300-5;;Die soziale Produktion öffentlichen Raums im urbanen China der Reformperiode;3.700,00;4.403,00;4.403,00
FU;2024;10.13173/9783447121804;https://refubium.fu-berlin.de/handle/fub188/43889;False;978-3-447-12180-4;978-3-447-39520-5;;Logbuch Wissenschaftsgeschichte;4.200,00;4.998,00;4.998,00
FU;2025;10.17169/refubium-43706;https://refubium.fu-berlin.de/handle/fub188/43997;False;;978-3-534-64089-8;;Atractivismo;2.899,16;3.450,00;3.450,00
FU;2024;10.1515/9783110750065;https://refubium.fu-berlin.de/handle/fub188/45094;False;978-3-11-074897-0;978-3-11-075006-5;;Polnische Bürgermeister und der Holocaust;5.042,02;6.000,00;8.449,00
FU;2024;10.1515/9783111369099;https://refubium.fu-berlin.de/handle/fub188/45442;False;;978-3-11-136909-9;;Ethnicity as Desire;5.042,02;6.000,00;6.000,00
FU;2024;10.14361/9783839474235;https://refubium.fu-berlin.de/handle/fub188/45005;False;;978-3-8394-7423-5;;Radikale Verletzbarkeit ;5.042,02;6.000,00;6.000,00
FU;2024;10.1515/9783839470398;https://refubium.fu-berlin.de/handle/fub188/45258;False;;978-3-8394-7039-8;;Anthropozänes Engagement;5.042,02;6.000,00;6.000,00
