Publisher;Request Type;Year of APC Payment;Journal Title;Journal Type is_hybrid (TRUE/FALSE);Instituation ;Article Status;DOI;Article Net Price In Euro;Submitted to Open APC 
Frontiers;Agreement;2022;Psychiatry section Public Mental Health;FALSCH;Qatar National Library Consortium;Published;10.3389/fpsyt.2022.833394;2300.40;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Integrative Neuroscience;FALSCH;Qatar National Library Consortium;Published;10.3389/fnint.2022.879832;1442.62;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Oncology;FALSCH;Qatar National Library Consortium;Published;10.3389/fonc.2022.929996;2652.70;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Oncology-Molecular and Cellular Oncology;FALSCH;Qatar National Library Consortium;Published;10.3389/fonc.2022.878034;1442.62;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Molecular Bioscienes;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fmolb.2022.846996;2652.59;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Energy Research;FALSCH;Qatar National Library Consortium;Published;10.3389/fenrg.2022.922221;1627.23;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers inPharmacology;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fphar.2022.911019;2300.40;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Public Health;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fpubh.2022.875971;2238.5;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Psychology;FALSCH;Qatar National Library Consortium;Published;doi.org/10.3389/fpsyg.2022.985202;2300.40;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Pharmacology;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fphar.2022.996755;2300.40;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Oncology;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fonc.2022.942386;2652.7;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Medicine;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fmed.2022.939416;2653.23;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Artificial Intelligence;FALSCH;Qatar National Library Consortium;Accepted;10.3389/frai.2022.954497;896.76;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Public Health;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fpubh.2022.927386;2300.40;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Molecular Neuroscience;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fnmol.2022.999605;2652.75;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Psychology;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fpsyg.2022.977998;2300.40;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Medicine;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fmed.2022.931924;1442.62;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Nutrition;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fnut.2022.930883;1941.69;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Oncology;FALSCH;Qatar National Library Consortium;Accepted;10.3389/fonc.2022.990672;2300.40;Yes - 3rd submission
Frontiers;Agreement;2022;Frontiers in Computational Neuroscience;FALSCH;Qatar National Library Consortium;Published;10.3389/fncom.2022.1005617;2300.40;Yes - 3rd submission
