Publisher;Request Type;Year of APC Payment;Journal Title;Journal Type is_hybrid (TRUE/FALSE);Instituation ;Article Status;DOI;Submitted to Open APC 
Wiley;Agreement;2021;Energy Science & Engineering;FALSCH;Qatar National Library Consortium;Published;10.1002/ese3.1025;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1002/ccr3.5237;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Published;10.1002/ccr3.5705;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1002/ccr3.5435;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Accepted;10.1002/ccr3.5136;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Published;10.1002/ccr3.5107;Yes - 3rd submission
Wiley;Agreement;2021;Food Science & Nutrition;FALSCH;Qatar National Library Consortium;Published;10.1002/fsn3.2695;Yes - 3rd submission
Wiley;Agreement;2021;IET Power Electronics;FALSCH;Qatar National Library Consortium;Published;10.1049/pel2.12217;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Published;10.1002/ccr3.5178;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Published;10.1002/ccr3.5680;Yes - 3rd submission
Wiley;Agreement;2021;IET Power Electronics;FALSCH;Qatar National Library Consortium;Published;10.1049/pel2.12381;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Published;10.1002/ccr3.5275;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Accepted;10.1002/ccr3.5140;Yes - 3rd submission
Wiley;Agreement;2021;Food Science & Nutrition;FALSCH;Qatar National Library Consortium;Accepted;10.1002/fsn3.2677;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Published; https://doi.org/10.1002/ccr3.5435;Yes - 3rd submission
Wiley;Agreement;2021;IET Power Electronics;FALSCH;Qatar National Library Consortium;Published;10.1049/pel2.12245;Yes - 3rd submission
Wiley;Agreement;2021;Skin Health and Disease;FALSCH;Qatar National Library Consortium;Published;https://doi.org/10.1002/ski2.87;Yes - 3rd submission
Wiley;Agreement;2021;Aging Cell;FALSCH;Qatar National Library Consortium;Published;10.1111/acel.13555;Yes - 3rd submission
Wiley;Agreement;2021;Clinical Case Reports;FALSCH;Qatar National Library Consortium;Accepted;10.1002/ccr3.5078;Yes - 3rd submission
