"Institution","Period","netto (in EURO)","EURO","publisher","journal","ISSN.1","ISSN.2","doi","indexed_in_CrossRef","pmid","pmcid","base_url","repo_id","ut","DOAJ"
"GFZ-Potsdam",2014,1840,"2189,6","Elsevier BV","Energy","0360-5442","NA","10.1016/j.energy.2014.01.014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",342440,"NA","FALSE"
"GFZ-Potsdam",2014,1700,2023,"Nature Publishing Group","Nat Comms","2041-1723","NA","10.1038/ncomms5014","TRUE",24905463,"PMC4059923","gfzpublic.gfz-potsdam.de",440888,"NA","FALSE"
"GFZ-Potsdam",2014,3700,4403,"Nature Publishing Group","Nat Comms","2041-1723","NA","10.1038/ncomms5166","TRUE",24946791,"PMC4279185","gfzpublic.gfz-potsdam.de",510922,"NA","FALSE"
"GFZ-Potsdam",2013,1046,"1244,74","Nature Publishing Group","Scientific Reports","2045-2322","NA","10.1038/srep02682","TRUE",24045328,"PMC3775310","gfzpublic.gfz-potsdam.de",248055,"NA","TRUE"
"GFZ-Potsdam",2014,1046,"1244,74","Nature Publishing Group","Scientific Reports","2045-2322","NA","10.1038/srep03886","TRUE",24469260,"PMC3904149","gfzpublic.gfz-potsdam.de",322050,"NA","TRUE"
"GFZ-Potsdam",2013,1000,1190,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0078080","TRUE",24223762,"PMC3817176","gfzpublic.gfz-potsdam.de",272244,"NA","TRUE"
"GFZ-Potsdam",2013,993,"1181,67","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0084761","TRUE",24416279,"PMC3885591","gfzpublic.gfz-potsdam.de",309866,"NA","TRUE"
"GFZ-Potsdam",2014,1600,1904,"Frontiers Media SA","Front. Earth Sci.","2296-6463","NA","10.3389/feart.2014.00012","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",523901,"NA","FALSE"
"GFZ-Potsdam",2014,1280,"1523,2","Frontiers Media SA","Front. Phys.","2296-424X","NA","10.3389/fphy.2014.00047","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",881906,"NA","FALSE"
"GFZ-Potsdam",2013,782,"930,58","MDPI AG","Energies","1996-1073","NA","10.3390/en6063002","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247328,"NA","TRUE"
"GFZ-Potsdam",2014,790,"940,1","MDPI AG","Energies","1996-1073","NA","10.3390/en7042148","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",521895,"NA","TRUE"
"GFZ-Potsdam",2014,990,"1178,1","MDPI AG","Energies","1996-1073","NA","10.3390/en7042573","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",858896,"NA","TRUE"
"GFZ-Potsdam",2013,649,"772,31","MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs5063082","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247184,"NA","TRUE"
"GFZ-Potsdam",2013,647,"769,93","MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs5083681","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247610,"NA","TRUE"
"GFZ-Potsdam",2014,"649,45","772,85","MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs6010841","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",309980,"NA","TRUE"
"GFZ-Potsdam",2014,"820,55","976,45","MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs6032572","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",470921,"NA","TRUE"
"GFZ-Potsdam",2014,889,"1057,91","MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs6086790","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",513901,"NA","TRUE"
"GFZ-Potsdam",2014,890,"1059,1","MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs6098026","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",744892,"NA","TRUE"
"GFZ-Potsdam",2014,895,"1065,05","MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs6109239","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",620897,"NA","TRUE"
"GFZ-Potsdam",2014,895,"1065,05","MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs61110571","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",682918,"NA","TRUE"
"GFZ-Potsdam",2014,900,1071,"MDPI AG","Remote Sensing","2072-4292","NA","10.3390/rs61111082","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",697889,"NA","TRUE"
"GFZ-Potsdam",2013,1460,"1737,4","MDPI AG","Sensors","1424-8220","NA","10.3390/s130912030","TRUE",24021971,"PMC3821330","gfzpublic.gfz-potsdam.de",247836,"NA","TRUE"
"GFZ-Potsdam",2013,1450,"1725,5","MDPI AG","Sensors","1424-8220","NA","10.3390/s131013779","TRUE",24129017,"PMC3859091","gfzpublic.gfz-potsdam.de",297161,"NA","TRUE"
"GFZ-Potsdam",2014,742,"882,98","MDPI AG","Water","2073-4441","NA","10.3390/w6082367","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",565888,"NA","TRUE"
"GFZ-Potsdam",2013,648,"771,12","Copernicus GmbH","Atmospheric Measurement Techniques","1867-8548","NA","10.5194/amt-6-3169-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",301809,"NA","TRUE"
"GFZ-Potsdam",2014,1056,"1256,64","Copernicus GmbH","Atmos. Meas. Tech. Discuss.","1867-8610","NA","10.5194/amtd-7-12173-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",744891,"NA","TRUE"
"GFZ-Potsdam",2013,410,"487,9","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-31-1035-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247015,"NA","TRUE"
"GFZ-Potsdam",2013,736,"875,84","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-31-1115-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",328093,"NA","TRUE"
"GFZ-Potsdam",2013,782,"930,58","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-31-1315-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",248011,"NA","TRUE"
"GFZ-Potsdam",2013,615,"731,85","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-31-1491-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",248054,"NA","TRUE"
"GFZ-Potsdam",2013,574,"683,06","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-31-1507-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",328076,"NA","TRUE"
"GFZ-Potsdam",2013,451,"536,69","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-31-529-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",322061,"NA","TRUE"
"GFZ-Potsdam",2013,644,"766,36","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-31-541-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",246423,"NA","TRUE"
"GFZ-Potsdam",2014,533,"634,27","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-32-249-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",360538,"NA","TRUE"
"GFZ-Potsdam",2014,574,"683,06","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-32-609-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",881903,"NA","TRUE"
"GFZ-Potsdam",2014,369,"439,11","Copernicus GmbH","Annales Geophysicae","1432-0576","NA","10.5194/angeo-32-623-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",881902,"NA","TRUE"
"GFZ-Potsdam",2014,928,"1104,32","Copernicus GmbH","Climate of the Past","1814-9332","NA","10.5194/cp-10-2099-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",735890,"NA","TRUE"
"GFZ-Potsdam",2013,1334,"1587,46","Copernicus GmbH","Climate of the Past","1814-9332","NA","10.5194/cp-10-623-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",364132,"NA","TRUE"
"GFZ-Potsdam",2013,1102,"1311,38","Copernicus GmbH","Climate of the Past","1814-9332","NA","10.5194/cp-10-91-2014","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",317285,"NA","TRUE"
"GFZ-Potsdam",2013,696,"828,24","Copernicus GmbH","Climate of the Past","1814-9332","NA","10.5194/cp-9-1559-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247521,"NA","TRUE"
"GFZ-Potsdam",2013,928,"1104,32","Copernicus GmbH","Climate of the Past","1814-9332","NA","10.5194/cp-9-1601-2013","TRUE","NA","NA","gfzpublic.gfz-potsdam.de",247519,"NA","TRUE"
