"institution",,"Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid"
"GFZ-Potsdam",2018,"1,097.99","10.1126/sciadv.1701528 ","Science Advances","NA","NA","American Association for the Advancement of Science","gfzpublic.gfz-potsdam.de",2762888,FALSE
"GFZ-Potsdam",2018,"1,552.95","10.1038/s41598-018-19505-9","Scientific Reports","NA","NA","Springer Nature","gfzpublic.gfz-potsdam.de",2929890,FALSE
"GFZ-Potsdam",2018,"1,368.50","10.5194/esurf-5-757-2017","Earth Surface Dynamics","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2787893,FALSE
"GFZ-Potsdam",2018,"1,094.80","10.5194/angeo-35-1249-2017","Annales Geophysicae","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2868889,FALSE
"GFZ-Potsdam",2018,416.50,"10.5194/gi-6-487-2017","Geoscientific Instrumentation, Methods and Data Systems","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2772914,FALSE
"GFZ-Potsdam",2018,952.00,"10.5194/esurf-5-653-2017","Earth Surface Dynamics","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2721917,FALSE
"GFZ-Potsdam",2018,595.00,"10.5194/gi-6-367-2017","Geoscientific Instrumentation, Methods and Data Systems","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2712912,FALSE
"GFZ-Potsdam",2018,"2,174.13","10.5194/hess-21-5043-2017","Hydrology and Earth System Sciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",2626889,FALSE
"GFZ-Potsdam",2018,"1,554.95","10.3389/feart.2018.00014 ","Frontiers in Earth Science","NA","NA","Frontiers","gfzpublic.gfz-potsdam.de","k.A.",FALSE
"GFZ-Potsdam",2018,"1,554.95","10.3389/feart.2018.00017","Frontiers in Earth Science","NA","NA","Frontiers","gfzpublic.gfz-potsdam.de",3098889,FALSE
