"institution","period","Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid"
"GFZ-Potsdam",2016,1116.62,"10.3390/w8010006","Water","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1415891,FALSE
"GFZ-Potsdam",2016,1280.27,"10.3390/rs8020127","Remote Sensing","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1443970,FALSE
"GFZ-Potsdam",2016,1518.44,"10.5194/bg-13-2475-2016","Biogeosciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",1504251,FALSE
"GFZ-Potsdam",2016,621.18,"10.5194/cp-12-799-2016","Climate of the Past","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",1487977,FALSE
"GFZ-Potsdam",2016,137.41,"10.3390/ijgi5030025","International Journal of Geo-Information (ISPRS)","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1473890,FALSE
"GFZ-Potsdam",2016,1011.50,"10.1186/s13617-015-0041-y","Journal of Applied Volcanology","NA","NA","Springer","gfzpublic.gfz-potsdam.de",1975934,FALSE
"GFZ-Potsdam",2016,285.60,"10.1186/s40623-016-0403-7","Earth, Planets and Space","NA","NA","Springer","gfzpublic.gfz-potsdam.de",1462888,FALSE
"GFZ-Potsdam",2016,1488.11,"10.3390/rs8070552","Remote Sensing","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1762891,FALSE
"GFZ-Potsdam",2016,2070.60,"10.5194/bg-13-3051-2016","Biogeosciences","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",1529102,FALSE
"GFZ-Potsdam",2016,1092.42,"10.5194/se-7-751-2016","Solid Earth","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",1504285,FALSE
"GFZ-Potsdam",2016,1118.54,"10.3390/w8070304","Water","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1610888,FALSE
"GFZ-Potsdam",2016,2683.89,"10.3389/fmicb.2016.01007","Microbiological Chemistry and Geomicrobiology","NA","NA","Frontiers","gfzpublic.gfz-potsdam.de",1587894,FALSE
"GFZ-Potsdam",2016,1455.12,"10.1371/journal.pone.0159791","PLOS One","NA","NA","Public Library of Science","gfzpublic.gfz-potsdam.de",1613914,FALSE
"GFZ-Potsdam",2016,1488.50,"10.3390/rs8070613","Remote Sensing","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1753907,FALSE
"GFZ-Potsdam",2016,4403.00,"10.1038/ncomms12883 ","Nature Communications","NA","NA","Nature","gfzpublic.gfz-potsdam.de",1685900,FALSE
"GFZ-Potsdam",2016,1479.66,"10.3390/rs8080666","Remote Sensing","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1672903,FALSE
"GFZ-Potsdam",2016,462.39,"10.3390/f7100226","Forests","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1762888,FALSE
"GFZ-Potsdam",2016,432.23,"10.1126/sciadv.1600204 ","Science Advances","NA","NA","AAAS","gfzpublic.gfz-potsdam.de",k. A.,FALSE
"GFZ-Potsdam",2016,1911.73,"10.5194/se-7-1365-2016","Solid Earth","NA","NA","Copernicus","gfzpublic.gfz-potsdam.de",1731890,FALSE
"GFZ-Potsdam",2016,1127.23,"10.3390/w9010015","Water","NA","NA","MDPI","gfzpublic.gfz-potsdam.de",1943908,FALSE
"GFZ-Potsdam",2016,571.20,"10.1186/s40623-015-0228-9","Earth, Planets and Space","NA","NA","Springer","gfzpublic.gfz-potsdam.de",1274147,FALSE
"GFZ-Potsdam",2016,571.20,"10.1186/s40623-015-0273-4","Earth, Planets and Space","NA","NA","Springer","gfzpublic.gfz-potsdam.de",1345974,FALSE
"GFZ-Potsdam",2016,2761.51,"10.1016/j.tecto.2016.02.028","Tectonophysics","NA","NA","Elsevier","gfzpublic.gfz-potsdam.de",1504021,TRUE
"GFZ-Potsdam",2016,134.23,"10.1002/2016GL070145","Geophysical Research Letters","NA","NA","AGU","gfzpublic.gfz-potsdam.de",1831893,TRUE
"GFZ-Potsdam",2016,1876.11,"10.1109/JSTARS.2016.2614428","Journal of Selected Topics in Applied Earth Observations and Remote Sensing","NA","NA","IEEE","gfzpublic.gfz-potsdam.de",1894894,TRUE
